Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes,Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes
0,0,nshort,0.28,0.1,UC1/COL1,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,"** Low-voltage, NFET",,,,,,,,,,,"** Low-voltage, PFET"
1,0,nshort,0.28,0.1,UC1/COL1,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
2,0,nshort,0.28,8,UC2/COL2,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
3,0,nshort,0.28,8,UC2/COL2,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
4,0,nshort,1.5,0.1,UC3/COL3,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
5,0,nshort,1.5,0.1,UC3/COL3,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
6,0,nshort,1.5,0.35,UC4/COL4,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
7,0,nshort,1.5,0.35,UC4/COL4,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
8,0,nshort,1.5,1.6,UC5/COL5,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
9,0,nshort,1.5,1.6,UC5/COL5,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
10,0,nshort,1.5,8,UC6/COL6,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
11,0,nshort,1.5,8,UC6/COL6,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
12,0,nshort,8,0.1,UC7/COL7,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
13,0,nshort,8,0.1,UC7/COL7,BLOCK_NFETLV,BLOCK_NMOSLV,psub,1.2,,,,,,,,,,,,
