,VoltIn,CurrIn001,CurrVOut001,VoltOut001,CurrIn002,CurrVOut002,VoltOut002,CurrIn003,CurrVOut003,VoltOut003,CurrIn004,CurrVOut004,VoltOut004,CurrIn005,CurrVOut005,VoltOut005,CurrIn006,CurrVOut006,VoltOut006,CurrIn007,CurrVOut007,VoltOut007,CurrIn008,CurrVOut008,VoltOut008,CurrIn009,CurrVOut009,VoltOut009,CurrIn010,CurrVOut010,VoltOut010,CurrIn011,CurrVOut011,VoltOut011
0,-0.000631809,0.0,2.99703,0.050455,-0.0001,2.33098,0.1237041,-0.0002,2.30523,0.1161839,-0.0003,1.87692,0.1638066,-0.0004,1.97912,0.1634795,-0.0005,1.67566,0.188142,-0.0006,1.68468,0.1831847,-0.0007,1.52408,0.2087334,-0.0008,1.43997,0.207764,-0.0009,1.18181,0.2295045,-0.001,1.32565,0.2290371
1,0.0993252,0.0,2.5293,0.1076954,-0.0001,2.22735,0.1610534,-0.0002,2.37906,0.1505465,-0.0003,1.92357,0.1918018,-0.0004,1.86995,0.1962448,-0.0005,1.73197,0.214356,-0.0006,1.65722,0.2114449,-0.0007,1.46593,0.2377488,-0.0008,1.52362,0.2374956,-0.0009,1.20459,0.2557541,-0.001,1.25568,0.2548301
2,0.199416,0.0,2.60124,0.2113794,-0.0001,2.15511,0.2269213,-0.0002,2.46142,0.21903,-0.0003,2.00192,0.2456007,-0.0004,1.88613,0.2478721,-0.0005,1.78005,0.2617732,-0.0006,1.72152,0.2638481,-0.0007,1.43627,0.2816149,-0.0008,1.49551,0.2824748,-0.0009,1.25498,0.2986905,-0.001,1.22126,0.2961611
3,0.299289,0.0,2.58275,0.3069054,-0.0001,2.15843,0.3159485,-0.0002,2.42882,0.3090845,-0.0003,2.00808,0.3250821,-0.0004,1.93971,0.3255251,-0.0005,1.6468,0.3364773,-0.0006,1.7572,0.3351209,-0.0007,1.42908,0.3465587,-0.0008,1.43356,0.348211,-0.0009,1.31708,0.3569527,-0.001,1.22849,0.3560903
4,0.399508,0.0,2.53679,0.4058979,-0.0001,2.2726,0.4107796,-0.0002,2.31953,0.4073472,-0.0003,1.90095,0.4168428,-0.0004,1.97667,0.4168195,-0.0005,1.66765,0.4221202,-0.0006,1.74088,0.4228167,-0.0007,1.50084,0.4289669,-0.0008,1.44157,0.4275687,-0.0009,1.22128,0.4361233,-0.001,1.30301,0.4347396
5,0.499811,0.0,2.5323,0.5002912,-0.0001,2.32375,0.5067524,-0.0002,2.35952,0.5055624,-0.0003,1.93954,0.5121952,-0.0004,1.89146,0.5123215,-0.0005,1.74874,0.5153421,-0.0006,1.61376,0.5157484,-0.0007,1.49237,0.519909,-0.0008,1.551,0.5191263,-0.0009,1.21036,0.5239148,-0.001,1.27054,0.5234783
6,0.599759,0.0,2.68157,0.5992596,-0.0001,2.18271,0.6044513,-0.0002,2.32917,0.6035977,-0.0003,1.99343,0.6074968,-0.0004,1.88116,0.6073105,-0.0005,1.75104,0.6102293,-0.0006,1.7094,0.6100001,-0.0007,1.41928,0.613031,-0.0008,1.52875,0.6126114,-0.0009,1.25594,0.6158037,-0.001,1.25098,0.6150891
7,0.699675,0.0,3.02303,0.6812222,-0.0001,2.15496,0.7012317,-0.0002,2.23979,0.7002503,-0.0003,2.02239,0.7030446,-0.0004,1.91398,0.7031545,-0.0005,1.70329,0.7047729,-0.0006,1.75345,0.7047622,-0.0007,1.37779,0.7071914,-0.0008,1.45134,0.7066324,-0.0009,1.3028,0.7086188,-0.001,1.22928,0.7083007
8,0.799634,0.0,3.09744,0.5461118,-0.0001,2.22522,0.7988998,-0.0002,2.17275,0.7985232,-0.0003,1.94352,0.8001213,-0.0004,1.95611,0.8002741,-0.0005,1.57898,0.8014216,-0.0006,1.72629,0.8011683,-0.0007,1.45081,0.802457,-0.0008,1.42934,0.8021097,-0.0009,1.24062,0.8032104,-0.001,1.30239,0.8031293
9,0.899508,0.0,3.17274,0.4640364,-0.0001,2.23193,0.8973586,-0.0002,2.25927,0.8972352,-0.0003,1.85022,0.8980999,-0.0004,1.91373,0.8980954,-0.0005,1.67619,0.8988965,-0.0006,1.66209,0.8986815,-0.0007,1.5032,0.8994999,-0.0008,1.50926,0.8992487,-0.0009,1.16503,0.9000136,-0.001,1.32832,0.8998096
