,VoltIn,CurrIn001,CurrVOut001,VoltOut001,CurrIn002,CurrVOut002,VoltOut002,CurrIn003,CurrVOut003,VoltOut003,CurrIn004,CurrVOut004,VoltOut004,CurrIn005,CurrVOut005,VoltOut005,CurrIn006,CurrVOut006,VoltOut006,CurrIn007,CurrVOut007,VoltOut007,CurrIn008,CurrVOut008,VoltOut008,CurrIn009,CurrVOut009,VoltOut009,CurrIn010,CurrVOut010,VoltOut010,CurrIn011,CurrVOut011,VoltOut011
0,-1.75238e-05,0.0,3.08592,0.0196267,-0.0001,2.31141,0.1300081,-0.0002,2.14653,0.1496616,-0.0003,2.01055,0.164958,-0.0004,1.88881,0.1779548,-0.0005,1.7765,0.189583,-0.0006,1.66944,0.2027449,-0.0007,1.5679,0.2178665,-0.0008,1.469,0.2319349,-0.0009,1.37301,0.2446308,-0.001,1.27869,0.2561907
1,0.0999711,0.0,3.17166,0.0189412,-0.0001,2.31138,0.1608082,-0.0002,2.14648,0.1795949,-0.0003,2.01066,0.1941871,-0.0004,1.88891,0.2177202,-0.0005,1.7764,0.2394852,-0.0006,1.66951,0.2593368,-0.0007,1.56789,0.2769303,-0.0008,1.4689,0.2929348,-0.0009,1.37247,0.3074728,-0.001,1.27875,0.3204306
2,0.199971,0.0,3.14129,0.0189487,-0.0001,2.31143,0.2251012,-0.0002,2.14603,0.2369101,-0.0003,2.01048,0.2621533,-0.0004,1.88899,0.2893459,-0.0005,1.77652,0.3122234,-0.0006,1.66987,0.3321722,-0.0007,1.5686,0.3490419,-0.0008,1.46887,0.3637455,-0.0009,1.373,0.376594,-0.001,1.27922,0.3878071
3,0.299975,0.0,3.06584,0.0220661,-0.0001,2.31152,0.3138229,-0.0002,2.14625,0.3207159,-0.0003,2.01122,0.3518575,-0.0004,1.88972,0.376869,-0.0005,1.77636,0.3952615,-0.0006,1.6698,0.4101873,-0.0007,1.56786,0.4228538,-0.0008,1.46853,0.4342055,-0.0009,1.37192,0.4444066,-0.001,1.27781,0.453633
4,0.399993,0.0,3.08498,0.0660067,-0.0001,2.31176,0.4091731,-0.0002,2.14667,0.4156701,-0.0003,2.01136,0.4358381,-0.0004,1.88885,0.4509962,-0.0005,1.77557,0.4658964,-0.0006,1.66811,0.4795529,-0.0007,1.56568,0.49153,-0.0008,1.46588,0.5020033,-0.0009,1.36863,0.5118964,-0.001,1.27447,0.5201035
5,0.499969,0.0,3.17504,0.2344959,-0.0001,2.31168,0.5059062,-0.0002,2.14599,0.5094504,-0.0003,2.00992,0.4951283,-0.0004,1.88663,0.5082615,-0.0005,1.77277,0.5271534,-0.0006,1.66464,0.5424917,-0.0007,1.5619,0.55503,-0.0008,1.46181,0.565775,-0.0009,1.36487,0.5750069,-0.001,1.27035,0.5830072
6,0.599971,0.0,3.16298,0.3460685,-0.0001,2.31099,0.6036865,-0.0002,2.14597,0.6061517,-0.0003,2.00839,0.5360374,-0.0004,1.88493,0.5580369,-0.0005,1.76968,0.5812474,-0.0006,1.66164,0.5988325,-0.0007,1.55852,0.6126657,-0.0008,1.45776,0.6239798,-0.0009,1.36114,0.6334464,-0.001,1.267,0.6415082
7,0.699987,0.0,3.10253,0.4174541,-0.0001,2.30935,0.7016671,-0.0002,2.14447,0.7033199,-0.0003,2.00662,0.5783529,-0.0004,1.88191,0.6058788,-0.0005,1.76636,0.6332711,-0.0006,1.65766,0.6528781,-0.0007,1.55456,0.6677623,-0.0008,1.45485,0.6796883,-0.0009,1.35802,0.6894826,-0.001,1.26384,0.6976687
8,0.799957,0.0,3.10484,0.5628696,-0.0001,2.30629,0.7271199,-0.0002,2.14072,0.6376185,-0.0003,2.00228,0.6390731,-0.0004,1.87712,0.672049,-0.0005,1.76241,0.6990861,-0.0006,1.65357,0.7181918,-0.0007,1.55058,0.7326744,-0.0008,1.4508,0.7441948,-0.0009,1.35403,0.7538185,-0.001,1.26062,0.7615681
9,0.899972,0.0,3.1617,0.4744586,-0.0001,2.30488,0.700419,-0.0002,2.13446,0.7140912,-0.0003,1.99509,0.7503548,-0.0004,1.87067,0.7770492,-0.0005,1.75691,0.7957135,-0.0006,1.64908,0.8091019,-0.0007,1.54621,0.8206911,-0.0008,1.44629,0.829715,-0.0009,1.35044,0.8370286,-0.001,1.25651,0.8435564
10,0.999952,0.0,3.16,0.4290013,-0.0001,2.30688,0.8379679,-0.0002,2.1313,0.8549865,-0.0003,1.99084,0.8750688,-0.0004,1.86678,0.8911283,-0.0005,1.75218,0.9038067,-0.0006,1.64382,0.9135494,-0.0007,1.54148,0.9227555,-0.0008,1.44202,0.9299358,-0.0009,1.34579,0.9360139,-0.001,1.25245,0.9404392
11,1.09997,0.0,3.10508,0.6889096,-0.0001,2.31017,0.9875081,-0.0002,2.12984,0.9781719,-0.0003,1.98754,0.9916775,-0.0004,1.86276,1.0049052,-0.0005,1.7473,1.0164214,-0.0006,1.639,1.0261867,-0.0007,1.5366,1.0354949,-0.0008,1.43686,1.043362,-0.0009,1.34059,1.050282,-0.001,1.24693,1.0558891
12,1.19995,0.0,3.08562,0.6924393,-0.0001,2.31231,1.1128255,-0.0002,2.12876,1.0914164,-0.0003,1.98507,1.1060771,-0.0004,1.85874,1.1216629,-0.0005,1.74266,1.1364339,-0.0006,1.63387,1.1496702,-0.0007,1.53106,1.1620521,-0.0008,1.43183,1.1730659,-0.0009,1.3352,1.1834249,-0.001,1.24202,1.1926499
13,1.29997,0.0,3.15472,0.3865078,-0.0001,2.31411,1.2137943,-0.0002,2.12798,1.1866668,-0.0003,1.98289,1.2085129,-0.0004,1.85568,1.231994,-0.0005,1.73953,1.255148,-0.0006,1.63094,1.2776513,-0.0007,1.52732,1.2983766,-0.0008,1.42781,1.3163311,-0.0009,1.33139,1.3311849,-0.001,1.23838,1.3433543
14,1.39999,0.0,3.16594,0.3224517,-0.0001,2.31412,1.294761,-0.0002,2.12683,1.2691324,-0.0003,1.98038,1.3138028,-0.0004,1.85234,1.3612058,-0.0005,1.73633,1.4071384,-0.0006,1.6274,1.4381657,-0.0007,1.5244,1.4565747,-0.0008,1.42528,1.4664378,-0.0009,1.33014,1.4725316,-0.001,1.2372,1.4766473
15,1.49997,0.0,3.13273,0.3965947,-0.0001,2.31353,1.3729054,-0.0002,2.12507,1.3702166,-0.0003,1.97547,1.4864091,-0.0004,1.84855,1.5437843,-0.0005,1.73353,1.5572286,-0.0006,1.62563,1.5598665,-0.0007,1.52379,1.5597674,-0.0008,1.425,1.5587474,-0.0009,1.32978,1.5574334,-0.001,1.23702,1.5561571
16,1.59999,0.0,3.07978,0.5035246,-0.0001,2.31218,1.4573805,-0.0002,2.11768,1.5673419,-0.0003,1.97138,1.6472617,-0.0004,1.84691,1.6475425,-0.0005,1.73245,1.6401721,-0.0006,1.62515,1.6328777,-0.0007,1.52399,1.6265759,-0.0008,1.42514,1.6211477,-0.0009,1.32957,1.6163977,-0.001,1.23679,1.6122763
17,1.69997,0.0,3.13342,0.7004182,-0.0001,2.30913,1.5511896,-0.0002,2.11065,1.7336535,-0.0003,1.97046,1.7327369,-0.0004,1.84675,1.7174912,-0.0005,1.73252,1.7026075,-0.0006,1.62518,1.6900824,-0.0007,1.52373,1.6800781,-0.0008,1.42569,1.6714339,-0.0009,1.32991,1.6639821,-0.001,1.23751,1.6577737
18,1.79998,0.0,3.07435,0.6764729,-0.0001,2.30319,1.6795637,-0.0002,2.10856,1.8139989,-0.0003,1.97021,1.7952643,-0.0004,1.84658,1.7739562,-0.0005,1.73295,1.7542121,-0.0006,1.62614,1.7377251,-0.0007,1.52417,1.7240775,-0.0008,1.42585,1.7122912,-0.0009,1.33041,1.7022906,-0.001,1.23767,1.6938953
19,1.89999,0.0,3.10384,0.6521031,-0.0001,2.25609,1.641691,-0.0002,2.10693,1.8639068,-0.0003,1.96955,1.8430819,-0.0004,1.84664,1.8191918,-0.0005,1.73357,1.794962,-0.0006,1.62648,1.7744282,-0.0007,1.52446,1.7569562,-0.0008,1.42599,1.7418018,-0.0009,1.3311,1.7288351,-0.001,1.23839,1.7177793
20,1.99997,0.0,3.13155,0.6436905,-0.0001,2.25622,1.6586012,-0.0002,2.10608,1.8937153,-0.0003,1.96935,1.8765044,-0.0004,1.84714,1.8502959,-0.0005,1.73378,1.8229539,-0.0006,1.62669,1.7978661,-0.0007,1.52482,1.7760586,-0.0008,1.42628,1.7562549,-0.0009,1.32266,1.6157205,-0.001,1.2305,1.6089844
21,2.09987,0.0,3.15699,0.6190037,-0.0001,2.25617,1.6688257,-0.0002,2.09366,1.7521355,-0.0003,1.96885,1.8973797,-0.0004,1.84664,1.8682672,-0.0005,1.7328,1.8359817,-0.0006,1.6164,1.6623802,-0.0007,1.51562,1.6470394,-0.0008,1.4177,1.6349908,-0.0009,1.32304,1.62567,-0.001,1.23047,1.6179853
22,2.19968,0.0,3.12807,0.7031792,-0.0001,2.25591,1.6710417,-0.0002,2.09406,1.7631338,-0.0003,1.95801,1.7479319,-0.0004,1.83618,1.7169831,-0.0005,1.72289,1.6890234,-0.0006,1.61656,1.6671394,-0.0007,1.5152,1.6506823,-0.0008,1.41787,1.6383599,-0.0009,1.32264,1.6284691,-0.001,1.23046,1.6207779
23,2.29991,0.0,3.0737,0.6753913,-0.0001,2.25652,1.6768492,-0.0002,2.0944,1.7688884,-0.0003,1.9583,1.7514255,-0.0004,1.8357,1.7203773,-0.0005,1.72283,1.6917629,-0.0006,1.61649,1.668968,-0.0007,1.51525,1.6521551,-0.0008,1.4174,1.6397033,-0.0009,1.32244,1.6296792,-0.001,1.23012,1.6217267
24,2.39969,0.0,3.10315,0.6226457,-0.0001,2.25712,1.6806702,-0.0002,2.09389,1.7732331,-0.0003,1.9578,1.7547107,-0.0004,1.83588,1.722256,-0.0005,1.72335,1.6935484,-0.0006,1.61714,1.6707168,-0.0007,1.5153,1.6534792,-0.0008,1.41727,1.6407383,-0.0009,1.32287,1.6305892,-0.001,1.23068,1.6225548
25,2.4998,0.0,3.11802,0.552073,-0.0001,2.25699,1.689054,-0.0002,2.09396,1.7762809,-0.0003,1.95801,1.7572126,-0.0004,1.83581,1.724459,-0.0005,1.72333,1.6948275,-0.0006,1.61871,1.6717303,-0.0007,1.51591,1.6543005,-0.0008,1.4178,1.6414692,-0.0009,1.32304,1.6312615,-0.001,1.23049,1.6231859
