,Col001curr,Col001volt,Col002curr,Col002volt
0,1e-09,1.1098949e0,1e-09,9.715383e-1
1,2e-09,1.0814145e0,2e-09,9.423637e-1
2,3.0000000000000004e-09,1.0649628e0,3.0000000000000004e-09,9.260808e-1
3,4e-09,1.0534884e0,4e-09,9.147281e-1
4,5e-09,1.0446163e0,5e-09,9.060853e-1
5,6e-09,1.0374503e0,6e-09,8.989831e-1
6,7e-09,1.0314605e0,7e-09,8.930026e-1
7,8e-09,1.0263229e0,8e-09,8.878602e-1
8,9.000000000000001e-09,1.0215926e0,9.000000000000001e-09,8.832961e-1
9,1.0000000000000002e-08,1.0175852e0,1.0000000000000002e-08,8.793615e-1
10,1.1000000000000003e-08,1.0138882e0,1.1000000000000003e-08,8.757712e-1
11,1.2000000000000003e-08,1.0106288e0,1.2000000000000003e-08,8.723799e-1
12,1.3000000000000004e-08,1.0075565e0,1.3000000000000004e-08,8.692316e-1
13,1.4000000000000005e-08,1.0047528e0,1.4000000000000005e-08,8.666043e-1
14,1.5000000000000005e-08,1.0021294e0,1.5000000000000005e-08,8.641138e-1
15,1.6000000000000004e-08,9.996691e-1,1.6000000000000004e-08,8.616671e-1
16,1.7000000000000003e-08,9.97377e-1,1.7000000000000003e-08,8.592829e-1
17,1.8000000000000002e-08,9.951888e-1,1.8000000000000002e-08,8.572381e-1
18,1.9e-08,9.931371e-1,1.9e-08,8.554225e-1
19,2e-08,9.911749e-1,2e-08,8.536855e-1
20,2.1e-08,9.893476e-1,2.1e-08,8.517822e-1
21,2.2e-08,9.875038e-1,2.2e-08,8.500988e-1
22,2.2999999999999998e-08,9.857709e-1,2.2999999999999998e-08,8.487248e-1
23,2.3999999999999997e-08,9.84164e-1,2.3999999999999997e-08,8.474974e-1
24,2.4999999999999996e-08,9.82582e-1,2.4999999999999996e-08,8.461481e-1
25,2.5999999999999995e-08,9.811038e-1,2.5999999999999995e-08,8.446926e-1
26,2.6999999999999994e-08,9.797447e-1,2.6999999999999994e-08,8.435869e-1
27,2.7999999999999993e-08,9.783094e-1,2.7999999999999993e-08,8.426947e-1
28,2.8999999999999992e-08,9.770839e-1,2.8999999999999992e-08,8.417656e-1
29,2.999999999999999e-08,9.756695e-1,2.999999999999999e-08,8.404852e-1
30,3.099999999999999e-08,9.7454e-1,3.099999999999999e-08,8.395143e-1
31,3.1999999999999995e-08,9.734044e-1,3.1999999999999995e-08,8.389716e-1
32,3.3e-08,9.721345e-1,3.3e-08,8.384271e-1
33,3.4e-08,9.710757e-1,3.4e-08,8.375888e-1
34,3.5e-08,9.700395e-1,3.5e-08,8.366673e-1
35,3.6000000000000005e-08,9.690492e-1,3.6000000000000005e-08,8.361114e-1
36,3.700000000000001e-08,9.680321e-1,3.700000000000001e-08,8.359065e-1
37,3.800000000000001e-08,9.670004e-1,3.800000000000001e-08,8.354282e-1
38,3.900000000000001e-08,9.658536e-1,3.900000000000001e-08,8.347096e-1
39,4.0000000000000014e-08,9.650222e-1,4.0000000000000014e-08,8.341251e-1
40,4.1000000000000016e-08,9.640739e-1,4.1000000000000016e-08,8.340824e-1
41,4.200000000000002e-08,9.632152e-1,4.200000000000002e-08,8.340886e-1
42,4.300000000000002e-08,9.624053e-1,4.300000000000002e-08,8.336722e-1
43,4.4000000000000023e-08,9.61595e-1,4.4000000000000023e-08,8.330234e-1
44,4.5000000000000026e-08,9.606651e-1,4.5000000000000026e-08,8.330185e-1
45,4.600000000000003e-08,9.598326e-1,4.600000000000003e-08,8.333506e-1
46,4.700000000000003e-08,9.5907e-1,4.700000000000003e-08,8.332397e-1
47,4.800000000000003e-08,9.58306e-1,4.800000000000003e-08,8.32927e-1
48,4.9000000000000035e-08,9.575523e-1,4.9000000000000035e-08,8.326371e-1
49,5.000000000000004e-08,9.56743e-1,5.000000000000004e-08,8.331594e-1
50,5.100000000000004e-08,9.560649e-1,5.100000000000004e-08,8.33522e-1
51,5.200000000000004e-08,9.553187e-1,5.200000000000004e-08,8.333717e-1
52,5.3000000000000044e-08,9.545441e-1,5.3000000000000044e-08,8.330384e-1
53,5.400000000000005e-08,9.538508e-1,5.400000000000005e-08,8.333725e-1
54,5.500000000000005e-08,9.532191e-1,5.500000000000005e-08,8.340783e-1
55,5.600000000000005e-08,9.525841e-1,5.600000000000005e-08,8.343181e-1
56,5.7000000000000054e-08,9.519395e-1,5.7000000000000054e-08,8.341413e-1
57,5.8000000000000056e-08,9.512023e-1,5.8000000000000056e-08,8.342332e-1
58,5.900000000000006e-08,9.506139e-1,5.900000000000006e-08,8.350737e-1
59,6.000000000000006e-08,9.500168e-1,6.000000000000006e-08,8.357027e-1
60,6.100000000000006e-08,9.494215e-1,6.100000000000006e-08,8.358597e-1
61,6.200000000000005e-08,9.48832e-1,6.200000000000005e-08,8.356643e-1
62,6.300000000000005e-08,9.483331e-1,6.300000000000005e-08,8.363551e-1
63,6.400000000000004e-08,9.47719e-1,6.400000000000004e-08,8.371276e-1
64,6.500000000000004e-08,9.471045e-1,6.500000000000004e-08,8.376782e-1
65,6.600000000000004e-08,9.465616e-1,6.600000000000004e-08,8.37757e-1
66,6.700000000000003e-08,9.460002e-1,6.700000000000003e-08,8.380911e-1
67,6.800000000000003e-08,9.455227e-1,6.800000000000003e-08,8.390949e-1
68,6.900000000000002e-08,9.449861e-1,6.900000000000002e-08,8.399345e-1
69,7.000000000000002e-08,9.444915e-1,7.000000000000002e-08,8.403117e-1
70,7.100000000000001e-08,9.439557e-1,7.100000000000001e-08,8.40422e-1
71,7.200000000000001e-08,9.433739e-1,7.200000000000001e-08,8.413388e-1
72,7.3e-08,9.429073e-1,7.3e-08,8.424278e-1
73,7.4e-08,9.425122e-1,7.4e-08,8.430619e-1
74,7.5e-08,9.419741e-1,7.5e-08,8.431716e-1
75,7.599999999999999e-08,9.414402e-1,7.599999999999999e-08,8.435845e-1
76,7.699999999999999e-08,9.410594e-1,7.699999999999999e-08,8.44673e-1
77,7.799999999999998e-08,9.405879e-1,7.799999999999998e-08,8.455097e-1
78,7.899999999999998e-08,9.400771e-1,7.899999999999998e-08,8.456795e-1
79,7.999999999999998e-08,9.396865e-1,7.999999999999998e-08,8.459094e-1
80,8.099999999999997e-08,9.391408e-1,8.099999999999997e-08,8.467822e-1
81,8.199999999999997e-08,9.387158e-1,8.199999999999997e-08,8.477058e-1
82,8.299999999999996e-08,9.381924e-1,8.299999999999996e-08,8.482252e-1
