,Col001volt,Col001curr,Col002volt,Col002curr
0,1.1042935,1.00E-09,0.9692639,1.00E-09
1,1.1004335,1.10E-09,0.9654563,1.10E-09
2,1.0971084,1.20E-09,0.9619289,1.20E-09
3,1.0940867,1.30E-09,0.958715,1.30E-09
4,1.0913108,1.40E-09,0.9557203,1.40E-09
5,1.0888634,1.50E-09,0.9529362,1.50E-09
6,1.0863783,1.60E-09,0.950314,1.60E-09
7,1.0840606,1.70E-09,0.9479455,1.70E-09
8,1.0819553,1.80E-09,0.9454938,1.80E-09
9,1.080022,1.90E-09,0.9433368,1.90E-09
10,1.0780643,2.00E-09,0.9411981,2.00E-09
11,1.0762337,2.10E-09,0.9393687,2.10E-09
12,1.0744374,2.20E-09,0.9375657,2.20E-09
13,1.0728367,2.30E-09,0.9358265,2.30E-09
14,1.0711606,2.40E-09,0.9340366,2.40E-09
15,1.0696191,2.50E-09,0.9323654,2.50E-09
16,1.0681047,2.60E-09,0.9308413,2.60E-09
17,1.0666694,2.70E-09,0.9293833,2.70E-09
18,1.0653045,2.80E-09,0.9279978,2.80E-09
19,1.0639133,2.90E-09,0.9266372,2.90E-09
20,1.0626324,3.00E-09,0.9253412,3.00E-09
21,1.0613893,3.10E-09,0.9240146,3.10E-09
22,1.0601491,3.20E-09,0.9227359,3.20E-09
23,1.0589982,3.30E-09,0.9215728,3.30E-09
24,1.0577708,3.40E-09,0.9203511,3.40E-09
25,1.0567461,3.50E-09,0.9193107,3.50E-09
26,1.0557016,3.60E-09,0.9182376,3.60E-09
27,1.0546113,3.70E-09,0.9171772,3.70E-09
28,1.0535148,3.80E-09,0.9161635,3.80E-09
29,1.0525346,3.90E-09,0.9151783,3.90E-09
30,1.0514787,4.00E-09,0.9142129,4.00E-09
31,1.0505126,4.10E-09,0.9132346,4.10E-09
32,1.0496234,4.20E-09,0.9123336,4.20E-09
33,1.0487176,4.30E-09,0.9113841,4.30E-09
34,1.0478404,4.40E-09,0.9105412,4.40E-09
35,1.0469715,4.50E-09,0.9096956,4.50E-09
36,1.0461802,4.60E-09,0.9088347,4.60E-09
37,1.045368,4.70E-09,0.9079868,4.70E-09
38,1.0445119,4.80E-09,0.9072081,4.80E-09
39,1.0437525,4.90E-09,0.9063854,4.90E-09
40,1.0429443,5.00E-09,0.9056265,5.00E-09
41,1.0422334,5.10E-09,0.9048717,5.10E-09
42,1.0414375,5.20E-09,0.9041051,5.20E-09
43,1.0407832,5.30E-09,0.9034368,5.30E-09
44,1.0400776,5.40E-09,0.9026955,5.40E-09
45,1.0393533,5.50E-09,0.9019725,5.50E-09
46,1.0387126,5.60E-09,0.9012851,5.60E-09
47,1.0380213,5.70E-09,0.9006052,5.70E-09
48,1.0372574,5.80E-09,0.8999544,5.80E-09
49,1.0367062,5.90E-09,0.8992871,5.90E-09
50,1.0359994,6.00E-09,0.8986827,6.00E-09
51,1.0353631,6.10E-09,0.8979377,6.10E-09
52,1.034748,6.20E-09,0.8973462,6.20E-09
53,1.0341001,6.30E-09,0.8966734,6.30E-09
54,1.0335388,6.40E-09,0.8961038,6.40E-09
55,1.0328608,6.50E-09,0.8954962,6.50E-09
56,1.0322748,6.60E-09,0.8949961,6.60E-09
57,1.0317175,6.70E-09,0.8944394,6.70E-09
58,1.0312811,6.80E-09,0.8938795,6.80E-09
59,1.0307104,6.90E-09,0.8933909,6.90E-09
60,1.0301201,7.00E-09,0.8927872,7.00E-09
61,1.0295572,7.10E-09,0.8922342,7.10E-09
62,1.0290611,7.20E-09,0.8916612,7.20E-09
63,1.0284434,7.30E-09,0.8911815,7.30E-09
64,1.0279768,7.40E-09,0.8906798,7.40E-09
65,1.0274467,7.50E-09,0.8901888,7.50E-09
66,1.0269442,7.60E-09,0.8896212,7.60E-09
67,1.0264979,7.70E-09,0.8891206,7.70E-09
68,1.0259354,7.80E-09,0.8886306,7.80E-09
69,1.0254906,7.90E-09,0.8881224,7.90E-09
70,1.0249576,8.00E-09,0.8876639,8.00E-09
71,1.0245077,8.10E-09,0.8872749,8.10E-09
72,1.024029,8.20E-09,0.8867847,8.20E-09
73,1.0237072,8.30E-09,0.8863261,8.30E-09
74,1.0231909,8.40E-09,0.8858635,8.40E-09
75,1.0227348,8.50E-09,0.8854207,8.50E-09
76,1.0222703,8.60E-09,0.8849707,8.60E-09
77,1.0217963,8.70E-09,0.8845409,8.70E-09
78,1.0213991,8.80E-09,0.8841012,8.80E-09
79,1.0209383,8.90E-09,0.8836304,8.90E-09
80,1.0205514,9.00E-09,0.8832046,9.00E-09
