,Col001volt,Col001curr,Col002volt,Col002curr
0,1.1042935,1e-09,0.9692639,1e-09
1,1.1004335,1.1000000000000001e-09,0.9654563,1.1000000000000001e-09
2,1.0971084,1.2000000000000002e-09,0.9619289,1.2000000000000002e-09
3,1.0940867,1.3000000000000003e-09,0.958715,1.3000000000000003e-09
4,1.0913108,1.4000000000000003e-09,0.9557203,1.4000000000000003e-09
5,1.0888634,1.5000000000000004e-09,0.9529362,1.5000000000000004e-09
6,1.0863783,1.6000000000000005e-09,0.950314,1.6000000000000005e-09
7,1.0840606,1.7000000000000005e-09,0.9479455,1.7000000000000005e-09
8,1.0819553,1.8000000000000006e-09,0.9454938,1.8000000000000006e-09
9,1.080022,1.9000000000000005e-09,0.9433368,1.9000000000000005e-09
10,1.0780643,2.0000000000000005e-09,0.9411981,2.0000000000000005e-09
11,1.0762337,2.1000000000000006e-09,0.9393687,2.1000000000000006e-09
12,1.0744374,2.2000000000000007e-09,0.9375657,2.2000000000000007e-09
13,1.0728367,2.3000000000000007e-09,0.9358265,2.3000000000000007e-09
14,1.0711606,2.400000000000001e-09,0.9340366,2.400000000000001e-09
15,1.0696191,2.500000000000001e-09,0.9323654,2.500000000000001e-09
16,1.0681047,2.600000000000001e-09,0.9308413,2.600000000000001e-09
17,1.0666694,2.700000000000001e-09,0.9293833,2.700000000000001e-09
18,1.0653045,2.800000000000001e-09,0.9279978,2.800000000000001e-09
19,1.0639133,2.900000000000001e-09,0.9266372,2.900000000000001e-09
20,1.0626324,3.0000000000000012e-09,0.9253412,3.0000000000000012e-09
21,1.0613893,3.1000000000000013e-09,0.9240146,3.1000000000000013e-09
22,1.0601491,3.2000000000000014e-09,0.9227359,3.2000000000000014e-09
23,1.0589982,3.3000000000000014e-09,0.9215728,3.3000000000000014e-09
24,1.0577708,3.4000000000000015e-09,0.9203511,3.4000000000000015e-09
25,1.0567461,3.5000000000000016e-09,0.9193107,3.5000000000000016e-09
26,1.0557016,3.6000000000000016e-09,0.9182376,3.6000000000000016e-09
27,1.0546113,3.7000000000000017e-09,0.9171772,3.7000000000000017e-09
28,1.0535148,3.800000000000002e-09,0.9161635,3.800000000000002e-09
29,1.0525346,3.900000000000002e-09,0.9151783,3.900000000000002e-09
30,1.0514787,4.000000000000002e-09,0.9142129,4.000000000000002e-09
31,1.0505126,4.100000000000002e-09,0.9132346,4.100000000000002e-09
32,1.0496234,4.200000000000002e-09,0.9123336,4.200000000000002e-09
33,1.0487176,4.300000000000002e-09,0.9113841,4.300000000000002e-09
34,1.0478404,4.400000000000002e-09,0.9105412,4.400000000000002e-09
