,Col001volt,Col001curr,Col002volt,Col002curr,Col003volt,Col003curr,Col004volt,Col004curr,Col005volt,Col005curr,Col006volt,Col006curr,Col007volt,Col007curr,Col008volt,Col008curr,Col009volt,Col009curr,Col010volt,Col010curr
0,-0.04498139999999995,1e-10,-0.14245050000000004,1e-10,-0.14858379999999993,1e-10,-0.052780199999999944,1e-10,-0.05217589999999994,1e-10,-0.08115079999999986,1e-10,-0.09414849999999997,1e-10,-0.1183247999999999,1e-10,-0.12182059999999995,1e-10,-0.16770399999999985,1e-10
1,-0.04947480000000004,2e-10,-0.16835449999999996,2e-10,-0.1727863999999999,2e-10,-0.05933489999999986,2e-10,-0.05790439999999997,2e-10,-0.09736600000000006,2e-10,-0.11338129999999991,2e-10,-0.13844180000000006,2e-10,-0.1430962,2e-10,-0.19007360000000006,2e-10
2,-0.06026010000000004,3e-10,-0.18750669999999992,3e-10,-0.19068770000000002,3e-10,-0.06592319999999985,3e-10,-0.06376699999999991,3e-10,-0.11054839999999988,3e-10,-0.12806629999999997,3e-10,-0.15364279999999986,3e-10,-0.15884769999999993,3e-10,-0.2063587,3e-10
3,-0.06848339999999986,4e-10,-0.20111389999999996,4e-10,-0.2035171,4e-10,-0.07203129999999991,4e-10,-0.0693066,4e-10,-0.12081549999999996,4e-10,-0.1391445,4e-10,-0.16454489999999988,4e-10,-0.17051149999999993,4e-10,-0.2183067999999999,4e-10
4,-0.07536759999999987,5e-10,-0.21135249999999994,5e-10,-0.21344399999999997,5e-10,-0.07742479999999996,5e-10,-0.07439850000000003,5e-10,-0.1290289,5e-10,-0.1479583,5e-10,-0.17303479999999993,5e-10,-0.17967960000000005,5e-10,-0.22759209999999996,5e-10
5,-0.08132490000000003,6e-10,-0.21957099999999996,6e-10,-0.22142419999999996,6e-10,-0.08220739999999993,6e-10,-0.07881490000000002,6e-10,-0.13589989999999985,6e-10,-0.15537329999999994,6e-10,-0.1804292999999999,6e-10,-0.18715159999999997,6e-10,-0.2351223,6e-10
6,-0.08650570000000002,7.000000000000001e-10,-0.2264699,7.000000000000001e-10,-0.22813229999999995,7.000000000000001e-10,-0.08655419999999991,7.000000000000001e-10,-0.08306559999999985,7.000000000000001e-10,-0.1419085,7.000000000000001e-10,-0.16154469999999987,7.000000000000001e-10,-0.18670389999999992,7.000000000000001e-10,-0.19344099999999997,7.000000000000001e-10,-0.2414056,7.000000000000001e-10
7,-0.09121859999999993,8e-10,-0.2323733,8e-10,-0.23380479999999992,8e-10,-0.09045970000000003,8e-10,-0.08682789999999985,8e-10,-0.14698619999999996,8e-10,-0.16686749999999995,8e-10,-0.19207439999999987,8e-10,-0.1989129999999999,8e-10,-0.24683219999999995,8e-10
8,-0.09545619999999988,9e-10,-0.23745899999999998,9e-10,-0.2389196,9e-10,-0.09393309999999988,9e-10,-0.09028400000000003,9e-10,-0.15159919999999993,9e-10,-0.17161579999999987,9e-10,-0.1969011999999999,9e-10,-0.2036732,9e-10,-0.2515972999999999,9e-10
9,-0.09934880000000001,1e-09,-0.24211229999999995,1e-09,-0.24345339999999993,1e-09,-0.09717989999999999,1e-09,-0.09342889999999993,1e-09,-0.15570780000000006,1e-09,-0.17581420000000003,1e-09,-0.20103959999999998,1e-09,-0.20791159999999997,1e-09,-0.25597519999999996,1e-09
10,-0.12507239999999986,2e-09,-0.2716993,2e-09,-0.27301089999999995,2e-09,-0.12101349999999989,2e-09,-0.11666730000000003,2e-09,-0.18285069999999992,2e-09,-0.2032328,2e-09,-0.2283504999999999,2e-09,-0.23549909999999996,2e-09,-0.2838147999999999,2e-09
11,-0.14075039999999994,3e-09,-0.28905559999999997,3e-09,-0.29030279999999997,3e-09,-0.1358185999999999,3e-09,-0.1313297,3e-09,-0.19847979999999987,3e-09,-0.2188992999999999,3e-09,-0.24413719999999994,3e-09,-0.2513194999999999,3e-09,-0.3001125,3e-09
12,-0.15219919999999987,4e-09,-0.3014277999999999,4e-09,-0.30276369999999997,4e-09,-0.14658219999999988,4e-09,-0.14214919999999998,4e-09,-0.2094937,4e-09,-0.22990709999999992,4e-09,-0.2551696,4e-09,-0.26243479999999997,4e-09,-0.3116530999999999,4e-09
13,-0.16092189999999995,5e-09,-0.311168,5e-09,-0.3124557,5e-09,-0.15509799999999996,5e-09,-0.1506639999999999,5e-09,-0.2179871,5e-09,-0.23843559999999997,5e-09,-0.263741,5e-09,-0.2710809999999999,5e-09,-0.32061759999999995,5e-09
14,-0.16826110000000005,6e-09,-0.3191360999999999,6e-09,-0.32044209999999995,6e-09,-0.16214489999999993,6e-09,-0.15776539999999994,6e-09,-0.2249006,6e-09,-0.24538169999999992,6e-09,-0.27083919999999995,6e-09,-0.27820539999999994,6e-09,-0.3279603,6e-09
15,-0.174307,7.000000000000001e-09,-0.3259797,7.000000000000001e-09,-0.3273176,7.000000000000001e-09,-0.16812059999999995,7.000000000000001e-09,-0.16367850000000006,7.000000000000001e-09,-0.2306819,7.000000000000001e-09,-0.25120259999999994,7.000000000000001e-09,-0.2767311,7.000000000000001e-09,-0.28413639999999996,7.000000000000001e-09,-0.33415949999999994,7.000000000000001e-09
