,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi
0,1.15085,1e-12,0.3057,1.08981,1e-12,1.00651
1,1.15093,2e-12,0.313359,1.09255,2e-12,0.998609
2,1.1509,3e-12,0.312893,1.09365,3e-12,1.00319
3,1.15087,4e-12,0.303575,1.09465,4e-12,1.01208
4,1.15083,5e-12,0.297716,1.0953,5e-12,1.01824
5,1.15092,6e-12,0.288557,1.096,6e-12,1.02924
6,1.15092,7e-12,0.291568,1.09644,7e-12,1.03049
7,1.15094,8e-12,0.301388,1.09679,8e-12,1.0261
8,1.15086,9e-12,0.316424,1.09706,9e-12,1.01542
9,1.15097,1e-11,0.336635,1.09722,1e-11,1.00195
10,1.1509,2e-11,0.366093,1.09542,2e-11,0.998903
11,1.15085,3e-11,0.404825,1.0924,3e-11,0.99927
12,1.15088,4e-11,0.441493,1.08831,4e-11,1.01339
13,1.15092,5e-11,0.480432,1.08351,5e-11,1.03408
14,1.151,6e-11,0.508698,1.07858,6e-11,1.06245
15,1.15114,7e-11,0.54911,1.07347,7e-11,1.09318
16,1.15098,8e-11,0.603765,1.06877,8e-11,1.11907
17,1.15111,9e-11,0.666268,1.06462,9e-11,1.14595
18,1.15101,1e-10,0.741348,1.06102,1e-10,1.16009
19,1.15067,2e-10,0.906549,1.04135,2e-10,1.21931
20,1.14324,3e-10,1.12581,1.02842,3e-10,1.25358
21,1.12694,4e-10,1.26608,1.02004,4e-10,1.26554
22,1.12171,5e-10,1.28927,1.01365,5e-10,1.27087
23,1.11819,6e-10,1.2933,1.00818,6e-10,1.27557
24,1.11502,7e-10,1.2917,1.00343,7e-10,1.2881
25,1.11219,8e-10,1.29397,0.999315,8e-10,1.30504
26,1.10977,9e-10,1.29926,0.995513,9e-10,1.32397
27,1.10735,1e-09,1.31749,0.992215,1e-09,1.3445
28,1.09058,2e-09,1.40248,0.96912,2e-09,1.40456
29,1.07939,3e-09,1.41948,0.954042,3e-09,1.44218
30,1.07124,4e-09,1.45142,0.943043,4e-09,1.45629
31,1.06468,5e-09,1.48058,0.93425,5e-09,1.49575
32,1.05924,6e-09,1.48286,0.926834,6e-09,1.49401
33,1.05451,7e-09,1.51287,0.920362,7e-09,1.52245
34,1.05039,8e-09,1.5128,0.914495,8e-09,1.5318
35,1.04681,9e-09,1.52853,0.909334,9e-09,1.539
36,1.04337,1e-08,1.54153,0.904703,1e-08,1.55788
37,1.02082,2e-08,1.60547,0.871008,2e-08,1.619
38,1.0069,3e-08,1.65086,0.848691,3e-08,1.66747
39,0.996789,4e-08,1.67912,0.831819,4e-08,1.69587
40,0.988997,5e-08,1.70718,0.817848,5e-08,1.72418
41,0.982337,6e-08,1.72636,0.806146,6e-08,1.74491
42,0.976756,7e-08,1.74467,0.795939,7e-08,1.76259
43,0.97181,8e-08,1.76164,0.786824,8e-08,1.78028
44,0.967497,9e-08,1.7745,0.7785,9e-08,1.793
45,0.963593,1e-07,1.78898,0.771013,1e-07,1.80694
46,0.937115,2e-07,1.87812,0.718828,2e-07,1.89726
47,0.921014,3e-07,1.93561,0.687537,3e-07,1.95218
48,0.909195,4e-07,1.97732,0.666075,4e-07,1.99321
49,0.899787,5e-07,2.01153,0.649537,5e-07,2.02617
50,0.892013,6e-07,2.04082,0.636246,6e-07,2.05417
51,0.885217,7e-07,2.06531,0.624781,7e-07,2.0781
52,0.879105,8e-07,2.08802,0.614758,8e-07,2.09934
53,0.873785,9e-07,2.10765,0.605488,9e-07,2.1185
54,0.868807,1e-06,2.12597,0.597119,1e-06,2.13633
55,0.83395,2e-06,2.25554,0.53052,2e-06,2.26302
56,0.811142,3e-06,2.34112,0.473475,3e-06,2.34737
57,0.793779,4e-06,2.40707,0.415348,4e-06,2.41253
58,0.779242,4.9999999999999996e-06,2.46184,0.358158,4.9999999999999996e-06,2.46654
59,0.766918,6e-06,2.50875,0.310086,6e-06,2.51341
60,0.756136,7e-06,2.55056,0.276103,7e-06,2.5546
61,0.746558,8e-06,2.58837,0.253568,8e-06,2.59221
62,0.737769,9e-06,2.62283,0.238039,9e-06,2.62605
63,0.729927,9.999999999999999e-06,2.6547,0.227308,9.999999999999999e-06,2.65763
64,0.677023,1.9999999999999998e-05,2.88986,0.196955,1.9999999999999998e-05,2.89164
65,0.646132,3e-05,3.05335,0.189615,3e-05,3.0547
66,0.624099,3.9999999999999996e-05,3.18399,0.186122,3.9999999999999996e-05,3.18517
67,0.606162,4.9999999999999996e-05,3.29503,0.184072,4.9999999999999996e-05,3.29602
