,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi,Col003Vs,Col003Id,Col003Vi,Col004Vs,Col004Id,Col004Vi
0,1.15087,1e-12,0.321164,1.08982,1e-12,1.02284,1.09064,1e-12,1.0264,1.14885,1e-12,1.05123
1,1.15087,2e-12,0.297953,1.09248,2e-12,0.99716,1.09199,2e-12,0.996906,1.1488,2e-12,1.00504
2,1.15078,3e-12,0.31157,1.09356,3e-12,0.991941,1.09301,3e-12,0.99311,1.14901,3e-12,0.991047
3,1.15084,4e-12,0.347688,1.09456,4e-12,0.990764,1.0939,4e-12,0.992406,1.14903,4e-12,1.00509
4,1.15079,5e-12,0.311573,1.09529,5e-12,0.99311,1.09452,5e-12,1.0089,1.14908,5e-12,1.02556
5,1.15091,6e-12,0.331125,1.09589,6e-12,1.0014,1.09512,6e-12,1.03525,1.14904,6e-12,1.0321
6,1.15092,7e-12,0.366347,1.09628,7e-12,1.01118,1.09557,7e-12,1.02131,1.14918,7e-12,1.01834
7,1.15085,8e-12,0.332916,1.09674,8e-12,1.02475,1.09599,8e-12,0.980787,1.14927,8e-12,0.993824
8,1.15081,9e-12,0.354504,1.09693,9e-12,1.02984,1.09618,9e-12,1.00714,1.14929,9e-12,0.978376
9,1.15091,1e-11,0.391757,1.09713,1e-11,1.02714,1.09628,1e-11,1.02504,1.14928,1e-11,0.983457
10,1.1509,2e-11,0.364771,1.09522,2e-11,1.03097,1.09428,2e-11,0.988441,1.14899,2e-11,1.02543
11,1.15084,3e-11,0.416726,1.09213,3e-11,1.03358,1.09112,3e-11,1.02797,1.14867,3e-11,1.0514
12,1.15085,4e-11,0.470087,1.08805,4e-11,1.03946,1.08692,4e-11,1.06476,1.1482,4e-11,1.05779
13,1.1508,5e-11,0.466287,1.08334,5e-11,1.04655,1.08195,5e-11,1.03848,1.14754,5e-11,1.05555
14,1.15071,6e-11,0.541755,1.07827,6e-11,1.05297,1.07688,6e-11,1.07866,1.14676,6e-11,1.05416
15,1.15073,7e-11,0.612307,1.07331,7e-11,1.06799,1.07195,7e-11,1.11838,1.14574,7e-11,1.07174
