,Col001volt,Col001curr,Col002volt,Col002curr,Col003volt,Col003curr,Col004volt,Col004curr,Col005volt,Col005curr,Col006volt,Col006curr,Col007volt,Col007curr,Col008volt,Col008curr,Col009volt,Col009curr,Col010volt,Col010curr
0,3.30261,1e-10,3.30263,1e-10,3.30256,1e-10,3.30256,1e-10,3.30251,1e-10,3.3024,1e-10,3.30236,1e-10,3.3023,1e-10,3.30233,1e-10,3.30241,1e-10
1,3.30262,2e-10,3.30266,2e-10,3.30253,2e-10,3.30252,2e-10,3.30252,2e-10,3.30241,2e-10,3.30236,2e-10,3.30228,2e-10,3.3023,2e-10,3.3024,2e-10
2,3.30259,3e-10,3.30267,3e-10,3.30252,3e-10,3.30257,3e-10,3.3025,3e-10,3.30244,3e-10,3.30236,3e-10,3.3023,3e-10,3.3023,3e-10,3.30242,3e-10
3,3.30261,4e-10,3.30263,4e-10,3.30254,4e-10,3.3026,4e-10,3.30251,4e-10,3.30238,4e-10,3.30236,4e-10,3.30226,4e-10,3.30234,4e-10,3.30242,4e-10
4,3.30264,5e-10,3.3027,5e-10,3.30255,5e-10,3.30257,5e-10,3.30254,5e-10,3.3024,5e-10,3.30238,5e-10,3.30228,5e-10,3.30232,5e-10,3.30241,5e-10
5,3.30263,6e-10,3.30264,6e-10,3.30255,6e-10,3.30258,6e-10,3.30252,6e-10,3.30241,6e-10,3.3024,6e-10,3.30224,6e-10,3.3023,6e-10,3.30242,6e-10
6,3.30261,7.000000000000001e-10,3.30262,7.000000000000001e-10,3.3025,7.000000000000001e-10,3.30257,7.000000000000001e-10,3.30249,7.000000000000001e-10,3.3024,7.000000000000001e-10,3.30236,7.000000000000001e-10,3.30227,7.000000000000001e-10,3.30236,7.000000000000001e-10,3.30243,7.000000000000001e-10
7,3.3026,8e-10,3.30269,8e-10,3.30253,8e-10,3.30258,8e-10,3.30251,8e-10,3.30241,8e-10,3.30239,8e-10,3.3023,8e-10,3.30234,8e-10,3.30245,8e-10
8,3.30259,9e-10,3.30267,9e-10,3.30254,9e-10,3.30256,9e-10,3.30256,9e-10,3.30243,9e-10,3.30239,9e-10,3.3023,9e-10,3.30233,9e-10,3.30243,9e-10
9,3.30258,1e-09,3.30272,1e-09,3.30255,1e-09,3.30256,1e-09,3.30255,1e-09,3.30241,1e-09,3.30235,1e-09,3.3023,1e-09,3.30237,1e-09,3.30245,1e-09
10,3.30264,2e-09,3.30269,2e-09,3.30251,2e-09,3.30254,2e-09,3.3025,2e-09,3.30237,2e-09,3.30241,2e-09,3.30226,2e-09,3.30239,2e-09,3.3024,2e-09
11,3.30264,3e-09,3.30269,3e-09,3.30257,3e-09,3.30253,3e-09,3.30251,3e-09,3.3024,3e-09,3.30239,3e-09,3.30225,3e-09,3.30241,3e-09,3.30238,3e-09
12,3.30261,4e-09,3.30267,4e-09,3.30251,4e-09,3.30256,4e-09,3.30255,4e-09,3.3024,4e-09,3.30238,4e-09,3.30226,4e-09,3.30237,4e-09,3.30237,4e-09
