,Col001volt,Col001curr,Col002volt,Col002curr
0,1.14569,1e-10,1.05321,1e-10
1,1.14576,2e-10,1.03547,2e-10
2,1.14521,3e-10,1.0236,3e-10
3,1.13074,4e-10,1.01547,4e-10
4,1.11782,5e-10,1.00917,5e-10
5,1.11391,6e-10,1.00384,6e-10
6,1.11038,7.000000000000001e-10,0.998919,7.000000000000001e-10
7,1.10786,8e-10,0.995061,8e-10
8,1.10544,9e-10,0.991299,9e-10
9,1.10309,1e-09,0.987933,1e-09
10,1.08652,2e-09,0.965272,2e-09
11,1.07533,3e-09,0.949944,3e-09
12,1.06738,4e-09,0.93879,4e-09
13,1.06072,5e-09,0.92959,5e-09
14,1.05529,6e-09,0.922309,6e-09
15,1.05066,7.000000000000001e-09,0.915824,7.000000000000001e-09
16,1.04632,8e-09,0.909716,8e-09
17,1.0429,9e-09,0.904651,9e-09
18,1.03959,1e-08,0.89996,1e-08
19,1.01684,2e-08,0.865616,2e-08
20,1.0029,3.0000000000000004e-08,0.843084,3.0000000000000004e-08
21,0.992497,4e-08,0.825504,4e-08
22,0.984802,5.0000000000000004e-08,0.811279,5.0000000000000004e-08
23,0.978177,6.000000000000001e-08,0.799231,6.000000000000001e-08
24,0.972291,7e-08,0.788287,7e-08
25,0.967539,8e-08,0.778833,8e-08
26,0.963038,9e-08,0.77055,9e-08
27,0.958992,1.0000000000000001e-07,0.762331,1.0000000000000001e-07
28,0.932462,2.0000000000000002e-07,0.709085,2.0000000000000002e-07
29,0.916116,3e-07,0.677967,3e-07
30,0.904257,4.0000000000000003e-07,0.65703,4.0000000000000003e-07
31,0.894698,5e-07,0.640988,5e-07
32,0.886354,6e-07,0.62731,6e-07
33,0.87971,7.000000000000001e-07,0.61611,7.000000000000001e-07
34,0.873673,8.000000000000001e-07,0.606564,8.000000000000001e-07
35,0.867914,9.000000000000001e-07,0.597266,9.000000000000001e-07
36,0.863011,1e-06,0.589243,1e-06
37,0.82745,2e-06,0.524389,2e-06
38,0.803529,3e-06,0.464309,3e-06
39,0.785678,4e-06,0.404046,4e-06
40,0.770749,5e-06,0.346223,5e-06
41,0.757206,6e-06,0.297498,6e-06
42,0.746521,7e-06,0.264801,7e-06
43,0.737092,8e-06,0.242853,8e-06
44,0.727741,9e-06,0.227305,9e-06
45,0.719012,1e-05,0.219005,1e-05
