,Col001volt,Col001curr,Col001Vi,Col002volt,Col002curr,Col002Vi
0,1.14776,1e-12,0.835081,1.09014,1e-12,1.02658
1,1.14756,2e-12,0.802504,1.09309,2e-12,0.991311
2,1.14784,3e-12,0.811642,1.09413,3e-12,1.02884
3,1.14773,4e-12,0.848958,1.0953,4e-12,1.02491
4,1.1476,5e-12,0.839624,1.09647,5e-12,0.972598
5,1.14774,6e-12,0.813768,1.0971,6e-12,1.01122
6,1.14769,7e-12,0.859449,1.09708,7e-12,0.998441
7,1.14754,8e-12,0.849616,1.09787,8e-12,0.969335
8,1.1475,9e-12,0.828416,1.0981,9e-12,0.996245
9,1.14748,1e-11,0.878755,1.09758,1e-11,1.01677
10,1.14732,2e-11,0.87098,1.09631,2e-11,1.01368
11,1.14714,3e-11,0.874547,1.09306,3e-11,1.00475
12,1.14687,4e-11,0.946657,1.08822,4e-11,1.00486
13,1.14643,5e-11,0.945398,1.08363,5e-11,1.03781
14,1.14585,6e-11,0.973907,1.0781,6e-11,1.08171
15,1.14504,7e-11,1.03384,1.07234,7e-11,1.11231
16,1.14365,8e-11,1.07729,1.06752,8e-11,1.10182
17,1.14205,9e-11,1.06259,1.06313,9e-11,1.10542
18,1.14059,1e-10,1.12097,1.05896,1e-10,1.15849
19,1.13325,2e-10,1.19694,1.03939,2e-10,1.18762
20,1.12688,3e-10,1.20874,1.02662,3e-10,1.23472
21,1.12237,4e-10,1.27149,1.01799,4e-10,1.28363
22,1.11856,5e-10,1.27639,1.01149,5e-10,1.26004
23,1.11521,6e-10,1.27057,1.00599,6e-10,1.30123
24,1.11225,7e-10,1.32185,1.00122,7e-10,1.32328
25,1.10947,8e-10,1.30909,0.996922,8e-10,1.30617
26,1.10698,9e-10,1.30736,0.993144,9e-10,1.31153
27,1.10464,1e-09,1.35361,0.989695,1e-09,1.33998
28,1.08786,2e-09,1.37504,0.966438,2e-09,1.40162
29,1.07698,3e-09,1.41175,0.951289,3e-09,1.44914
30,1.06884,4e-09,1.44345,0.940336,4e-09,1.45554
31,1.06234,5e-09,1.46744,0.931482,5e-09,1.48125
32,1.0569,6e-09,1.49053,0.923966,6e-09,1.51301
33,1.05222,7e-09,1.50865,0.917379,7e-09,1.51881
34,1.04811,8e-09,1.5227,0.911688,8e-09,1.52555
35,1.04453,9e-09,1.5226,0.906436,9e-09,1.54845
36,1.04106,1e-08,1.53859,0.901682,1e-08,1.55604
37,1.01847,2e-08,1.61012,0.867512,2e-08,1.62124
38,1.00436,3e-08,1.65227,0.845033,3e-08,1.66887
39,0.994369,4e-08,1.6794,0.827866,4e-08,1.6988
40,0.986393,5e-08,1.7076,0.8139,5e-08,1.72296
41,0.979666,6e-08,1.72761,0.801908,6e-08,1.74707
42,0.974329,7e-08,1.74453,0.791564,7e-08,1.76434
43,0.969401,8e-08,1.76223,0.782336,8e-08,1.77927
44,0.964673,9e-08,1.77524,0.773973,9e-08,1.79484
45,0.961162,1e-07,1.78851,0.766274,1e-07,1.80849
46,0.934275,2e-07,1.87935,0.713512,2e-07,1.89746
47,0.918508,3e-07,1.93577,0.682381,3e-07,1.95319
48,0.90607,4e-07,1.97779,0.66096,4e-07,1.99416
49,0.897219,5e-07,2.01217,0.644855,5e-07,2.02689
50,0.88925,6e-07,2.04098,0.631345,6e-07,2.05474
51,0.881926,7e-07,2.06612,0.620154,7e-07,2.07849
52,0.876272,8e-07,2.08831,0.610181,8e-07,2.09994
53,0.870309,9e-07,2.10842,0.600874,9e-07,2.11914
54,0.865957,1e-06,2.12688,0.592818,1e-06,2.13679
55,0.830423,2e-06,2.25619,0.52701,2e-06,2.26335
56,0.806962,3e-06,2.34185,0.469021,3e-06,2.34737
57,0.789775,4e-06,2.40764,0.409477,4e-06,2.41247
58,0.774598,4.9999999999999996e-06,2.46222,0.35096,4.9999999999999996e-06,2.46664
59,0.762138,6e-06,2.50943,0.304125,6e-06,2.51316
60,0.751565,7e-06,2.55101,0.269089,7e-06,2.55444
61,0.740899,8e-06,2.58898,0.248327,8e-06,2.59208
62,0.732976,9e-06,2.62329,0.233107,9e-06,2.62605
63,0.72519,9.999999999999999e-06,2.65512,0.221824,9.999999999999999e-06,2.65761
