,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi
0,1.1479,1e-12,0.415275,1.08698,1e-12,1.06059
1,1.14801,2e-12,0.406791,1.08962,2e-12,1.04896
2,1.14813,3e-12,0.381406,1.09046,3e-12,1.03477
3,1.1484,4e-12,0.429716,1.09162,4e-12,1.01753
4,1.14806,5e-12,0.418321,1.09234,5e-12,1.00379
5,1.14815,6e-12,0.400065,1.09266,6e-12,0.990164
6,1.14845,7e-12,0.443829,1.09342,7e-12,0.98409
7,1.1481,8e-12,0.462279,1.09365,8e-12,0.984819
8,1.148,9e-12,0.454156,1.09369,9e-12,0.991691
9,1.14838,1e-11,0.4316,1.09399,1e-11,1.0046
10,1.1483,2e-11,0.492982,1.09209,2e-11,1.04109
11,1.14786,3e-11,0.505207,1.08883,3e-11,1.03497
12,1.14832,4e-11,0.515538,1.08478,4e-11,1.02594
13,1.14829,5e-11,0.603088,1.07994,5e-11,1.0375
14,1.14812,6e-11,0.625513,1.07478,6e-11,1.09202
15,1.14892,7e-11,0.660451,1.07002,7e-11,1.1213
16,1.14899,8e-11,0.747684,1.06554,8e-11,1.13306
17,1.14837,9e-11,0.816949,1.06142,9e-11,1.13618
18,1.14888,1e-10,0.864973,1.05804,1e-10,1.12795
19,1.14602,2e-10,0.9871,1.03844,2e-10,1.17538
20,1.1322,3e-10,1.19295,1.02543,3e-10,1.23072
21,1.12328,4e-10,1.2633,1.01715,4e-10,1.27718
22,1.11937,5e-10,1.24957,1.01069,5e-10,1.29775
23,1.11565,6e-10,1.30267,1.00525,6e-10,1.27398
24,1.11251,7e-10,1.30393,1.00068,7e-10,1.32113
25,1.10989,8e-10,1.2901,0.996429,8e-10,1.32648
26,1.10727,9e-10,1.30623,0.992471,9e-10,1.31253
27,1.10482,1e-09,1.33767,0.989269,1e-09,1.35862
28,1.08821,2e-09,1.37762,0.966143,2e-09,1.38418
29,1.0772,3e-09,1.42352,0.950823,3e-09,1.45338
30,1.06918,4e-09,1.46548,0.939966,4e-09,1.46066
31,1.06234,5e-09,1.4734,0.931154,5e-09,1.48609
32,1.05733,6e-09,1.48325,0.923511,6e-09,1.51095
33,1.05258,7e-09,1.50996,0.917096,7e-09,1.51208
34,1.04806,8e-09,1.51824,0.911364,8e-09,1.53892
35,1.04477,9e-09,1.52422,0.905976,9e-09,1.54366
36,1.04133,1e-08,1.54362,0.901303,1e-08,1.54855
37,1.01858,2e-08,1.60379,0.867016,2e-08,1.62671
38,1.00464,3e-08,1.64888,0.844682,3e-08,1.66776
39,0.994281,4e-08,1.68124,0.827404,4e-08,1.69733
40,0.986639,5e-08,1.70776,0.81339,5e-08,1.72439
41,0.979623,6e-08,1.7286,0.801411,6e-08,1.74718
42,0.974471,7e-08,1.74644,0.790942,7e-08,1.76438
43,0.969523,8e-08,1.76185,0.781636,8e-08,1.77984
44,0.964797,9e-08,1.77489,0.773413,9e-08,1.7952
45,0.961329,1e-07,1.78853,0.765431,1e-07,1.80895
46,0.934459,2e-07,1.87895,0.712811,2e-07,1.89787
47,0.91849,3e-07,1.93529,0.681664,3e-07,1.95416
48,0.906322,4e-07,1.97816,0.660411,4e-07,1.99417
49,0.897141,5e-07,2.01233,0.644217,5e-07,2.02721
50,0.889256,6e-07,2.04082,0.630798,6e-07,2.05498
51,0.881938,7e-07,2.06612,0.619374,7e-07,2.07863
52,0.87622,8e-07,2.08814,0.609551,8e-07,2.1003
53,0.870744,9e-07,2.10805,0.60048,9e-07,2.11963
54,0.865286,1e-06,2.1266,0.592188,1e-06,2.13753
55,0.830523,2e-06,2.25604,0.526629,2e-06,2.26366
56,0.807412,3e-06,2.34171,0.468133,3e-06,2.3477
57,0.788788,4e-06,2.40753,0.408609,4e-06,2.41302
58,0.774982,4.9999999999999996e-06,2.4621,0.351041,4.9999999999999996e-06,2.46701
59,0.762498,6e-06,2.50927,0.30307,6e-06,2.51348
60,0.750563,7e-06,2.55082,0.269331,7e-06,2.55486
61,0.741832,8e-06,2.58879,0.246984,8e-06,2.59244
62,0.732975,9e-06,2.62312,0.231854,9e-06,2.62642
63,0.724402,9.999999999999999e-06,2.65493,0.221618,9.999999999999999e-06,2.65788
64,0.672628,1.9999999999999998e-05,2.8902,0.192951,1.9999999999999998e-05,2.89203
65,0.641465,3e-05,3.05375,0.185417,3e-05,3.05527
66,0.61949,3.9999999999999996e-05,3.18424,0.181872,3.9999999999999996e-05,3.18561
67,0.602093,4.9999999999999996e-05,3.2954,0.179687,4.9999999999999996e-05,3.29654
68,0.600612,6e-05,3.30094,0.179714,6e-05,3.30119
69,0.601046,7e-05,3.30101,0.17966,7e-05,3.30117
70,0.601246,7.999999999999999e-05,3.30085,0.17963,7.999999999999999e-05,3.30119
71,0.600557,8.999999999999999e-05,3.30091,0.179678,8.999999999999999e-05,3.3011
72,0.60137,9.999999999999999e-05,3.30099,0.179481,9.999999999999999e-05,3.30103
