,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi,Col003Vs,Col003Id,Col003Vi,Col004Vs,Col004Id,Col004Vi,Col005Vs,Col005Id,Col005Vi,Col006Vs,Col006Id,Col006Vi,Col007Vs,Col007Id,Col007Vi,Col008Vs,Col008Id,Col008Vi,Col009Vs,Col009Id,Col009Vi,Col010Vs,Col010Id,Col010Vi,Col011Vs,Col011Id,Col011Vi,Col012Vs,Col012Id,Col012Vi,Col013Vs,Col013Id,Col013Vi,Col014Vs,Col014Id,Col014Vi,Col015Vs,Col015Id,Col015Vi,Col016Vs,Col016Id,Col016Vi,Col017Vs,Col017Id,Col017Vi,Col018Vs,Col018Id,Col018Vi,Col019Vs,Col019Id,Col019Vi,Col020Vs,Col020Id,Col020Vi,Col021Vs,Col021Id,Col021Vi,Col022Vs,Col022Id,Col022Vi,Col023Vs,Col023Id,Col023Vi,Col024Vs,Col024Id,Col024Vi,Col025Vs,Col025Id,Col025Vi,Col026Vs,Col026Id,Col026Vi,Col027Vs,Col027Id,Col027Vi,Col028Vs,Col028Id,Col028Vi,Col029Vs,Col029Id,Col029Vi,Col030Vs,Col030Id,Col030Vi,Col031Vs,Col031Id,Col031Vi,Col032Vs,Col032Id,Col032Vi
0,1.15627,1e-12,0.391829,1.09034,1e-12,1.01898,1.09092,1e-12,1.02751,1.15347,1e-12,0.989806,1.15389,1e-12,1.05126,1.14083,1e-12,1.06151,1.13197,1e-12,1.00446,1.11661,1e-12,1.0211,1.1143,1e-12,1.03306,1.07909,1e-12,1.06757,1.07805,1e-12,1.06705,1.15579,1e-12,1.04738,1.1558,1e-12,0.992901,1.08416,1e-12,1.00746,1.08472,1e-12,1.06505,1.15431,1e-12,1.00925,1.1511,1e-12,1.0108,0.859631,1e-12,1.04295,0.862638,1e-12,1.08596,1.02683,1e-12,1.06941,1.07116,1e-12,1.06447,0.925295,1e-12,1.00504,0.92413,1e-12,1.03642,0.871735,1e-12,1.02019,0.891212,1e-12,1.02858,0.837487,1e-12,1.01375,0.845484,1e-12,1.01994,0.988846,1e-12,1.04271,0.982365,1e-12,1.03945,0.821711,1e-12,1.02361,0.834363,1e-12,1.08034,0.250405,1e-12,1.05498
1,1.15624,2e-12,0.392038,1.09316,2e-12,0.997456,1.0923,2e-12,1.04433,1.1536,2e-12,0.989047,1.15416,2e-12,1.05737,1.14151,2e-12,1.0481,1.13306,2e-12,0.984186,1.11799,2e-12,1.03167,1.11567,2e-12,1.01442,1.0809,2e-12,1.04695,1.07984,2e-12,1.05757,1.15588,2e-12,1.02509,1.15593,2e-12,1.00544,1.08603,2e-12,0.984033,1.08755,2e-12,1.05224,1.15466,2e-12,1.0193,1.15156,2e-12,0.979153,0.861766,2e-12,1.0539,0.864607,2e-12,1.07367,1.029,2e-12,1.01311,1.07424,2e-12,1.05415,0.927327,2e-12,1.00662,0.926247,2e-12,0.999463,0.87525,2e-12,0.997749,0.894634,2e-12,1.03844,0.840951,2e-12,1.01327,0.847351,2e-12,1.03154,0.99124,2e-12,1.04395,0.98466,2e-12,1.05206,0.824067,2e-12,1.03118,0.836746,2e-12,1.00414,0.250424,2e-12,1.116
2,1.15625,3e-12,0.413001,1.09458,3e-12,1.04716,1.09367,3e-12,1.04969,1.15389,3e-12,1.00158,1.15434,3e-12,1.02171,1.14255,3e-12,1.01513,1.13374,3e-12,0.980279,1.11994,3e-12,1.04662,1.11695,3e-12,0.988548,1.08352,3e-12,0.976831,1.08235,3e-12,1.02994,1.15601,3e-12,1.00072,1.15579,3e-12,1.05055,1.08749,3e-12,0.980618,1.08881,3e-12,1.03762,1.15464,3e-12,1.03264,1.15181,3e-12,0.974234,0.864662,3e-12,1.06884,0.867388,3e-12,1.05266,1.03057,3e-12,0.98473,1.07581,3e-12,1.0327,0.930368,3e-12,1.06192,0.929255,3e-12,1.00894,0.8769,3e-12,1.00728,0.896208,3e-12,1.05264,0.842412,3e-12,1.02092,0.849086,3e-12,1.07242,0.994048,3e-12,0.979092,0.986266,3e-12,1.05982,0.825508,3e-12,1.04172,0.83858,3e-12,1.07379,0.250435,3e-12,1.07538
3,1.15628,4e-12,0.440408,1.09557,4e-12,0.986994,1.09469,4e-12,1.04313,1.15386,4e-12,1.01572,1.15426,4e-12,0.995187,1.14301,4e-12,0.990744,1.13501,4e-12,1.00847,1.1208,4e-12,1.04667,1.11848,4e-12,0.973896,1.08465,4e-12,1.01948,1.08342,4e-12,1.00536,1.15591,4e-12,0.970502,1.15583,4e-12,1.04645,1.08926,4e-12,0.993645,1.08982,4e-12,1.00433,1.15475,4e-12,1.04507,1.15202,4e-12,0.975576,0.866131,4e-12,1.04498,0.86855,4e-12,1.03106,1.03184,4e-12,1.04782,1.0771,4e-12,0.973633,0.931685,4e-12,1.01585,0.930672,4e-12,1.05696,0.878296,4e-12,1.06051,0.897476,4e-12,1.05933,0.843716,4e-12,1.03172,0.851508,4e-12,1.02808,0.995527,4e-12,1.03512,0.988955,4e-12,1.046,0.827828,4e-12,1.055,0.840044,4e-12,1.02396,0.250331,4e-12,1.06888
4,1.15624,5e-12,0.45746,1.09651,5e-12,0.986896,1.09527,5e-12,1.03057,1.1541,5e-12,1.0295,1.1544,5e-12,0.964213,1.1434,5e-12,0.967402,1.13565,5e-12,1.03774,1.12153,5e-12,1.03988,1.11915,5e-12,1.00174,1.08564,5e-12,1.02031,1.08415,5e-12,0.980884,1.15585,5e-12,0.974888,1.15582,5e-12,1.03592,1.08994,5e-12,1.00835,1.09069,5e-12,0.969508,1.15478,5e-12,1.04143,1.15213,5e-12,0.998418,0.867277,5e-12,0.987322,0.8695,5e-12,1.01202,1.03285,5e-12,1.03701,1.07789,5e-12,1.00543,0.932778,5e-12,0.988786,0.931853,5e-12,0.993173,0.879302,5e-12,1.0397,0.898479,5e-12,1.02256,0.844623,5e-12,1.04443,0.85258,5e-12,0.994563,0.996621,5e-12,0.997933,0.98999,5e-12,1.00694,0.828996,5e-12,1.06497,0.84203,5e-12,1.00131,0.250259,5e-12,1.09648
5,1.1563,6e-12,0.459412,1.09708,6e-12,1.03593,1.09598,6e-12,1.00849,1.15411,6e-12,1.03911,1.15443,6e-12,1.00664,1.1435,6e-12,0.979779,1.13601,6e-12,0.966936,1.12196,6e-12,1.02277,1.11972,6e-12,1.04102,1.08621,6e-12,0.986754,1.08498,6e-12,0.96845,1.15591,6e-12,1.01653,1.15595,6e-12,1.00682,1.09069,6e-12,1.03359,1.09135,6e-12,0.977328,1.15477,6e-12,1.03401,1.15225,6e-12,1.03957,0.86803,6e-12,1.04267,0.870315,6e-12,0.990548,1.03341,6e-12,1.02007,1.07855,6e-12,1.03444,0.933707,6e-12,1.02432,0.932597,6e-12,0.994076,0.880229,6e-12,0.983392,0.899324,6e-12,0.981039,0.845288,6e-12,1.05912,0.853474,6e-12,1.05304,0.9974,6e-12,0.971572,0.990937,6e-12,0.971805,0.829703,6e-12,1.04243,0.842886,6e-12,1.06057,0.250246,6e-12,1.02471
6,1.15626,7e-12,0.449336,1.09807,7e-12,0.962495,1.09642,7e-12,0.994134,1.15418,7e-12,1.0358,1.15445,7e-12,1.02524,1.14378,7e-12,1.01632,1.13617,7e-12,1.00132,1.12228,7e-12,1.00466,1.12007,7e-12,1.00861,1.08673,7e-12,0.96969,1.08536,7e-12,0.971073,1.15579,7e-12,1.03667,1.15594,7e-12,0.986143,1.091,7e-12,1.0404,1.09168,7e-12,1.0197,1.15481,7e-12,1.01375,1.15233,7e-12,0.98538,0.868728,7e-12,1.05661,0.870796,7e-12,0.98175,1.03391,7e-12,1.00731,1.07915,7e-12,0.966777,0.934259,7e-12,1.03516,0.933194,7e-12,1.0099,0.880792,7e-12,1.00325,0.899946,7e-12,1.00212,0.845805,7e-12,1.06014,0.854074,7e-12,1.05234,0.997888,7e-12,0.985584,0.991575,7e-12,0.977437,0.830412,7e-12,1.00939,0.84358,7e-12,1.00371,0.250241,7e-12,1.06586
7,1.15616,8e-12,0.441307,1.09831,8e-12,1.02801,1.09679,8e-12,0.975101,1.15413,8e-12,1.02112,1.15452,8e-12,0.959921,1.14396,8e-12,1.03762,1.13637,8e-12,1.02975,1.12252,8e-12,0.96493,1.12034,8e-12,0.979189,1.08703,8e-12,0.96474,1.08557,8e-12,0.990003,1.15587,8e-12,0.998402,1.1559,8e-12,0.968229,1.09139,8e-12,1.0351,1.09191,8e-12,1.03768,1.15481,8e-12,0.997137,1.15226,8e-12,0.991661,0.869089,8e-12,1.05089,0.871285,8e-12,0.983103,1.03434,8e-12,0.99192,1.07949,8e-12,0.965718,0.934659,8e-12,1.04791,0.933529,8e-12,1.02436,0.881075,8e-12,1.02426,0.900274,8e-12,1.04021,0.846398,8e-12,1.0541,0.854424,8e-12,1.04234,0.998307,8e-12,0.994946,0.991969,8e-12,0.998233,0.830924,8e-12,0.989342,0.843978,8e-12,0.984335,0.250312,8e-12,1.08354
8,1.1561,9e-12,0.433808,1.09854,9e-12,1.02783,1.09677,9e-12,0.962953,1.15421,9e-12,1.00648,1.15453,9e-12,0.962984,1.14401,9e-12,1.03646,1.1364,9e-12,1.03869,1.12254,9e-12,1.01546,1.12038,9e-12,0.963962,1.08716,9e-12,0.967248,1.0859,9e-12,1.00497,1.15587,9e-12,0.972983,1.15587,9e-12,0.962612,1.09134,9e-12,1.01992,1.09216,9e-12,1.02997,1.15483,9e-12,0.978208,1.15249,9e-12,1.03355,0.869392,9e-12,1.03781,0.871607,9e-12,0.988745,1.03454,9e-12,0.977009,1.07969,9e-12,0.971492,0.934805,9e-12,1.04847,0.933796,9e-12,1.03979,0.881371,9e-12,1.04184,0.900583,9e-12,1.05295,0.846504,9e-12,1.04012,0.854519,9e-12,1.02694,0.99837,9e-12,1.04127,0.992235,9e-12,1.01227,0.831195,9e-12,1.05913,0.844279,9e-12,1.01416,0.250273,9e-12,1.01833
9,1.15626,1e-11,0.420894,1.09847,1e-11,0.997223,1.09685,1e-11,0.964111,1.15415,1e-11,0.9875,1.15448,1e-11,0.97446,1.14408,1e-11,1.03001,1.13649,1e-11,1.03642,1.12252,1e-11,1.03476,1.12052,1e-11,0.964232,1.08719,1e-11,0.975138,1.08581,1e-11,1.02508,1.15583,1e-11,0.962378,1.15596,1e-11,0.966425,1.09157,1e-11,0.999178,1.09222,1e-11,1.01363,1.15498,1e-11,0.962716,1.15233,1e-11,1.03678,0.869386,1e-11,1.01991,0.87152,1e-11,1.02092,1.03451,1e-11,0.964388,1.0797,1e-11,0.986293,0.934897,1e-11,1.04311,0.933872,1e-11,1.04906,0.881441,1e-11,1.05435,0.900382,1e-11,1.05023,0.846705,1e-11,1.02211,0.854559,1e-11,1.01198,0.998338,1e-11,0.990673,0.992366,1e-11,1.0294,0.831258,1e-11,1.05319,0.844151,1e-11,1.03089,0.250219,1e-11,1.06601
