,Time,V1,currIn
0,0.0,0.072124,8.91495e-10
1,0.001032,0.0534129,1.0025e-09
2,0.002064,0.0391269,1.00192e-09
3,0.003096,0.0376034,1.00189e-09
4,0.004127,0.0416422,1.00169e-09
5,0.005159,0.0509834,1.00127e-09
6,0.006191,0.0729442,1.00082e-09
7,0.007222,0.102665,1.00042e-09
8,0.008254,0.138509,1.00065e-09
9,0.009285,0.181882,9.99674e-10
10,0.010317,0.229669,1.00001e-09
11,0.011348,0.267625,1.00019e-09
12,0.01238,0.291338,1.00068e-09
13,0.013411,0.307448,1.00096e-09
14,0.014443,0.309749,1.00156e-09
15,0.015474,0.301585,1.00198e-09
16,0.016506,0.287616,1.00221e-09
17,0.017538,0.266144,1.00292e-09
18,0.01857,0.245218,1.00201e-09
19,0.019601,0.238752,1.00186e-09
20,0.020632,0.238421,1.00197e-09
21,0.021664,0.243351,1.00175e-09
22,0.022696,0.259993,1.0012e-09
23,0.023727,0.286839,1.00074e-09
24,0.024759,0.319033,1.00052e-09
25,0.02579,0.35841,9.99869e-10
26,0.026821,0.403812,9.99904e-10
27,0.027853,0.441637,1.00032e-09
28,0.028885,0.464475,1.00067e-09
29,0.029916,0.478876,1.00102e-09
30,0.030948,0.480859,1.00178e-09
31,0.031979,0.471129,1.0018e-09
32,0.033011,0.454874,1.00212e-09
33,0.034043,0.432024,1.00288e-09
34,0.035075,0.40647,1.0022e-09
35,0.036107,0.395963,1.00192e-09
36,0.037138,0.392516,1.00188e-09
37,0.038169,0.394197,1.00181e-09
38,0.039201,0.406542,1.00113e-09
39,0.040232,0.430961,1.00126e-09
40,0.041264,0.459805,1.00065e-09
41,0.042296,0.49602,9.9999e-10
42,0.043327,0.539179,1.00006e-09
43,0.044358,0.576704,1.00025e-09
44,0.04539,0.598693,1.0008e-09
45,0.046422,0.611656,1.00123e-09
46,0.047454,0.613337,1.00123e-09
47,0.048486,0.60194,1.00185e-09
48,0.049517,0.584996,1.00208e-09
49,0.050549,0.560982,1.00263e-09
50,0.051581,0.53261,1.00253e-09
51,0.052613,0.518613,1.0019e-09
52,0.053645,0.512662,1.00204e-09
53,0.054676,0.511672,1.00146e-09
54,0.055708,0.519805,1.00141e-09
55,0.05674,0.541134,1.00082e-09
56,0.057772,0.567794,1.00096e-09
57,0.058804,0.601237,1.0002e-09
58,0.059835,0.641334,1.00019e-09
59,0.060867,0.67883,1.00052e-09
60,0.061898,0.699885,1.00076e-09
61,0.062931,0.711007,1.00116e-09
62,0.063962,0.712833,1.00151e-09
63,0.064993,0.70122,1.00208e-09
64,0.066025,0.683112,1.00221e-09
65,0.067057,0.659328,1.00265e-09
66,0.068089,0.629103,1.0028e-09
67,0.06912,0.61137,1.00217e-09
68,0.070151,0.603292,1.00232e-09
69,0.071183,0.600317,1.00181e-09
70,0.072215,0.605721,1.00156e-09
71,0.073247,0.624433,1.0014e-09
72,0.074278,0.649498,1.00095e-09
73,0.07531,0.680268,1.00039e-09
74,0.076342,0.719028,1.00022e-09
75,0.077373,0.757358,1.00033e-09
76,0.078405,0.779288,1.00069e-09
77,0.079436,0.790355,1.00115e-09
78,0.080468,0.792999,1.00142e-09
79,0.081499,0.782163,1.00169e-09
80,0.08253,0.764298,1.00217e-09
81,0.083562,0.740757,1.00295e-09
82,0.084594,0.7096,1.00297e-09
83,0.085625,0.688171,1.00204e-09
84,0.086657,0.678585,1.00215e-09
85,0.087689,0.673585,1.00178e-09
86,0.08872,0.676012,1.00192e-09
87,0.089752,0.692525,1.00115e-09
88,0.090783,0.715752,1.001e-09
89,0.091816,0.744839,1.00036e-09
90,0.092848,0.781932,1.00011e-09
91,0.093879,0.820448,1.00033e-09
92,0.09491,0.844924,1.00083e-09
93,0.095942,0.856581,1.00111e-09
94,0.096973,0.860648,1.00131e-09
95,0.098005,0.850313,1.00204e-09
96,0.099036,0.832779,1.00229e-09
97,0.100068,0.809484,1.0025e-09
98,0.1011,0.778067,1.00284e-09
99,0.102131,0.753145,1.00226e-09
100,0.103163,0.742009,1.00202e-09
101,0.104195,0.735123,1.00192e-09
102,0.105226,0.73554,1.00192e-09
103,0.106258,0.749481,1.00156e-09
104,0.107289,0.770924,1.00118e-09
105,0.108321,0.79767,1.0007e-09
106,0.109352,0.833886,1.00016e-09
107,0.110383,0.872431,1.00037e-09
108,0.111415,0.899105,1.00082e-09
109,0.112447,0.912085,1.00111e-09
110,0.113479,0.917273,1.00152e-09
111,0.11451,0.908434,1.00205e-09
112,0.115541,0.890784,1.00222e-09
113,0.116573,0.867949,1.00267e-09
114,0.117605,0.836575,1.00302e-09
115,0.118636,0.80852,1.00227e-09
116,0.119668,0.79514,1.00211e-09
117,0.1207,0.787005,1.00228e-09
118,0.121732,0.785396,1.00208e-09
119,0.122763,0.796378,1.0014e-09
120,0.123794,0.816698,1.00107e-09
121,0.124826,0.842338,1.00084e-09
122,0.125858,0.876558,1.00013e-09
123,0.126889,0.914814,1.00034e-09
124,0.12792,0.944262,1.00059e-09
125,0.128952,0.958376,1.00099e-09
126,0.129984,0.964613,1.00124e-09
127,0.131015,0.957801,1.00192e-09
128,0.132047,0.940194,1.0023e-09
129,0.133078,0.917847,1.00261e-09
130,0.134109,0.88738,1.0032e-09
131,0.135141,0.856478,1.00261e-09
132,0.136173,0.840914,1.00244e-09
133,0.137204,0.831702,1.00227e-09
134,0.138235,0.828009,1.00181e-09
135,0.139267,0.836072,1.00131e-09
136,0.140299,0.855503,1.00143e-09
137,0.141331,0.879402,1.00084e-09
138,0.142362,0.911739,1.00019e-09
139,0.143394,0.950427,1.00035e-09
140,0.144425,0.981886,1.00074e-09
141,0.145457,0.997193,1.00123e-09
142,0.146488,1.00449,1.00101e-09
143,0.14752,1.00017,1.00197e-09
144,0.148552,0.982735,1.00204e-09
145,0.149583,0.96076,1.00224e-09
146,0.150615,0.931256,1.00311e-09
147,0.151646,0.89833,1.00261e-09
148,0.152678,0.880005,1.0024e-09
149,0.153709,0.870261,1.00204e-09
150,0.15474,0.865073,1.00205e-09
151,0.155772,0.869932,1.00146e-09
152,0.156804,0.887954,1.00166e-09
153,0.157835,0.911336,1.00081e-09
154,0.158867,0.941215,1.00032e-09
155,0.159898,0.978885,1.00022e-09
156,0.16093,1.01313,1.00068e-09
157,0.161961,1.03022,1.00088e-09
158,0.162993,1.0381,1.0013e-09
159,0.164024,1.03584,1.002e-09
160,0.165056,1.01943,1.00232e-09
161,0.166087,0.997496,1.00244e-09
162,0.167119,0.969284,1.00298e-09
163,0.168151,0.935223,1.00293e-09
164,0.169182,0.914097,1.00248e-09
165,0.170213,0.903115,1.00229e-09
166,0.171245,0.896375,1.00207e-09
167,0.172276,0.899105,1.00154e-09
168,0.173308,0.91516,1.00145e-09
169,0.17434,0.93781,1.00111e-09
170,0.175371,0.96559,1.00055e-09
171,0.176403,1.0024,9.9999e-10
172,0.177434,1.03811,1.00014e-09
173,0.178466,1.0577,1.0009e-09
174,0.179498,1.06657,1.0014e-09
175,0.180529,1.0657,1.00196e-09
176,0.18156,1.05103,1.00211e-09
177,0.182592,1.02959,1.00243e-09
178,0.183624,1.00194,1.00272e-09
179,0.184655,0.967214,1.00302e-09
180,0.185687,0.943501,1.0024e-09
181,0.186718,0.931342,1.00221e-09
182,0.18775,0.923221,1.00186e-09
183,0.188781,0.923724,1.00164e-09
184,0.189813,0.938327,1.00123e-09
185,0.190845,0.959136,1.001e-09
186,0.191877,0.986242,1.00034e-09
187,0.192908,1.02232,1.00008e-09
188,0.19394,1.05866,1.00035e-09
189,0.194971,1.08029,1.00086e-09
190,0.196004,1.09004,1.0013e-09
191,0.197035,1.09104,1.00146e-09
192,0.198066,1.07788,1.00204e-09
193,0.199098,1.05697,1.00236e-09
194,0.20013,1.0302,1.00267e-09
195,0.201161,0.995655,1.00325e-09
196,0.202192,0.969083,1.00255e-09
197,0.203224,0.9554,1.00229e-09
198,0.204256,0.946462,1.00208e-09
199,0.205287,0.945053,1.00159e-09
200,0.206318,0.957787,1.00104e-09
201,0.20735,0.977187,1.00101e-09
202,0.208381,1.00313,1.00078e-09
203,0.209413,1.03771,1.00012e-09
204,0.210445,1.07463,1.00009e-09
205,0.211476,1.0986,1.00087e-09
206,0.212508,1.10982,1.00117e-09
207,0.213539,1.11247,1.00176e-09
208,0.214571,1.10054,1.00209e-09
209,0.215602,1.08038,1.00223e-09
210,0.216634,1.05479,1.00267e-09
211,0.217665,1.02081,1.00319e-09
212,0.218697,0.991516,1.00235e-09
213,0.219728,0.976527,1.00235e-09
214,0.22076,0.966926,1.00218e-09
215,0.221791,0.963347,1.00182e-09
216,0.222822,0.973725,1.00158e-09
217,0.223854,0.992551,1.00098e-09
218,0.224886,1.01684,1.00075e-09
219,0.225917,1.05,1.00015e-09
220,0.226948,1.08732,1.00052e-09
221,0.22798,1.11404,1.00072e-09
222,0.229012,1.12602,1.00129e-09
223,0.230044,1.13019,1.00169e-09
224,0.231075,1.12057,1.00181e-09
225,0.232107,1.10066,1.00214e-09
226,0.233138,1.07588,1.00255e-09
227,0.23417,1.04333,1.00286e-09
228,0.235202,1.01152,1.00278e-09
229,0.236233,0.994492,1.00234e-09
230,0.237264,0.984359,1.00259e-09
231,0.238296,0.979056,1.00208e-09
232,0.239327,0.987031,1.00154e-09
233,0.240359,1.00543,1.00116e-09
234,0.241391,1.02859,1.0008e-09
235,0.242422,1.05985,1.00034e-09
236,0.243454,1.09676,9.9999e-10
237,0.244486,1.12641,1.00052e-09
238,0.245517,1.13956,1.00104e-09
239,0.246549,1.14496,1.0013e-09
240,0.24758,1.1376,1.00219e-09
241,0.248612,1.1182,1.00205e-09
242,0.249643,1.09409,1.00246e-09
243,0.250674,1.06286,1.00324e-09
244,0.251706,1.0292,1.00268e-09
245,0.252738,1.01026,1.00222e-09
246,0.253769,0.999219,1.00206e-09
247,0.2548,0.993168,1.00192e-09
248,0.255832,0.997739,1.00126e-09
249,0.256863,1.01545,1.00144e-09
250,0.257895,1.03771,1.0008e-09
251,0.258927,1.06733,1.00024e-09
252,0.259958,1.10372,1.00042e-09
253,0.260989,1.13559,1.00086e-09
254,0.262021,1.15073,1.00133e-09
255,0.263052,1.15682,1.00116e-09
256,0.264084,1.15192,1.00186e-09
257,0.265116,1.13322,1.00226e-09
258,0.266147,1.10981,1.00286e-09
259,0.267179,1.08005,1.00274e-09
260,0.268211,1.04488,1.00284e-09
