,V1,currIn
0,0.528717,8.90421e-10
1,0.5354,1.00111e-09
2,0.528572,1.00152e-09
3,0.515609,1.00198e-09
4,0.497673,1.00255e-09
5,0.472004,1.00254e-09
6,0.456641,1.00171e-09
7,0.451641,1.00184e-09
8,0.450735,1.00158e-09
9,0.456843,1.00146e-09
10,0.475326,1.00118e-09
11,0.500448,1.00067e-09
12,0.529895,1.0003e-09
13,0.567377,1.00015e-09
14,0.60621,9.99947e-10
15,0.632379,1.00054e-09
16,0.648377,1.00085e-09
17,0.655518,1.00108e-09
18,0.649426,1.00153e-09
19,0.636075,1.00161e-09
20,0.617476,1.00215e-09
21,0.592139,1.00261e-09
22,0.572722,1.00195e-09
23,0.565364,1.00175e-09
24,0.562749,1.00174e-09
25,0.56581,1.0012e-09
26,0.581403,1.00089e-09
27,0.604527,1.00088e-09
28,0.632408,1.00027e-09
29,0.667102,1.00008e-09
30,0.705462,9.99963e-10
31,0.733097,1.00055e-09
32,0.748146,1.00088e-09
33,0.755703,1.00111e-09
34,0.750244,1.00171e-09
35,0.736129,1.00169e-09
36,0.716829,1.00226e-09
37,0.691147,1.00277e-09
38,0.66854,1.00207e-09
39,0.65871,1.00185e-09
40,0.654254,1.00188e-09
41,0.655131,1.00124e-09
42,0.667434,1.0009e-09
43,0.688889,1.00069e-09
44,0.71486,1.00042e-09
45,0.747557,1.00014e-09
46,0.784318,1.00003e-09
47,0.813148,1.00066e-09
48,0.827248,1.00071e-09
49,0.834577,1.00097e-09
50,0.829647,1.00149e-09
51,0.8145,1.00154e-09
52,0.79524,1.00235e-09
53,0.770118,1.00267e-09
54,0.744164,1.00209e-09
55,0.732279,1.00184e-09
56,0.726457,1.00162e-09
57,0.725207,1.00138e-09
58,0.734951,1.00121e-09
59,0.754597,1.00095e-09
60,0.778642,1.00041e-09
61,0.809584,1.00018e-09
62,0.845413,9.99869e-10
63,0.87558,1.00046e-09
64,0.890124,1.00082e-09
65,0.897627,1.00112e-09
66,0.89422,1.00191e-09
67,0.879173,1.00175e-09
68,0.860403,1.00202e-09
69,0.834534,1.00256e-09
70,0.806739,1.00226e-09
71,0.792799,1.00192e-09
72,0.78521,1.00201e-09
73,0.782249,1.00155e-09
74,0.78932,1.0014e-09
75,0.807486,1.00107e-09
76,0.829921,1.00065e-09
77,0.859582,1.00026e-09
78,0.89458,9.99963e-10
79,0.925968,1.00036e-09
80,0.942767,1.00101e-09
81,0.950398,1.00126e-09
82,0.948458,1.00146e-09
83,0.93426,1.00173e-09
84,0.915635,1.00211e-09
85,0.890484,1.00284e-09
86,0.861006,1.00278e-09
87,0.844407,1.00217e-09
88,0.835512,1.00186e-09
89,0.831127,1.00169e-09
90,0.835626,1.00129e-09
91,0.852039,1.00121e-09
92,0.873568,1.00083e-09
93,0.901248,1.00054e-09
94,0.935998,1.00007e-09
95,0.968595,1.00043e-09
96,0.986903,1.00081e-09
97,0.995569,1.00113e-09
98,0.99508,1.00145e-09
99,0.981932,1.0018e-09
100,0.963204,1.00219e-09
101,0.938656,1.00261e-09
102,0.908074,1.00269e-09
103,0.888946,1.00218e-09
104,0.878756,1.00192e-09
105,0.873351,1.00161e-09
106,0.87522,1.00162e-09
107,0.890052,1.00123e-09
108,0.910661,1.00082e-09
109,0.936301,1.0003e-09
