,V1,Time
0,3.29662,
1,3.29741,0
2,3.2973,0.001032
3,3.29736,0.002064
4,3.29734,0.003096
5,3.29687,0.004128
6,3.29708,0.005159
7,3.29718,0.00619
8,3.29685,0.007223
9,3.29702,0.008255
10,3.29722,0.009285
11,3.2971,0.010317
12,3.29668,0.011349
13,3.29717,0.012381
14,3.29704,0.013412
15,3.29705,0.014444
16,3.29736,0.015475
17,3.29697,0.016507
18,3.29684,0.017539
19,3.29718,0.01857
20,3.29714,0.019602
21,3.29701,0.020634
22,3.29698,0.021665
23,3.29743,0.022697
24,3.29705,0.023729
25,3.29708,0.02476
26,3.29718,0.025792
27,3.29692,0.026823
28,3.29665,0.027855
29,3.29715,0.028887
30,3.29717,0.029917
31,3.29678,0.030949
32,3.29712,0.031981
33,3.2971,0.033013
34,3.29714,0.034045
35,3.29714,0.035077
36,3.29702,0.036108
37,3.29707,0.03714
38,3.29685,0.038172
39,3.2973,0.039203
40,3.29697,0.040235
41,3.29717,0.041267
42,3.29731,0.042299
43,3.29702,0.04333
44,3.29697,0.044362
45,3.29702,0.045393
46,3.29714,0.046425
47,3.29718,0.047457
48,3.29725,0.048489
49,3.29725,0.04952
50,3.29675,0.050552
51,3.29691,0.051584
52,3.29718,0.052615
53,3.29712,0.053646
54,3.297,0.054679
55,3.29701,0.05571
56,3.29712,0.056742
57,3.29675,0.057773
58,3.29728,0.058805
59,3.29721,0.059837
60,3.29704,0.060869
61,3.2973,0.0619
62,3.2973,0.062932
63,3.29715,0.063964
64,3.29718,0.064996
65,3.29721,0.066027
66,3.29711,0.067059
67,3.29712,0.068091
68,3.29746,0.069123
69,3.29711,0.070154
70,3.29704,0.071186
71,3.2973,0.072218
72,3.29682,0.073249
73,3.29715,0.074281
74,3.29724,0.075313
75,3.29708,0.076345
76,3.29707,0.077376
77,3.2972,0.078408
78,3.29715,0.07944
79,3.29731,0.080471
80,3.29722,0.081503
81,3.29717,0.082534
82,3.2971,0.083566
83,3.29692,0.084597
84,3.297,0.085629
85,3.29698,0.086661
86,3.29721,0.087693
87,3.29094,0.088725
88,3.2579,0.089756
89,3.25629,0.090788
90,3.25525,0.09182
91,3.25578,0.092852
92,3.2554,0.093884
93,3.25526,0.094916
94,3.25562,0.095947
95,3.25483,0.096979
96,3.25566,0.098011
