,Time,V1,currIn
0,0.0,3.29498,1.00159e-09
1,0.01,3.2956,1.00096e-09
2,0.02,3.29556,1.00093e-09
3,0.03,3.29569,1.00134e-09
4,0.04,3.29585,1.00075e-09
5,0.05,3.29576,1.00102e-09
6,0.06,3.29583,1.00086e-09
7,0.07,3.29576,1.0006e-09
8,0.08,3.29587,1.00117e-09
9,0.09,3.2959,1.00075e-09
10,0.1,3.29595,1.00084e-09
11,0.11,3.29553,1.00047e-09
12,0.12,3.29553,1.00059e-09
13,0.13,3.29543,1.00123e-09
14,0.14,3.29559,1.00028e-09
15,0.15,3.29536,1.00113e-09
16,0.16,3.29582,1.00068e-09
17,0.17,3.29566,1.00044e-09
18,0.18,3.29596,1.00083e-09
19,0.19,3.29564,1.00047e-09
20,0.2,3.29567,1.00067e-09
21,0.21,3.29571,1.00082e-09
22,0.22,3.29554,1.00061e-09
23,0.23,3.29539,1.001e-09
24,0.24,3.29549,1.00065e-09
25,0.25,3.29559,1.00102e-09
26,0.26,3.29553,1.00096e-09
27,0.27,3.2956,1.00066e-09
28,0.28,3.29583,1.0006e-09
29,0.29,3.29582,1.00084e-09
30,0.3,3.29576,1.00069e-09
31,0.31,3.29586,1.00087e-09
32,0.32,3.29577,1.00039e-09
33,0.33,3.29567,1.00094e-09
34,0.34,3.29592,1.00048e-09
35,0.35,3.29573,1.00099e-09
36,0.36,3.2595,1.00025e-09
37,0.37,3.25826,1.00077e-09
38,0.38,3.25632,1.00117e-09
39,0.39,3.25724,9.99912e-10
40,0.4,3.25708,1.0017e-09
41,0.41,3.25921,1.0003e-09
42,0.42,3.25956,1.00165e-09
43,0.43,3.25943,1.00276e-09
44,0.44,3.25915,1.00148e-09
45,0.45,3.25706,1.00174e-09
46,0.46,3.25861,1.00012e-09
47,0.47,3.25798,1.00172e-09
48,0.48,3.25859,1.00067e-09
49,0.49,3.25673,1.001e-09
50,0.5,3.25736,1.00099e-09
51,0.51,3.25603,9.99869e-10
52,0.52,3.25763,1.00038e-09
53,0.53,3.25766,1.00089e-09
54,0.54,3.26186,1.00089e-09
55,0.55,3.2542,9.9999e-10
56,0.56,3.25917,1.0024e-09
57,0.57,3.25818,1.00052e-09
58,0.58,3.25875,1.00039e-09
59,0.59,3.25832,9.9992e-10
60,0.6,3.25658,1.00121e-09
61,0.61,3.2591,1.00265e-09
62,0.62,3.26,1.00044e-09
63,0.63,3.25697,1.00224e-09
64,0.64,3.25716,9.9883e-10
65,0.65,3.25681,1.00084e-09
66,0.66,3.25581,9.9975e-10
67,0.67,3.2575,1.00129e-09
68,0.68,3.25789,1.001e-09
69,0.69,3.25946,1.00111e-09
70,0.7,3.25775,1.00094e-09
71,0.71,3.25849,1.00241e-09
72,0.72,3.25677,1.00145e-09
73,0.73,3.25763,1.00047e-09
74,0.74,3.26013,1.00142e-09
75,0.75,3.25928,1.00175e-09
76,0.76,3.25831,1.00084e-09
77,0.77,3.25845,9.99546e-10
78,0.78,3.25747,1.00036e-09
79,0.79,3.25631,1.00027e-09
80,0.8,3.258,1.00197e-09
81,0.81,3.25822,9.98864e-10
82,0.82,3.26026,1.00007e-09
83,0.83,3.2588,9.99162e-10
84,0.84,3.2576,1.00151e-09
85,0.85,3.25884,9.99649e-10
86,0.86,3.25829,1.00107e-09
87,0.87,3.25808,1.00117e-09
88,0.88,3.25776,1.00013e-09
89,0.89,3.25477,1.00108e-09
90,0.9,3.25836,1.00149e-09
91,0.91,3.25657,1.0014e-09
92,0.92,3.25579,1.0007e-09
93,0.93,3.26015,9.99614e-10
94,0.94,3.25953,1.00123e-09
95,0.95,3.25729,1.0009e-09
96,0.96,3.25786,1.00025e-09
97,0.97,3.25983,1.00211e-09
98,0.98,3.25736,1.00154e-09
99,0.99,3.25824,1.0017e-09
100,1.0,3.25718,1.00106e-09
101,1.01,3.25987,1.00198e-09
102,1.02,3.2579,1.00129e-09
103,1.03,3.25655,9.98949e-10
104,1.04,3.25499,1.00005e-09
105,1.05,3.25596,1.00162e-09
106,1.06,3.25904,1.00288e-09
107,1.07,3.25799,1.00106e-09
108,1.08,3.25775,1.00091e-09
109,1.09,3.25763,1.00113e-09
110,1.1,3.25615,1.00149e-09
111,1.11,3.25858,1.00139e-09
112,1.12,3.25829,9.99238e-10
113,1.13,3.25565,1.00205e-09
114,1.14,3.25815,1.00008e-09
115,1.15,3.2572,1.00146e-09
116,1.16,3.25711,1.0015e-09
117,1.17,3.2552,1.00189e-09
118,1.18,3.25588,1.00085e-09
119,1.19,3.25979,1.00031e-09
120,1.2,3.25722,1.00022e-09
121,1.21,3.25642,9.9993e-10
122,1.22,3.25832,1.00051e-09
123,1.23,3.25957,1.00022e-09
124,1.24,3.25921,1.00186e-09
125,1.25,3.25828,9.99904e-10
126,1.26,3.25854,1.00113e-09
127,1.27,3.25793,1.00123e-09
128,1.28,3.25479,1.00065e-09
129,1.29,3.25732,1.00046e-09
130,1.3,3.25438,1.00141e-09
131,1.31,3.2554,1.00192e-09
132,1.32,3.25841,1.00229e-09
133,1.33,3.25789,1.00162e-09
134,1.34,3.25947,1.00013e-09
135,1.35,3.25572,1.00238e-09
136,1.36,3.25747,1.00042e-09
137,1.37,3.25701,1.00007e-09
138,1.38,3.25842,1.00007e-09
139,1.39,3.25818,9.99717e-10
140,1.4,3.25629,1.00098e-09
141,1.41,3.25795,1.00065e-09
142,1.42,3.25348,1.00161e-09
143,1.43,3.25522,1.00125e-09
144,1.44,3.25795,1.00059e-09
145,1.45,3.25569,9.9998e-10
146,1.46,3.25746,1.00172e-09
147,1.47,3.25525,1.00181e-09
148,1.48,3.25907,1.00098e-09
149,1.49,3.25829,9.99187e-10
150,1.5,3.25703,1.00034e-09
151,1.51,3.25647,1.00147e-09
152,1.52,3.25836,1.00154e-09
153,1.53,3.25744,1.00038e-09
154,1.54,3.2572,1.00177e-09
155,1.55,3.25397,1.0007e-09
156,1.56,3.25874,1.00168e-09
157,1.57,3.25581,1.00079e-09
158,1.58,3.25793,1.00246e-09
159,1.59,3.25783,1.00107e-09
160,1.6,3.25718,1.00045e-09
161,1.61,3.25703,1.00159e-09
162,1.62,3.25724,1.0014e-09
163,1.63,3.25507,1.00024e-09
164,1.64,3.25491,1.00236e-09
165,1.65,3.25792,1.00075e-09
166,1.66,3.2577,1.00123e-09
167,1.67,3.25628,1.00087e-09
168,1.68,3.25421,1.00044e-09
169,1.69,3.2579,9.99836e-10
170,1.7,3.25586,1.00174e-09
171,1.71,3.25997,9.99998e-10
172,1.72,3.25782,9.99809e-10
173,1.73,3.25688,1.0011e-09
174,1.74,3.25865,1.00047e-09
175,1.75,3.25433,1.00117e-09
176,1.76,3.25696,1.00112e-09
177,1.77,3.25835,1.00128e-09
178,1.78,3.25605,1.00027e-09
179,1.79,3.25578,1.00123e-09
180,1.8,3.25602,1.0013e-09
181,1.81,3.25576,1.00169e-09
182,1.82,3.25753,9.99162e-10
183,1.83,3.25824,1.00022e-09
184,1.84,3.2581,1.00096e-09
185,1.85,3.25569,1.00106e-09
186,1.86,3.26051,1.00073e-09
187,1.87,3.25809,1.00087e-09
188,1.88,3.25618,1.00073e-09
189,1.89,3.25674,1.00129e-09
190,1.9,3.25559,1.00217e-09
191,1.91,3.25658,1.00104e-09
192,1.92,3.25527,1.00186e-09
193,1.93,3.25796,1.00131e-09
194,1.94,3.25754,1.00137e-09
195,1.95,3.25624,1.00163e-09
196,1.96,3.25907,1.00032e-09
197,1.97,3.25723,1.00138e-09
198,1.98,3.25599,1.00015e-09
199,1.99,3.2573,1.00109e-09
200,2.0,3.25816,1.00139e-09
201,2.01,3.25476,1.00081e-09
202,2.02,3.25693,1.00227e-09
203,2.03,3.258,1.00187e-09
204,2.04,3.25552,1.00023e-09
205,2.05,3.25487,1.00145e-09
206,2.06,3.2566,1.00123e-09
207,2.07,3.25451,1.00178e-09
208,2.08,3.25711,1.0004e-09
209,2.09,3.25624,1.00082e-09
210,2.1,3.25655,1.00155e-09
211,2.11,3.25891,1.00225e-09
212,2.12,3.25835,1.00042e-09
213,2.13,3.25634,1.00095e-09
214,2.14,3.25931,1.00081e-09
215,2.15,3.25737,1.00111e-09
216,2.16,3.25673,1.00111e-09
217,2.17,3.25555,1.00157e-09
218,2.18,3.25592,1.00163e-09
219,2.19,3.25718,9.986e-10
220,2.2,3.25457,1.00065e-09
221,2.21,3.25918,1.00054e-09
222,2.22,3.2553,9.99579e-10
223,2.23,3.25635,1.00198e-09
224,2.24,3.25673,1.00105e-09
225,2.25,3.25484,1.00171e-09
226,2.26,3.25622,1.00224e-09
227,2.27,3.25627,1.00129e-09
228,2.28,3.25606,9.99819e-10
229,2.29,3.25667,1.00106e-09
230,2.3,3.25536,1.00189e-09
231,2.31,3.25693,1.00106e-09
232,2.32,3.25629,1.00018e-09
233,2.33,3.2594,1.00217e-09
234,2.34,3.25707,9.9952e-10
235,2.35,3.25649,1.00125e-09
236,2.36,3.25866,1.00109e-09
237,2.37,3.25572,1.00062e-09
238,2.38,3.25698,1.00088e-09
239,2.39,3.25697,1.00135e-09
240,2.4,3.25639,1.00218e-09
241,2.41,3.25775,1.00337e-09
242,2.42,3.25647,1.00005e-09
243,2.43,3.25658,1.0025e-09
244,2.44,3.25722,9.99341e-10
245,2.45,3.25713,1.00042e-09
246,2.46,3.25865,1.00253e-09
247,2.47,3.25694,1.00026e-09
248,2.48,3.25632,1.00059e-09
249,2.49,3.25964,1.0025e-09
250,2.5,3.25553,1.00128e-09
251,2.51,3.2572,1.00065e-09
252,2.52,3.25683,1.00121e-09
253,2.53,3.25519,9.99947e-10
254,2.54,3.2578,9.99469e-10
255,2.55,3.25763,1.00151e-09
256,2.56,3.25608,1.00022e-09
257,2.57,3.25707,1.00108e-09
258,2.58,3.25844,1.00039e-09
259,2.59,3.25611,1.00183e-09
260,2.6,3.25785,1.00049e-09
261,2.61,3.26006,1.00286e-09
262,2.62,3.25649,1.0014e-09
263,2.63,3.25763,1.0032e-09
264,2.64,3.25552,1.00098e-09
265,2.65,3.25484,1.00286e-09
266,2.66,3.25622,1.00001e-09
267,2.67,3.25447,1.00168e-09
268,2.68,3.25637,1.00012e-09
269,2.69,3.25696,1.0016e-09
270,2.7,3.25798,1.00225e-09
271,2.71,3.25647,1.00152e-09
272,2.72,3.25783,1.00128e-09
273,2.73,3.25875,1.0023e-09
274,2.74,3.25716,1.00037e-09
275,2.75,3.2572,1.00208e-09
276,2.76,3.25767,1.00112e-09
277,2.77,3.25849,1.00143e-09
278,2.78,3.25775,1.00329e-09
279,2.79,3.25732,1.00199e-09
280,2.8,3.2554,1.00274e-09
281,2.81,3.25651,1.00254e-09
282,2.82,3.2569,1.00224e-09
283,2.83,3.25936,1.00181e-09
284,2.84,3.25773,1.00067e-09
285,2.85,3.25696,1.00118e-09
286,2.86,3.25704,1.00145e-09
287,2.87,3.25615,1.00036e-09
288,2.88,3.25732,1.00145e-09
289,2.89,3.25842,1.0009e-09
290,2.9,3.25832,1.00157e-09
291,2.91,3.25697,1.0017e-09
292,2.92,3.25796,9.99367e-10
293,2.93,3.25537,1.0014e-09
294,2.94,3.25779,1.00137e-09
295,2.95,3.25395,1.00021e-09
296,2.96,3.26119,1.00129e-09
297,2.97,3.25812,1.00059e-09
298,2.98,3.25693,1.00003e-09
299,2.99,3.25907,1.00062e-09
300,3.0,3.25661,1.00026e-09
301,3.01,3.25711,9.99725e-10
302,3.02,3.2578,1.00249e-09
303,3.03,3.25759,1.00268e-09
304,3.04,3.25806,9.99486e-10
305,3.05,3.25589,1.00197e-09
306,3.06,3.25681,1.00129e-09
307,3.07,3.2554,1.00227e-09
308,3.08,3.25684,1.00202e-09
309,3.09,3.25826,1.00158e-09
310,3.1,3.25501,1.00019e-09
311,3.11,3.25639,1.00081e-09
312,3.12,3.25904,1.00075e-09
313,3.13,3.25671,1.00165e-09
314,3.14,3.2596,1.00079e-09
315,3.15,3.25914,1.00173e-09
316,3.16,3.25912,1.0004e-09
317,3.17,3.25687,1.00178e-09
318,3.18,3.25701,1.00267e-09
319,3.19,3.25746,9.99819e-10
320,3.2,3.25704,1.00217e-09
321,3.21,3.25688,1.0015e-09
322,3.22,3.25457,1.00018e-09
323,3.23,3.25747,1.00024e-09
324,3.24,3.25835,1.00033e-09
325,3.25,3.2569,1.00101e-09
326,3.26,3.25918,1.00193e-09
327,3.27,3.25579,1.0011e-09
328,3.28,3.25648,1.00147e-09
329,3.29,3.25691,1.00109e-09
330,3.3,3.25825,1.00088e-09
331,3.31,3.25674,1.00119e-09
332,3.32,3.25732,1.0017e-09
333,3.33,3.25605,1.00035e-09
334,3.34,3.2577,1.00181e-09
335,3.35,3.25378,1.00034e-09
336,3.36,3.25864,1.00186e-09
337,3.37,3.25683,1.00185e-09
338,3.38,3.25819,1.00155e-09
339,3.39,3.25732,1.00238e-09
340,3.4,3.25575,1.00075e-09
341,3.41,3.25743,1.00191e-09
342,3.42,3.25773,1.00187e-09
