,V1,currIn,v2
0,2.35941,2.62378e-10,-0.781448
1,2.37451,7.98472e-10,-0.730271
2,2.38098,9.42664e-10,-0.694766
3,2.38472,9.75664e-10,-0.669034
4,2.38961,9.86663e-10,-0.650203
5,2.3968,9.90075e-10,-0.636547
6,2.4001,9.91098e-10,-0.628495
7,2.40974,9.89478e-10,-0.621164
8,2.40945,9.92206e-10,-0.608945
9,2.40916,9.98516e-10,-0.604057
10,2.40974,9.97664e-10,-0.605209
11,2.41477,9.94679e-10,-0.601614
12,2.4129,9.94594e-10,-0.602765
13,2.41218,9.96726e-10,-0.598738
14,2.41319,9.94338e-10,-0.600753
15,2.41348,9.96214e-10,-0.598164
16,2.4152,9.93741e-10,-0.599747
17,2.41448,9.9826e-10,-0.593851
18,2.41693,9.9502e-10,-0.59644
19,2.41348,9.94253e-10,-0.595577
20,2.41506,9.94508e-10,-0.599747
21,2.41161,9.9681e-10,-0.599458
22,2.41621,9.94338e-10,-0.599315
23,2.41218,9.98005e-10,-0.600176
24,2.41003,1.00031e-09,-0.603626
25,2.40643,1.00082e-09,-0.610957
26,2.40614,9.95703e-10,-0.614552
27,2.40514,9.98005e-10,-0.616565
28,2.3955,1.00406e-09,-0.622747
29,2.3863,1.00628e-09,-0.64172
30,2.37897,1.00082e-09,-0.661991
31,2.37192,9.98772e-10,-0.674353
32,2.36229,1.00278e-09,-0.688009
33,2.35122,1.00653e-09,-0.700514
34,2.34475,1.00798e-09,-0.724092
35,2.33396,1.00457e-09,-0.742059
36,2.32936,1.00474e-09,-0.763621
37,2.317,1.00338e-09,-0.776703
38,2.31153,1.00116e-09,-0.793092
39,2.30406,1.00099e-09,-0.809047
40,2.29845,1.0009e-09,-0.820117
41,2.28781,1.00653e-09,-0.835066
42,2.28148,1.00568e-09,-0.848579
43,2.27429,1.0021e-09,-0.869279
44,2.26595,1.00227e-09,-0.881066
45,2.25704,1.00738e-09,-0.900185
46,2.24942,1.00721e-09,-0.911112
47,2.24654,1.00176e-09,-0.927067
48,2.23748,1.0021e-09,-0.939
49,2.22713,1.00926e-09,-0.95855
50,2.21419,1.00858e-09,-0.978675
51,2.21059,1.00568e-09,-0.996788
52,2.2001,1.00466e-09,-1.01102
53,2.19032,1.00687e-09,-1.02741
54,2.17522,1.0073e-09,-1.05386
55,2.16228,1.00781e-09,-1.07729
56,2.14934,1.0119e-09,-1.10805
57,2.13396,1.01199e-09,-1.12947
58,2.1272,1.01097e-09,-1.15391
59,2.11828,1.00184e-09,-1.17475
60,2.10807,1.00483e-09,-1.19157
61,2.09671,1.00696e-09,-1.20911
62,2.08521,1.00585e-09,-1.22952
63,2.07773,1.00645e-09,-1.2508
64,2.06767,1.00508e-09,-1.26963
65,2.0635,1.00935e-09,-1.28602
66,2.05401,1.00474e-09,-1.30082
67,2.04826,1.00304e-09,-1.31764
68,2.04222,9.97578e-10,-1.3336
69,2.04394,9.9826e-10,-1.33503
70,2.04165,9.97152e-10,-1.3382
71,2.03862,9.97152e-10,-1.33762
72,2.03848,9.96555e-10,-1.34193
73,2.04121,9.9664e-10,-1.33935
74,2.04509,9.9681e-10,-1.3369
75,2.04711,9.93229e-10,-1.32928
76,2.04941,9.97664e-10,-1.32813
77,2.04725,9.94508e-10,-1.32368
78,2.05329,9.94081e-10,-1.32382
79,2.05401,9.92888e-10,-1.31836
80,2.05861,9.9519e-10,-1.31361
81,2.05717,9.95361e-10,-1.3083
82,2.06048,9.93656e-10,-1.30456
83,2.06379,9.9357e-10,-1.29881
84,2.06681,9.91182e-10,-1.29522
85,2.07011,9.91865e-10,-1.28803
86,2.07299,9.91524e-10,-1.27825
87,2.07932,9.91439e-10,-1.2725
88,2.0832,9.92718e-10,-1.26589
89,2.08665,9.97407e-10,-1.25453
90,2.08996,9.94424e-10,-1.24878
91,2.09858,9.87517e-10,-1.23254
92,2.11397,9.82059e-10,-1.21414
93,2.12475,9.85213e-10,-1.18783
94,2.13913,9.87431e-10,-1.16972
95,2.14373,9.89137e-10,-1.14988
96,2.15624,9.84788e-10,-1.13378
97,2.1666,9.8564e-10,-1.11093
98,2.18457,9.87346e-10,-1.08591
99,2.19535,9.8385e-10,-1.06018
100,2.20556,9.85726e-10,-1.03704
101,2.21189,9.87176e-10,-1.01835
102,2.22181,9.85213e-10,-1.00124
103,2.23202,9.88199e-10,-0.983562
104,2.24266,9.86834e-10,-0.960419
105,2.25416,9.87858e-10,-0.94173
106,2.26236,9.89392e-10,-0.920742
107,2.27458,9.85811e-10,-0.903349
108,2.28364,9.84702e-10,-0.882218
109,2.29701,9.85811e-10,-0.859935
110,2.30578,9.88028e-10,-0.84096
111,2.31268,9.87687e-10,-0.825868
112,2.32505,9.82827e-10,-0.80761
113,2.33799,9.84958e-10,-0.778716
114,2.35251,9.87858e-10,-0.754852
115,2.36128,9.87517e-10,-0.732141
116,2.37394,9.8078e-10,-0.715609
117,2.38745,9.81035e-10,-0.689158
118,2.40528,9.79842e-10,-0.658972
119,2.42009,9.78222e-10,-0.625334
120,2.43476,9.78819e-10,-0.593421
121,2.44914,9.87601e-10,-0.567257
122,2.46136,9.84532e-10,-0.541096
123,2.47718,9.83338e-10,-0.519245
124,2.4881,9.82571e-10,-0.496101
125,2.49918,9.84277e-10,-0.47267
126,2.51197,9.83509e-10,-0.448663
127,2.5275,9.82571e-10,-0.423076
128,2.53757,9.84532e-10,-0.400651
129,2.54792,9.89392e-10,-0.376213
130,2.55813,9.86919e-10,-0.358818
131,2.56604,9.87601e-10,-0.342717
132,2.57035,9.90416e-10,-0.335243
133,2.57236,9.91524e-10,-0.321586
134,2.58113,9.9178e-10,-0.314686
135,2.57984,9.9178e-10,-0.309081
136,2.5843,9.93741e-10,-0.308361
137,2.58157,9.99966e-10,-0.307066
138,2.58832,9.97237e-10,-0.304768
139,2.58688,9.94935e-10,-0.302467
140,2.58674,9.95446e-10,-0.30333
141,2.58789,9.95958e-10,-0.303617
142,2.58991,9.93229e-10,-0.304337
143,2.59149,9.96555e-10,-0.302179
144,2.58947,9.9681e-10,-0.300744
145,2.59249,9.98431e-10,-0.301604
146,2.59264,9.97237e-10,-0.305631
147,2.5935,9.95106e-10,-0.305054
148,2.59062,9.97748e-10,-0.307355
149,2.58746,9.95873e-10,-0.306923
150,2.59048,9.96982e-10,-0.312099
151,2.5876,9.97237e-10,-0.315118
152,2.59034,9.99881e-10,-0.320437
153,2.5853,9.97748e-10,-0.32403
154,2.58329,1.0044e-09,-0.331218
155,2.57294,1.00602e-09,-0.346887
156,2.56719,1.00491e-09,-0.364711
157,2.55798,1.00193e-09,-0.37765
158,2.55453,1.00227e-09,-0.389292
159,2.54418,1.00107e-09,-0.405538
160,2.53541,1.00909e-09,-0.425375
161,2.52448,1.00994e-09,-0.447512
162,2.51657,1.00875e-09,-0.46505
163,2.50938,1.00483e-09,-0.484457
164,2.50018,1.00133e-09,-0.501132
165,2.49687,1.00295e-09,-0.514789
166,2.48796,1.00389e-09,-0.529451
167,2.48494,1.00338e-09,-0.54354
168,2.47559,1.00423e-09,-0.560069
