,currIn,v2
0,2.76109e-10,-2.09122
1,8.08028e-10,-2.06636
2,9.50686e-10,-2.0596
3,9.85988e-10,-2.06564
4,9.96221e-10,-2.07412
5,1.00065e-09,-2.08605
6,9.98437e-10,-2.09381
7,9.975e-10,-2.10057
8,9.97159e-10,-2.10589
9,1.00057e-09,-2.11609
10,9.99035e-10,-2.12198
11,1.00031e-09,-2.12888
12,9.97756e-10,-2.13492
13,9.97841e-10,-2.14211
14,9.97671e-10,-2.147
15,9.98864e-10,-2.15864
16,9.96647e-10,-2.16727
17,9.98267e-10,-2.17287
18,9.97159e-10,-2.17704
19,9.99546e-10,-2.18466
20,1.00065e-09,-2.19573
21,1.00006e-09,-2.20435
22,9.99205e-10,-2.21125
23,9.97074e-10,-2.22016
24,1.00108e-09,-2.23267
25,9.98267e-10,-2.2469
26,9.98096e-10,-2.26027
27,9.96903e-10,-2.27349
28,1.00134e-09,-2.28686
29,9.99802e-10,-2.29534
30,9.99291e-10,-2.3031
31,9.96733e-10,-2.30756
32,9.98437e-10,-2.31849
33,9.9895e-10,-2.32783
34,9.98182e-10,-2.3412
35,9.97756e-10,-2.34953
36,9.99546e-10,-2.35557
37,9.98353e-10,-2.3583
38,9.97415e-10,-2.36434
39,9.95113e-10,-2.36506
40,9.98523e-10,-2.36707
41,9.96476e-10,-2.36707
42,9.96051e-10,-2.36362
43,9.9571e-10,-2.3606
44,9.9733e-10,-2.35528
45,9.97074e-10,-2.3514
46,9.95624e-10,-2.34853
47,9.95197e-10,-2.34623
48,9.97074e-10,-2.34307
49,9.96903e-10,-2.33918
50,9.96221e-10,-2.33372
51,9.98182e-10,-2.33142
52,9.97756e-10,-2.32654
53,9.96903e-10,-2.32251
54,9.93407e-10,-2.31748
55,9.98012e-10,-2.31259
56,9.95113e-10,-2.3067
57,9.9588e-10,-2.30052
58,9.96392e-10,-2.2929
59,9.94686e-10,-2.28959
60,9.9571e-10,-2.28312
61,9.96306e-10,-2.27321
62,9.95795e-10,-2.25725
63,9.9912e-10,-2.2446
64,9.95538e-10,-2.23224
65,9.95197e-10,-2.22131
66,9.95795e-10,-2.20924
67,9.98437e-10,-2.19486
68,9.98437e-10,-2.17805
69,9.96733e-10,-2.16281
70,9.96647e-10,-2.1516
71,9.98096e-10,-2.13981
72,9.96306e-10,-2.13133
73,9.96562e-10,-2.11811
74,9.93918e-10,-2.10689
75,9.98012e-10,-2.0918
76,9.95795e-10,-2.08044
77,9.94856e-10,-2.06722
78,9.93493e-10,-2.05874
79,9.9571e-10,-2.04537
80,9.96051e-10,-2.03128
81,9.94004e-10,-2.02165
82,9.94431e-10,-2.00613
83,9.97074e-10,-1.99103
84,9.93748e-10,-1.9781
85,9.96903e-10,-1.96703
86,9.96136e-10,-1.9538
87,9.94686e-10,-1.93598
88,9.9281e-10,-1.91614
89,9.93577e-10,-1.89875
90,9.96903e-10,-1.88092
91,9.9588e-10,-1.86482
92,9.95368e-10,-1.84858
93,9.95283e-10,-1.83493
94,9.9571e-10,-1.81983
95,9.96306e-10,-1.80833
96,9.95113e-10,-1.7941
97,9.9588e-10,-1.78361
98,9.96562e-10,-1.76722
99,9.95197e-10,-1.75213
100,9.98096e-10,-1.73804
101,9.98353e-10,-1.73172
102,9.975e-10,-1.72697
103,9.94942e-10,-1.72094
104,9.9588e-10,-1.71619
105,9.97159e-10,-1.7113
106,9.98012e-10,-1.70843
107,9.97841e-10,-1.70742
108,9.9878e-10,-1.70814
109,9.98609e-10,-1.70584
110,9.96136e-10,-1.70599
111,9.96733e-10,-1.70383
112,9.94601e-10,-1.70239
113,9.98523e-10,-1.70095
114,9.98609e-10,-1.69909
115,9.98864e-10,-1.70139
116,9.97756e-10,-1.70095
117,9.98353e-10,-1.70038
118,9.96392e-10,-1.69937
119,9.98182e-10,-1.70153
120,9.975e-10,-1.70124
121,9.9878e-10,-1.70484
122,9.98523e-10,-1.70627
123,9.98523e-10,-1.70785
124,9.975e-10,-1.70843
125,9.96221e-10,-1.71691
126,9.9878e-10,-1.72654
127,9.99632e-10,-1.73574
128,9.97244e-10,-1.74149
129,9.98182e-10,-1.74738
130,9.99717e-10,-1.7563
131,9.98609e-10,-1.7688
132,9.96051e-10,-1.778
133,9.98353e-10,-1.78735
134,9.99376e-10,-1.79626
135,9.96647e-10,-1.80057
136,9.97926e-10,-1.80661
137,9.99717e-10,-1.81293
138,9.96988e-10,-1.82228
139,9.9912e-10,-1.83105
140,9.99035e-10,-1.84025
141,1.00074e-09,-1.84729
142,9.97671e-10,-1.85591
143,9.98609e-10,-1.85922
144,9.98096e-10,-1.86727
145,1.00023e-09,-1.87503
146,9.98182e-10,-1.88883
147,9.98267e-10,-1.89846
148,9.99887e-10,-1.9032
149,9.97926e-10,-1.91082
150,9.99205e-10,-1.92089
151,1.00108e-09,-1.93569
152,9.9895e-10,-1.95237
153,9.99376e-10,-1.96674
154,9.99376e-10,-1.9768
155,9.97926e-10,-1.9873
156,9.98864e-10,-1.99535
157,1.00031e-09,-2.00857
158,9.98353e-10,-2.01777
159,9.97671e-10,-2.02783
160,9.99802e-10,-2.03416
161,9.99632e-10,-2.04393
162,9.97926e-10,-2.05356
163,9.9733e-10,-2.06434
164,9.99802e-10,-2.07081
165,9.9588e-10,-2.07326
166,9.95624e-10,-2.06981
167,9.96136e-10,-2.07297
168,9.99546e-10,-2.07268
169,9.96817e-10,-2.07182
170,9.97756e-10,-2.06909
171,9.94259e-10,-2.06477
172,9.97926e-10,-2.06319
173,9.95795e-10,-2.05888
174,9.99205e-10,-2.05658
175,9.96733e-10,-2.05313
176,1.00006e-09,-2.05155
177,9.95965e-10,-2.04796
178,9.96733e-10,-2.04307
179,9.96051e-10,-2.03761
180,9.9895e-10,-2.03574
181,9.97074e-10,-2.03071
182,9.94089e-10,-2.02798
183,9.98012e-10,-2.02079
184,1.00134e-09,-2.01705
185,9.9878e-10,-2.00828
186,9.97671e-10,-2.00181
187,9.9733e-10,-1.99635
188,9.96476e-10,-1.98615
189,9.94004e-10,-1.97249
190,9.98609e-10,-1.9597
191,9.97159e-10,-1.94762
192,9.96476e-10,-1.93727
193,9.96733e-10,-1.92333
194,9.96392e-10,-1.91039
195,9.96476e-10,-1.89631
196,9.95965e-10,-1.88236
197,9.93236e-10,-1.86928
198,9.96562e-10,-1.85721
199,9.95538e-10,-1.84901
200,9.97926e-10,-1.83895
201,9.96136e-10,-1.82673
202,9.97415e-10,-1.8125
203,9.96903e-10,-1.80043
204,9.95027e-10,-1.78878
205,9.95283e-10,-1.77786
206,9.98096e-10,-1.76708
207,9.96562e-10,-1.75773
208,9.94942e-10,-1.74494
209,9.96476e-10,-1.72884
210,9.95454e-10,-1.71404
211,9.97074e-10,-1.7034
212,9.96051e-10,-1.69319
213,9.9588e-10,-1.67896
214,9.94345e-10,-1.65913
215,9.95197e-10,-1.64058
216,9.96817e-10,-1.62261
217,9.95113e-10,-1.60781
218,9.95113e-10,-1.59128
219,9.96476e-10,-1.57978
220,9.95795e-10,-1.5631
221,9.94686e-10,-1.54988
222,9.97841e-10,-1.53622
223,9.94856e-10,-1.52472
224,9.94089e-10,-1.51107
225,9.96306e-10,-1.49684
226,9.95454e-10,-1.4816
227,9.94942e-10,-1.47226
