,v2
index,
0,-2.956
1,-2.39467
2,-2.7881
3,-2.48911
4,-2.6261
5,-2.72471
6,-2.4181
7,-2.80578
8,-2.50205
9,-2.63818
10,-2.73564
11,-2.42759
12,-2.81153
13,-2.51024
14,-2.64321
15,-2.73937
16,-2.43118
17,-2.81628
18,-2.51182
19,-2.64493
20,-2.74196
21,-2.43291
22,-2.81843
23,-2.51312
24,-2.64723
25,-2.7434
26,-2.43679
27,-2.81872
28,-2.51542
29,-2.64666
30,-2.74455
31,-2.43506
32,-2.81843
33,-2.51542
34,-2.64766
35,-2.74527
36,-2.43506
37,-2.82045
38,-2.51685
39,-2.64953
40,-2.74685
41,-2.43837
42,-2.82059
43,-2.5193
44,-2.64881
45,-2.7467
46,-2.43751
47,-2.82174
48,-2.51915
49,-2.64925
50,-2.74771
51,-2.43794
52,-2.82231
53,-2.51987
54,-2.65198
55,-2.74915
56,-2.44081
57,-2.82203
58,-2.52059
59,-2.65198
60,-2.75145
61,-2.43866
62,-2.8239
63,-2.5203
64,-2.65068
65,-2.75015
66,-2.44024
67,-2.82476
68,-2.52002
69,-2.65327
70,-2.75116
71,-2.4424
72,-2.82447
73,-2.52318
74,-2.65313
75,-2.75087
76,-2.44053
77,-2.82476
78,-2.52146
79,-2.65255
80,-2.75131
81,-2.44067
82,-2.82476
83,-2.52059
84,-2.65499
85,-2.75044
86,-2.44326
87,-2.82505
88,-2.52347
89,-2.65341
90,-2.75217
91,-2.44096
92,-2.8249
93,-2.52203
94,-2.65255
95,-2.75231
96,-2.44139
97,-2.82634
98,-2.52217
99,-2.65557
100,-2.75332
