,VoltIn,VpwrIn000,CurrOut001,VpwrIn001,CurrOut002,VpwrIn002,CurrOut003,VpwrIn003,CurrOut004,VpwrIn004,CurrOut005,VpwrIn005,CurrOut006,VpwrIn006,CurrOut007,VpwrIn007,CurrOut008
0,0.0999748,3.0,0.0,4.0,9.999999999999999e-05,5.0,0.00039999999999999996,6.0,0.0007999999999999999,7.0,0.0011,8.0,0.0013,9.0,0.0012,10.0,0.0013
1,0.199977,3.0,0.0,4.0,0.0,5.0,0.0,6.0,9.999999999999999e-05,7.0,9.999999999999999e-05,8.0,9.999999999999999e-05,9.0,9.999999999999999e-05,10.0,9.999999999999999e-05
2,0.299973,3.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0,9.0,0.0,10.0,0.0
3,0.399991,3.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0,9.0,0.0,10.0,0.0
4,0.499961,3.0,9.999999999999999e-05,4.0,9.999999999999999e-05,5.0,9.999999999999999e-05,6.0,9.999999999999999e-05,7.0,9.999999999999999e-05,8.0,9.999999999999999e-05,9.0,9.999999999999999e-05,10.0,9.999999999999999e-05
5,0.599974,3.0,0.0012,4.0,0.0013,5.0,0.0013,6.0,0.0013,7.0,0.0013,8.0,0.0014,9.0,0.0014,10.0,0.0014
6,0.699984,3.0,0.0040999999999999995,4.0,0.0047,5.0,0.0048,6.0,0.0049,7.0,0.005,8.0,0.0051,9.0,0.0053,10.0,0.0054
7,0.799953,3.0,0.008199999999999999,4.0,0.0101,5.0,0.010499999999999999,6.0,0.0107,7.0,0.011,8.0,0.0112,9.0,0.0115,10.0,0.0118
8,0.899969,3.0,0.012,4.0,0.017,5.0,0.0177,6.0,0.018099999999999998,7.0,0.0185,8.0,0.0189,9.0,0.0194,10.0,0.02
9,0.999953,3.0,0.0147,4.0,0.0247,5.0,0.0259,6.0,0.0266,7.0,0.027200000000000002,8.0,0.0277,9.0,0.028399999999999998,10.0,0.0294
10,1.09997,3.0,0.0158,4.0,0.033,5.0,0.0349,6.0,0.035800000000000005,7.0,0.0366,8.0,0.0374,9.0,0.0384,10.0,0.0396
11,1.19995,3.0,0.0161,4.0,0.041699999999999994,5.0,0.0443,6.0,0.045599999999999995,7.0,0.0466,8.0,0.047599999999999996,9.0,0.048900000000000006,10.0,0.0505
12,1.29997,3.0,0.0162,4.0,0.0507,5.0,0.054200000000000005,6.0,0.0558,7.0,0.0571,8.0,0.0584,9.0,0.0599,10.0,0.061900000000000004
13,1.39999,3.0,0.0162,4.0,0.0599,5.0,0.06430000000000001,6.0,0.0664,7.0,0.068,8.0,0.06949999999999999,9.0,0.0713,10.0,0.0736
14,1.49996,3.0,0.0162,4.0,0.0691,5.0,0.0748,6.0,0.0773,7.0,0.079,8.0,0.0809,9.0,0.083,10.0,0.0857
15,1.59998,3.0,0.0163,4.0,0.0784,5.0,0.0854,6.0,0.0883,7.0,0.09040000000000001,8.0,0.0925,9.0,0.095,10.0,0.09809999999999999
16,1.69996,3.0,0.0163,4.0,0.0876,5.0,0.0962,6.0,0.0996,7.0,0.1021,8.0,0.1044,9.0,0.1072,10.0,0.1108
17,1.79997,3.0,0.0163,4.0,0.09670000000000001,5.0,0.1071,6.0,0.1111,7.0,0.1138,8.0,0.11649999999999999,9.0,0.1196,10.0,0.1235
18,1.89998,3.0,0.0163,4.0,0.1056,5.0,0.1181,6.0,0.1226,7.0,0.1257,8.0,0.1287,9.0,0.13210000000000002,10.0,0.1365
19,1.99995,3.0,0.0163,4.0,0.1143,5.0,0.1292,6.0,0.1343,7.0,0.13779999999999998,8.0,0.14100000000000001,9.0,0.14479999999999998,10.0,0.1496
20,2.0997,3.0,0.016399999999999998,4.0,0.1226,5.0,0.1404,6.0,0.146,7.0,0.1499,8.0,0.15339999999999998,9.0,0.15760000000000002,10.0,0.1628
21,2.19957,3.0,0.016399999999999998,4.0,0.1304,5.0,0.1516,6.0,0.15789999999999998,7.0,0.16210000000000002,8.0,0.166,9.0,0.17049999999999998,10.0,0.1762
22,2.29974,3.0,0.016399999999999998,4.0,0.1375,5.0,0.1629,6.0,0.16990000000000002,7.0,0.17450000000000002,8.0,0.1787,9.0,0.1835,10.0,0.1897
23,2.39955,3.0,0.0165,4.0,0.1438,5.0,0.1742,6.0,0.1819,7.0,0.18689999999999998,8.0,0.1915,9.0,0.1966,10.0,0.2033
24,2.4997,3.0,0.0165,4.0,0.14889999999999998,5.0,0.1855,6.0,0.1941,7.0,0.1994,8.0,0.2043,9.0,0.20980000000000001,10.0,0.21689999999999998
25,2.59954,3.0,0.0165,4.0,0.1528,5.0,0.1968,6.0,0.2062,7.0,0.212,8.0,0.2171,9.0,0.2231,10.0,0.2306
26,2.69966,3.0,0.0165,4.0,0.1556,5.0,0.20809999999999998,6.0,0.21839999999999998,7.0,0.22460000000000002,8.0,0.2301,9.0,0.2364,10.0,0.24439999999999998
27,2.79952,3.0,0.0165,4.0,0.1574,5.0,0.2195,6.0,0.2306,7.0,0.23729999999999998,8.0,0.2431,9.0,0.2498,10.0,0.2583
28,2.89962,3.0,0.0165,4.0,0.1583,5.0,0.2308,6.0,0.243,7.0,0.2501,8.0,0.2562,9.0,0.2633,10.0,0.2722
29,2.99945,3.0,0.0165,4.0,0.15880000000000002,5.0,0.2421,6.0,0.25520000000000004,7.0,0.2627,8.0,0.2694,9.0,0.2768,10.0,0.2861
30,3.09962,3.0,0.0166,4.0,0.1591,5.0,0.25329999999999997,6.0,0.2676,7.0,0.27559999999999996,8.0,0.2825,9.0,0.2903,10.0,0.3001
31,3.19975,3.0,0.0166,4.0,0.1593,5.0,0.26449999999999996,6.0,0.27999999999999997,7.0,0.2884,8.0,0.2958,9.0,0.3039,10.0,0.3142
32,3.2996,3.0,0.0166,4.0,0.1596,5.0,0.2757,6.0,0.2923,7.0,0.3013,8.0,0.309,9.0,0.3175,10.0,0.32830000000000004
