# sweep_type: output
# time: 1675699351.9855208
# time_str: 06/02/2023 11:02
# t_int: 0.001
# delay: -1
# pulsed: False
# Drain voltage [V]	Source current (Vg = 4.0) [A]	Drain current (Vg = 4.0) [A]	Gate current (Vg = 4.0) [A]	Source current (Vg = 5.0) [A]	Drain current (Vg = 5.0) [A]	Gate current (Vg = 5.0) [A]	Source current (Vg = 6.0) [A]	Drain current (Vg = 6.0) [A]	Gate current (Vg = 6.0) [A]	Source current (Vg = 7.0) [A]	Drain current (Vg = 7.0) [A]	Gate current (Vg = 7.0) [A]	Source current (Vg = 8.0) [A]	Drain current (Vg = 8.0) [A]	Gate current (Vg = 8.0) [A]	Source current (Vg = 9.0) [A]	Drain current (Vg = 9.0) [A]	Gate current (Vg = 9.0) [A]	Source current (Vg = 10.0) [A]	Drain current (Vg = 10.0) [A]	Gate current (Vg = 10.0) [A]
0.000000000000000000e+00	6.795449999999999321e-04	-3.723150000000000157e-04	1.051859999999999948e-03	8.795199999999999546e-04	-6.019400000000000271e-04	1.481459999999999982e-03	9.753939999999998705e-04	-6.000960000000000495e-04	1.575489999999999920e-03	1.066544999999999906e-03	-6.014450000000000395e-04	1.667990000000000054e-03	1.165923000000000133e-03	-6.016669999999999571e-04	1.767590000000000090e-03	1.255385000000000138e-03	-6.015849999999999670e-04	1.856970000000000105e-03	1.371215999999999754e-03	-6.035539999999999612e-04	1.974769999999999824e-03
1.000000000000000056e-01	6.707979999999999022e-04	-3.553620000000000173e-04	1.026159999999999919e-03	8.700880000000000896e-04	-5.849219999999999810e-04	1.455010000000000071e-03	9.674269999999999788e-04	-5.839629999999999517e-04	1.551389999999999931e-03	1.057844999999999966e-03	-5.843450000000000033e-04	1.642189999999999969e-03	1.158137000000000055e-03	-5.854529999999999934e-04	1.743589999999999940e-03	1.245806999999999817e-03	-5.845029999999999974e-04	1.830309999999999923e-03	1.352579000000000021e-03	-5.872409999999999566e-04	1.939820000000000086e-03
2.000000000000000111e-01	6.640089999999999101e-04	-3.387010000000000086e-04	1.002709999999999973e-03	8.615969999999999705e-04	-5.677530000000000510e-04	1.429350000000000022e-03	9.593959999999999468e-04	-5.677139999999999791e-04	1.527109999999999926e-03	1.048106000000000038e-03	-5.671339999999999541e-04	1.615239999999999992e-03	1.150254999999999984e-03	-5.692650000000000054e-04	1.719519999999999989e-03	1.237496000000000039e-03	-5.676739999999999998e-04	1.805170000000000038e-03	1.335372000000000035e-03	-5.705280000000000507e-04	1.905900000000000085e-03
3.000000000000000444e-01	6.674660000000000228e-04	-3.222909999999999946e-04	9.897569999999999632e-04	8.527080000000000900e-04	-5.507119999999999680e-04	1.403420000000000058e-03	9.513009999999999912e-04	-5.516289999999999865e-04	1.502929999999999978e-03	1.038186999999999877e-03	-5.501129999999999692e-04	1.588299999999999955e-03	1.140405000000000151e-03	-5.530749999999999859e-04	1.693480000000000029e-03	1.228822999999999981e-03	-5.511269999999999971e-04	1.779949999999999978e-03	1.324319999999999924e-03	-5.537699999999999784e-04	1.878090000000000011e-03
4.000000000000000222e-01	6.508780000000000251e-04	-3.066370000000000120e-04	9.575150000000000371e-04	8.433499999999999807e-04	-5.335000000000000115e-04	1.376849999999999992e-03	9.417200000000000570e-04	-5.353899999999999545e-04	1.477110000000000012e-03	1.030020999999999888e-03	-5.333290000000000296e-04	1.563350000000000026e-03	1.127203000000000016e-03	-5.364569999999999495e-04	1.663659999999999965e-03	1.221494000000000052e-03	-5.346959999999999777e-04	1.756189999999999921e-03	1.314228000000000184e-03	-5.366820000000000227e-04	1.850910000000000099e-03
5.000000000000000000e-01	6.427900000000000714e-04	-2.906699999999999800e-04	9.334599999999999972e-04	8.345709999999999891e-04	-5.165089999999999569e-04	1.351079999999999946e-03	9.293390000000000548e-04	-5.188810000000000080e-04	1.448220000000000063e-03	1.021247999999999991e-03	-5.168020000000000166e-04	1.538050000000000007e-03	1.116652000000000096e-03	-5.197679999999999878e-04	1.636419999999999975e-03	1.214306999999999973e-03	-5.185629999999999884e-04	1.732870000000000070e-03	1.305201999999999881e-03	-5.195980000000000217e-04	1.824799999999999903e-03
6.000000000000000888e-01	6.364870000000000336e-04	-2.747310000000000095e-04	9.112179999999999889e-04	8.269260000000000716e-04	-4.997839999999999705e-04	1.326710000000000042e-03	9.191409999999999468e-04	-5.021490000000000198e-04	1.421289999999999967e-03	1.013776999999999994e-03	-5.004229999999999486e-04	1.514200000000000051e-03	1.106589999999999961e-03	-5.028199999999999597e-04	1.609409999999999921e-03	1.205385999999999914e-03	-5.023840000000000337e-04	1.707769999999999948e-03	1.295666999999999913e-03	-5.024629999999999765e-04	1.798129999999999997e-03
7.000000000000000666e-01	6.272759999999999621e-04	-2.587770000000000196e-04	8.860530000000000359e-04	8.190170000000000089e-04	-4.833029999999999770e-04	1.302320000000000040e-03	9.092790000000000334e-04	-4.852810000000000045e-04	1.394559999999999984e-03	1.006337999999999851e-03	-4.843320000000000242e-04	1.490669999999999929e-03	1.097505000000000138e-03	-4.857349999999999971e-04	1.583240000000000081e-03	1.199178999999999870e-03	-4.862910000000000236e-04	1.685469999999999894e-03	1.285702000000000112e-03	-4.853279999999999855e-04	1.771030000000000043e-03
8.000000000000000444e-01	6.165209999999999744e-04	-2.425240000000000111e-04	8.590450000000000126e-04	8.123749999999999461e-04	-4.669450000000000228e-04	1.279320000000000023e-03	9.004969999999999945e-04	-4.681730000000000049e-04	1.368669999999999999e-03	9.972520000000001210e-04	-4.681679999999999804e-04	1.465420000000000047e-03	1.088305000000000132e-03	-4.686450000000000099e-04	1.556950000000000087e-03	1.190656000000000006e-03	-4.701039999999999971e-04	1.660760000000000057e-03	1.276235000000000130e-03	-4.682450000000000002e-04	1.744480000000000076e-03
9.000000000000000222e-01	6.072140000000000176e-04	-2.261280000000000007e-04	8.333420000000000454e-04	8.052789999999998907e-04	-4.509110000000000201e-04	1.256189999999999911e-03	8.919479999999999379e-04	-4.511720000000000097e-04	1.343119999999999948e-03	9.893160000000000669e-04	-4.521440000000000268e-04	1.441460000000000094e-03	1.078652000000000040e-03	-4.515680000000000106e-04	1.530220000000000104e-03	1.176631999999999938e-03	-4.536979999999999919e-04	1.630329999999999930e-03	1.267747999999999965e-03	-4.515920000000000090e-04	1.719339999999999974e-03
1.000000000000000000e+00	5.985409999999999602e-04	-2.095389999999999872e-04	8.080799999999999745e-04	7.969360000000000419e-04	-4.347639999999999730e-04	1.231700000000000069e-03	8.828449999999999406e-04	-4.340650000000000259e-04	1.316909999999999912e-03	9.818300000000001592e-04	-4.359699999999999882e-04	1.417800000000000093e-03	1.068509000000000039e-03	-4.344610000000000269e-04	1.502969999999999957e-03	1.165551000000000130e-03	-4.370089999999999760e-04	1.602560000000000052e-03	1.259262000000000142e-03	-4.350180000000000149e-04	1.694280000000000048e-03
1.100000000000000089e+00	5.899950000000000593e-04	-1.927830000000000006e-04	7.827780000000000328e-04	7.898140000000000108e-04	-4.187560000000000002e-04	1.208569999999999957e-03	8.729149999999999323e-04	-4.170749999999999870e-04	1.289989999999999973e-03	9.693640000000001197e-04	-4.196359999999999782e-04	1.389000000000000044e-03	1.060245999999999932e-03	-4.177539999999999986e-04	1.477999999999999930e-03	1.155416000000000038e-03	-4.202440000000000103e-04	1.575659999999999995e-03	1.252326999999999911e-03	-4.187829999999999916e-04	1.671109999999999957e-03
1.200000000000000178e+00	5.816250000000000022e-04	-1.760459999999999879e-04	7.576710000000000172e-04	7.824099999999999848e-04	-4.026400000000000074e-04	1.185049999999999992e-03	8.651369999999999807e-04	-4.003130000000000143e-04	1.265449999999999995e-03	9.586989999999999228e-04	-4.030009999999999994e-04	1.361699999999999976e-03	1.051602999999999913e-03	-4.012069999999999959e-04	1.452809999999999909e-03	1.145945999999999900e-03	-4.031840000000000077e-04	1.549129999999999908e-03	1.244990999999999980e-03	-4.026289999999999969e-04	1.647620000000000031e-03
1.300000000000000044e+00	5.736790000000000075e-04	-1.593800000000000089e-04	7.330589999999999893e-04	7.715980000000000755e-04	-3.862720000000000042e-04	1.157870000000000080e-03	8.570629999999999221e-04	-3.838669999999999756e-04	1.240929999999999898e-03	9.489369999999999576e-04	-3.862630000000000252e-04	1.335199999999999929e-03	1.043761999999999945e-03	-3.848780000000000105e-04	1.428639999999999901e-03	1.136868000000000080e-03	-3.861620000000000070e-04	1.523030000000000087e-03	1.236001000000000027e-03	-3.865489999999999747e-04	1.622549999999999947e-03
1.400000000000000133e+00	5.666119999999999751e-04	-1.427319999999999880e-04	7.093439999999999902e-04	7.622659999999999419e-04	-3.696740000000000117e-04	1.131939999999999899e-03	8.497389999999999631e-04	-3.675109999999999987e-04	1.217250000000000016e-03	9.397389999999999823e-04	-3.692610000000000141e-04	1.309000000000000051e-03	1.036944999999999837e-03	-3.687650000000000108e-04	1.405709999999999902e-03	1.127278999999999911e-03	-3.691209999999999782e-04	1.496399999999999944e-03	1.228286999999999999e-03	-3.704930000000000050e-04	1.598779999999999949e-03
1.500000000000000000e+00	5.624449999999999589e-04	-1.264829999999999882e-04	6.889280000000000013e-04	7.535789999999999893e-04	-3.529310000000000129e-04	1.106510000000000002e-03	8.429900000000000587e-04	-3.514799999999999891e-04	1.194469999999999994e-03	9.311130000000001228e-04	-3.522870000000000103e-04	1.283400000000000079e-03	1.027829000000000069e-03	-3.527410000000000029e-04	1.380570000000000018e-03	1.116842999999999959e-03	-3.520970000000000003e-04	1.468939999999999959e-03	1.219721999999999907e-03	-3.544180000000000073e-04	1.574139999999999914e-03
1.600000000000000089e+00	5.620370000000000400e-04	-1.104880000000000033e-04	6.725249999999999891e-04	7.455600000000000378e-04	-3.359699999999999969e-04	1.081530000000000035e-03	8.340479999999999942e-04	-3.354520000000000266e-04	1.169499999999999967e-03	9.217860000000000680e-04	-3.352939999999999783e-04	1.257080000000000046e-03	1.019860999999999945e-03	-3.366989999999999827e-04	1.356559999999999927e-03	1.108524999999999962e-03	-3.352949999999999941e-04	1.443819999999999956e-03	1.206620000000000045e-03	-3.380300000000000145e-04	1.544650000000000059e-03
1.700000000000000178e+00	5.618816999999999909e-04	-9.552329999999999393e-05	6.574050000000000119e-04	7.379549999999999912e-04	-3.189849999999999825e-04	1.056939999999999919e-03	8.267479999999999794e-04	-3.194219999999999785e-04	1.146169999999999958e-03	9.115630000000000000e-04	-3.182470000000000177e-04	1.229810000000000018e-03	1.012268000000000195e-03	-3.206419999999999973e-04	1.332910000000000084e-03	1.099965000000000057e-03	-3.187749999999999828e-04	1.418739999999999932e-03	1.195429000000000023e-03	-3.213809999999999779e-04	1.516809999999999947e-03
1.800000000000000044e+00	5.643617999999999335e-04	-8.028119999999999972e-05	6.446429999999999738e-04	7.297960000000000037e-04	-3.020340000000000156e-04	1.031830000000000074e-03	8.197089999999999542e-04	-3.034910000000000255e-04	1.123199999999999980e-03	9.036789999999998973e-04	-3.015709999999999897e-04	1.205249999999999941e-03	1.000456999999999952e-03	-3.044330000000000040e-04	1.304889999999999956e-03	1.091724999999999987e-03	-3.024449999999999816e-04	1.394169999999999915e-03	1.185260000000000046e-03	-3.046699999999999951e-04	1.489929999999999987e-03
1.900000000000000133e+00	5.649137999999999512e-04	-6.522819999999999324e-05	6.301419999999999851e-04	7.205840000000000248e-04	-2.850659999999999978e-04	1.005650000000000077e-03	8.088670000000000061e-04	-2.872430000000000144e-04	1.096109999999999966e-03	8.950860000000000153e-04	-2.851039999999999998e-04	1.180190000000000015e-03	9.894260000000000641e-04	-2.879140000000000085e-04	1.277340000000000073e-03	1.085248999999999936e-03	-2.863709999999999997e-04	1.371620000000000044e-03	1.175938999999999977e-03	-2.876709999999999771e-04	1.463609999999999954e-03
2.000000000000000000e+00	5.645745999999999664e-04	-5.035840000000000222e-05	6.149330000000000161e-04	7.227400000000000361e-04	-2.684599999999999877e-04	9.912000000000000238e-04	7.990779999999999411e-04	-2.708219999999999898e-04	1.069899999999999931e-03	8.872850000000000268e-04	-2.688449999999999781e-04	1.156130000000000005e-03	9.793650000000000532e-04	-2.713249999999999950e-04	1.250690000000000048e-03	1.076818000000000003e-03	-2.704319999999999749e-04	1.347249999999999923e-03	1.167106999999999910e-03	-2.708030000000000159e-04	1.437909999999999926e-03
