# sweep_type: output
# time: 1675699413.7879877
# time_str: 06/02/2023 11:03
# t_int: 0.001
# delay: -1
# pulsed: False
# Drain voltage [V],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A],Source current (Vg = 6.0) [A],Drain current (Vg = 6.0) [A],Gate current (Vg = 6.0) [A],Source current (Vg = 7.0) [A],Drain current (Vg = 7.0) [A],Gate current (Vg = 7.0) [A],Source current (Vg = 8.0) [A],Drain current (Vg = 8.0) [A],Gate current (Vg = 8.0) [A],Source current (Vg = 9.0) [A],Drain current (Vg = 9.0) [A],Gate current (Vg = 9.0) [A],Source current (Vg = 10.0) [A],Drain current (Vg = 10.0) [A],Gate current (Vg = 10.0) [A]
0.000000000000000000e+00,7.000359999999999092e-04,-3.764740000000000144e-04,1.076509999999999924e-03,8.774469999999999492e-04,-6.025130000000000503e-04,1.479959999999999999e-03,9.778579999999998523e-04,-6.037920000000000223e-04,1.581649999999999983e-03,1.068286000000000105e-03,-6.049239999999999565e-04,1.673210000000000062e-03,1.160135999999999980e-03,-6.030840000000000419e-04,1.763220000000000022e-03,1.255702999999999941e-03,-6.048969999999999651e-04,1.860600000000000014e-03,1.352858000000000185e-03,-6.037419999999999939e-04,1.956600000000000179e-03
1.000000000000000056e-01,6.777610000000000318e-04,-3.603990000000000167e-04,1.038159999999999994e-03,8.698929999999999467e-04,-5.856770000000000509e-04,1.455569999999999998e-03,9.702940000000001260e-04,-5.876059999999999573e-04,1.557900000000000083e-03,1.058151999999999921e-03,-5.880279999999999882e-04,1.646179999999999909e-03,1.151941999999999983e-03,-5.863479999999999907e-04,1.738289999999999974e-03,1.246760999999999876e-03,-5.876990000000000122e-04,1.834459999999999997e-03,1.346086999999999935e-03,-5.873729999999999750e-04,1.933459999999999910e-03
2.000000000000000111e-01,6.697720000000001190e-04,-3.442079999999999814e-04,1.013980000000000046e-03,8.615749999999999494e-04,-5.689550000000000033e-04,1.430529999999999953e-03,9.589869999999999037e-04,-5.711930000000000045e-04,1.530179999999999908e-03,1.048603999999999856e-03,-5.707760000000000524e-04,1.619379999999999908e-03,1.143373999999999953e-03,-5.696959999999999611e-04,1.713069999999999914e-03,1.236805000000000109e-03,-5.703849999999999676e-04,1.807189999999999968e-03,1.337859999999999961e-03,-5.710599999999999704e-04,1.908919999999999931e-03
3.000000000000000444e-01,6.608820000000001143e-04,-3.281739999999999787e-04,9.890560000000000931e-04,8.541760000000000021e-04,-5.524940000000000536e-04,1.406670000000000056e-03,9.471850000000001275e-04,-5.545549999999999785e-04,1.501740000000000106e-03,1.039838999999999868e-03,-5.536109999999999686e-04,1.593449999999999945e-03,1.136807000000000095e-03,-5.533629999999999669e-04,1.690169999999999954e-03,1.227245999999999979e-03,-5.532640000000000344e-04,1.780509999999999905e-03,1.330113999999999862e-03,-5.548060000000000274e-04,1.884919999999999998e-03
4.000000000000000222e-01,6.507789999999999842e-04,-3.122409999999999942e-04,9.630199999999999785e-04,8.471619999999999368e-04,-5.361979999999999915e-04,1.383359999999999928e-03,9.372369999999999443e-04,-5.376530000000000241e-04,1.474889999999999968e-03,1.030307999999999962e-03,-5.363720000000000206e-04,1.566679999999999982e-03,1.128628999999999917e-03,-5.371010000000000064e-04,1.665730000000000032e-03,1.218957000000000113e-03,-5.364429999999999459e-04,1.755400000000000059e-03,1.322498000000000076e-03,-5.385420000000000354e-04,1.861040000000000003e-03
5.000000000000000000e-01,6.423080000000000716e-04,-2.955969999999999822e-04,9.379050000000000538e-04,8.387489999999999616e-04,-5.200009999999999702e-04,1.358749999999999932e-03,9.274679999999998689e-04,-5.206320000000000392e-04,1.448099999999999908e-03,1.019839000000000032e-03,-5.191910000000000101e-04,1.539030000000000042e-03,1.121350000000000124e-03,-5.208600000000000512e-04,1.642210000000000067e-03,1.210195000000000064e-03,-5.198349999999999586e-04,1.730030000000000023e-03,1.312316999999999911e-03,-5.222929999999999543e-04,1.834609999999999973e-03
6.000000000000000888e-01,6.337870000000000222e-04,-2.786919999999999805e-04,9.124790000000000028e-04,8.325780000000000507e-04,-5.037620000000000466e-04,1.336340000000000097e-03,9.186509999999999294e-04,-5.034090000000000179e-04,1.422059999999999947e-03,1.011450000000000109e-03,-5.021599999999999762e-04,1.513610000000000086e-03,1.113353999999999993e-03,-5.046560000000000282e-04,1.618010000000000021e-03,1.203126000000000109e-03,-5.033839999999999495e-04,1.706510000000000058e-03,1.298098000000000134e-03,-5.056219999999999508e-04,1.803719999999999976e-03
7.000000000000000666e-01,6.251180000000000278e-04,-2.617089999999999976e-04,8.868269999999999712e-04,8.250060000000000900e-04,-4.876039999999999888e-04,1.312610000000000079e-03,9.096220000000001214e-04,-4.863080000000000202e-04,1.395930000000000087e-03,1.002912000000000118e-03,-4.855080000000000008e-04,1.488420000000000064e-03,1.103023000000000068e-03,-4.883970000000000065e-04,1.591420000000000074e-03,1.195817999999999968e-03,-4.872020000000000018e-04,1.683019999999999915e-03,1.287205999999999941e-03,-4.888540000000000463e-04,1.776060000000000095e-03
8.000000000000000444e-01,6.163309999999999102e-04,-2.447780000000000203e-04,8.611089999999999847e-04,8.131430000000001122e-04,-4.711369999999999989e-04,1.284280000000000057e-03,9.001799999999998822e-04,-4.690900000000000234e-04,1.369269999999999906e-03,9.944869999999998451e-04,-4.689130000000000013e-04,1.463399999999999901e-03,1.090138000000000044e-03,-4.717419999999999838e-04,1.561880000000000083e-03,1.186745999999999808e-03,-4.709340000000000010e-04,1.657679999999999917e-03,1.277014999999999834e-03,-4.718349999999999845e-04,1.748849999999999927e-03
9.000000000000000222e-01,6.076019999999999468e-04,-2.278149999999999999e-04,8.354169999999999738e-04,8.031819999999999411e-04,-4.544980000000000114e-04,1.257679999999999952e-03,8.910280000000000891e-04,-4.520319999999999980e-04,1.343060000000000087e-03,9.876730000000001099e-04,-4.527070000000000009e-04,1.440380000000000002e-03,1.079492999999999946e-03,-4.549970000000000078e-04,1.534489999999999899e-03,1.179002000000000175e-03,-4.547779999999999748e-04,1.633780000000000041e-03,1.267810000000000074e-03,-4.546999999999999935e-04,1.722510000000000013e-03
