# sweep_type: output
# time: 1675794444.9321156
# time_str: 07/02/2023 13:27
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 1) [A],Drain current (Vg = 1) [A],Gate current (Vg = 1) [A]
0.000000000000000000e+00,-1.095801999999999902e-07,-1.899639999999999929e-07,8.038380000000000277e-08
1.000000000000000056e-01,3.182924380000000061e-05,3.175879999999999822e-05,7.044379999999999449e-08
2.000000000000000111e-01,5.090876929999999954e-05,5.086639999999999803e-05,4.236929999999999678e-08
3.000000000000000444e-01,5.951009879999999869e-05,5.946840000000000139e-05,4.169879999999999749e-08
4.000000000000000222e-01,6.180719019999999586e-05,6.177040000000000070e-05,3.679019999999999813e-08
5.000000000000000000e-01,6.187203449999999075e-05,6.183829999999999373e-05,3.373449999999999678e-08
6.000000000000000888e-01,6.285383519999999675e-05,6.282180000000000218e-05,3.203519999999999956e-08
7.000000000000000666e-01,6.242740160000000377e-05,6.239790000000000104e-05,2.950159999999999995e-08
8.000000000000000444e-01,6.336543840000000529e-05,6.333910000000000484e-05,2.633839999999999913e-08
9.000000000000000222e-01,6.355457729999999480e-05,6.352979999999999608e-05,2.477730000000000045e-08
1.000000000000000000e+00,6.347330950000000364e-05,6.344930000000000253e-05,2.400950000000000069e-08
1.100000000000000089e+00,6.331940950000001177e-05,6.329670000000000673e-05,2.270949999999999897e-08
1.200000000000000178e+00,6.425991570000000688e-05,6.423780000000000353e-05,2.211570000000000129e-08
1.300000000000000044e+00,6.409895389999999994e-05,6.407669999999999588e-05,2.225389999999999984e-08
1.400000000000000133e+00,6.414778610000000268e-05,6.412760000000000584e-05,2.018609999999999836e-08
1.500000000000000000e+00,6.392231829999999349e-05,6.390289999999999426e-05,1.941829999999999859e-08
1.600000000000000089e+00,6.387162819999999319e-05,6.385199999999999784e-05,1.962819999999999970e-08
1.700000000000000178e+00,6.461195960000000156e-05,6.459399999999999853e-05,1.795960000000000155e-08
1.800000000000000044e+00,6.552695319999999246e-05,6.550969999999999385e-05,1.725319999999999994e-08
1.900000000000000133e+00,6.526839929999999203e-05,6.525109999999999602e-05,1.729930000000000126e-08
2.000000000000000000e+00,6.474164490000000182e-05,6.472540000000000205e-05,1.624489999999999878e-08
2.100000000000000089e+00,6.530028259999998911e-05,6.528499999999999581e-05,1.528260000000000014e-08
2.200000000000000178e+00,6.504627159999999111e-05,6.503059999999999364e-05,1.567160000000000118e-08
2.300000000000000266e+00,6.644502870000000962e-05,6.642970000000000537e-05,1.532870000000000146e-08
2.400000000000000355e+00,6.563336050000000957e-05,6.561990000000000509e-05,1.346049999999999999e-08
2.500000000000000000e+00,6.579490580000000243e-05,6.578099999999999919e-05,1.390579999999999969e-08
2.600000000000000089e+00,6.604528490000000345e-05,6.603120000000000571e-05,1.408489999999999962e-08
2.700000000000000178e+00,6.628578449999998894e-05,6.627279999999999337e-05,1.298449999999999957e-08
