# sweep_type: output
# time: 1675794957.4602416
# time_str: 07/02/2023 13:35
# t_int: 1.6666666666666667e-05
# delay: 0.0001
# pulsed: False
# Drain voltage [V],Source current (Vg = 4) [A],Drain current (Vg = 4) [A],Gate current (Vg = 4) [A],Source current (Vg = 5) [A],Drain current (Vg = 5) [A],Gate current (Vg = 5) [A]
0.000000000000000000e+00,-3.920976399999999860e-07,-3.900720000000000005e-07,-2.025640000000000048e-09,-9.172124499999999329e-07,-9.152159999999999547e-07,-1.996450000000000070e-09
1.000000000000000056e-01,2.479524158599999873e-04,2.479539999999999913e-04,-1.584140000000000074e-09,2.983443979300000153e-04,2.983460000000000062e-04,-1.602070000000000031e-09
2.000000000000000111e-01,4.780478969400000274e-04,4.780450000000000216e-04,2.896940000000000131e-09,5.791693714399999979e-04,5.791670000000000065e-04,2.371439999999999826e-09
3.000000000000000444e-01,7.097479107700000464e-04,7.097450000000000156e-04,2.910769999999999865e-09,8.679585752900000452e-04,8.679560000000000226e-04,2.575290000000000110e-09
4.000000000000000222e-01,9.339901458599999618e-04,9.339869999999999466e-04,3.145860000000000136e-09,1.154552760700000048e-03,1.154550000000000064e-03,2.760700000000000196e-09
5.000000000000000000e-01,1.141203435760000055e-03,1.141199999999999984e-03,3.435760000000000138e-09,1.414183688269999867e-03,1.414179999999999908e-03,3.688270000000000127e-09
6.000000000000000888e-01,1.344004634270000009e-03,1.343999999999999926e-03,4.634270000000000376e-09,1.682863902870000055e-03,1.682859999999999998e-03,3.902870000000000193e-09
7.000000000000000666e-01,1.544644912889999886e-03,1.544639999999999902e-03,4.912890000000000392e-09,1.932164168179999978e-03,1.932160000000000041e-03,4.168179999999999972e-09
8.000000000000000444e-01,1.731515085499999969e-03,1.731509999999999907e-03,5.085500000000000275e-09,2.173714417100000140e-03,2.173710000000000139e-03,4.417100000000000391e-09
9.000000000000000222e-01,1.900305228910000033e-03,1.900299999999999949e-03,5.228910000000000300e-09,2.416984704949999910e-03,2.416979999999999996e-03,4.704950000000000384e-09
1.000000000000000000e+00,2.071665417399999858e-03,2.071659999999999908e-03,5.417399999999999925e-09,2.634424902650000112e-03,2.634420000000000164e-03,4.902650000000000229e-09
1.100000000000000089e+00,2.227105584879999958e-03,2.227100000000000087e-03,5.584879999999999847e-09,2.861765132110000078e-03,2.861760000000000085e-03,5.132110000000000386e-09
1.200000000000000178e+00,2.376945799999999939e-03,2.376940000000000129e-03,5.799999999999999824e-09,3.067155254519999923e-03,3.067149999999999824e-03,5.254519999999999759e-09
1.300000000000000044e+00,2.514725904989999813e-03,2.514719999999999803e-03,5.904989999999999892e-09,3.270375409199999684e-03,3.270369999999999874e-03,5.409199999999999891e-09
1.400000000000000133e+00,2.644326007429999986e-03,2.644319999999999917e-03,6.007430000000000213e-09,3.452515592050000356e-03,3.452510000000000214e-03,5.592049999999999937e-09
1.500000000000000000e+00,2.761016012549999919e-03,2.761009999999999940e-03,6.012550000000000294e-09,3.648855794359999981e-03,3.648849999999999923e-03,5.794360000000000244e-09
1.600000000000000089e+00,2.877695886550000071e-03,2.877690000000000022e-03,5.886549999999999695e-09,3.823665876819999816e-03,3.823659999999999993e-03,5.876819999999999978e-09
1.700000000000000178e+00,2.976735683219999991e-03,2.976729999999999914e-03,5.683220000000000150e-09,3.987285942900000400e-03,3.987280000000000164e-03,5.942900000000000230e-09
1.800000000000000044e+00,3.071455552099999677e-03,3.071449999999999875e-03,5.552100000000000297e-09,4.139275809729999617e-03,4.139269999999999582e-03,5.809730000000000368e-09
