# sweep_type: output
# time: 1675791994.2460895
# time_str: 07/02/2023 12:46
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0.0) [A],Drain current (Vg = 0.0) [A],Gate current (Vg = 0.0) [A],Source current (Vg = 1.0) [A],Drain current (Vg = 1.0) [A],Gate current (Vg = 1.0) [A],Source current (Vg = 2.0) [A],Drain current (Vg = 2.0) [A],Gate current (Vg = 2.0) [A],Source current (Vg = 3.0) [A],Drain current (Vg = 3.0) [A],Gate current (Vg = 3.0) [A],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A],Source current (Vg = 6.0) [A],Drain current (Vg = 6.0) [A],Gate current (Vg = 6.0) [A],Source current (Vg = 7.0) [A],Drain current (Vg = 7.0) [A],Gate current (Vg = 7.0) [A],Source current (Vg = 8.0) [A],Drain current (Vg = 8.0) [A],Gate current (Vg = 8.0) [A],Source current (Vg = 9.0) [A],Drain current (Vg = 9.0) [A],Gate current (Vg = 9.0) [A],Source current (Vg = 10.0) [A],Drain current (Vg = 10.0) [A],Gate current (Vg = 10.0) [A]
0.000000000000000000e+00,1.143362999999999953e-08,-2.038070000000000180e-09,1.347170000000000012e-08,-4.259149999999999463e-08,-1.019159999999999975e-07,5.932450000000000292e-08,-5.746280000000000021e-07,-6.030539999999999948e-07,2.842599999999999924e-08,-9.495681420000000352e-07,-9.502770000000000329e-07,7.088579999999999524e-10,-8.560260739999999691e-07,-8.566639999999999476e-07,6.379259999999999538e-10,-1.559122940000000025e-06,-1.557550000000000021e-06,-1.572939999999999947e-09,-1.395814820000000017e-06,-1.400329999999999940e-06,4.515179999999999705e-09,-1.455308053299999963e-06,-1.455339999999999901e-06,3.194669999999999836e-11,-1.463111233000000003e-06,-1.463430000000000022e-06,3.187670000000000015e-10,2.827728100000000307e-03,-3.379189999999999744e-05,2.861520000000000209e-03,1.258884099999999992e-02,-1.392590000000000028e-04,1.272809999999999914e-02
1.000000000000000056e-01,7.890650000000000250e-09,-2.227050000000000080e-09,1.011770000000000033e-08,3.188113999999999813e-05,3.179279999999999823e-05,8.833999999999999562e-08,1.141181108999999926e-04,1.141079999999999991e-04,1.011089999999999990e-08,1.844881761300000021e-04,1.844869999999999973e-04,1.176129999999999949e-09,2.459618462620000363e-04,2.459620000000000144e-04,-1.537380000000000124e-10,2.973606686600000219e-04,2.973620000000000169e-04,-1.331340000000000078e-09,3.336981380450000211e-04,3.336980000000000024e-04,1.380450000000000129e-10,3.795685249199999859e-04,3.795690000000000110e-04,-4.750799999999999766e-10,4.224504953600000307e-04,4.224510000000000114e-04,-5.046400000000000275e-10,3.287836000000000144e-03,4.379159999999999997e-04,2.849920000000000144e-03,1.301757900000000134e-02,3.624790000000000238e-04,1.265510000000000072e-02
2.000000000000000111e-01,-6.844320000000000204e-09,-2.393560000000000159e-09,-4.450760000000000045e-09,5.116376419999999766e-05,5.110379999999999681e-05,5.996420000000000434e-08,2.222059930999999990e-04,2.221790000000000017e-04,2.699310000000000101e-08,3.612891374099999804e-04,3.612849999999999807e-04,4.137410000000000088e-09,4.867364279850000162e-04,4.867369999999999986e-04,-5.720150000000000146e-10,5.891552704700000814e-04,5.891540000000000448e-04,1.270470000000000060e-09,6.734301158250000172e-04,6.734300000000000355e-04,1.158249999999999981e-10,7.608946291310000323e-04,7.608950000000000392e-04,-3.708690000000000249e-10,8.432284183970000001e-04,8.432290000000000271e-04,-5.816029999999999612e-10,3.738987000000000040e-03,9.032470000000000342e-04,2.835739999999999789e-03,1.344672499999999965e-02,8.647249999999999989e-04,1.258199999999999943e-02
3.000000000000000444e-01,3.151980900000000232e-08,-8.449100000000000581e-11,3.160429999999999932e-08,5.925844339999999905e-05,5.920439999999999850e-05,5.404339999999999806e-08,3.153639133000000084e-04,3.153380000000000224e-04,2.591330000000000149e-08,5.280072766199999518e-04,5.280029999999999793e-04,4.276619999999999652e-09,7.126514169649999803e-04,7.126520000000000337e-04,-5.830350000000000448e-10,8.795075330499999402e-04,8.795059999999999510e-04,1.533049999999999995e-09,9.910630934377999586e-04,9.910629999999999266e-04,9.343779999999999915e-11,1.124189646832999970e-03,1.124189999999999955e-03,-3.531670000000000068e-10,1.250499416226000032e-03,1.250500000000000092e-03,-5.837739999999999737e-10,4.191369999999999818e-03,1.362499999999999996e-03,2.828869999999999822e-03,1.392194999999999891e-02,1.348449999999999952e-03,1.257349999999999961e-02
4.000000000000000222e-01,2.606647450000000065e-08,-2.282550000000000043e-11,2.608929999999999923e-08,6.195299089999999835e-05,6.190319999999999373e-05,4.979090000000000019e-08,3.994589806999999915e-04,3.994310000000000048e-04,2.798070000000000120e-08,6.849824547300000692e-04,6.849780000000000408e-04,4.454729999999999981e-09,9.364064126229999828e-04,9.364069999999999946e-04,-5.873769999999999663e-10,1.153251770049999996e-03,1.153249999999999978e-03,1.770049999999999900e-09,1.310879970812100018e-03,1.310879999999999945e-03,-2.918790000000000087e-11,1.497999779268000030e-03,1.497999999999999983e-03,-2.207319999999999880e-10,1.657389442770999984e-03,1.657389999999999905e-03,-5.572290000000000410e-10,4.605650000000000195e-03,1.804709999999999951e-03,2.800940000000000027e-03,1.446849999999999872e-02,1.839200000000000036e-03,1.262929999999999955e-02
5.000000000000000000e-01,2.397937200000000197e-08,3.070720000000000228e-10,2.367230000000000148e-08,6.222433280000000703e-05,6.217860000000000130e-05,4.573279999999999907e-08,4.702081474999999611e-04,4.701789999999999854e-04,2.914750000000000011e-08,8.334866236299999986e-04,8.334819999999999729e-04,4.623630000000000090e-09,1.143449408616000135e-03,1.143450000000000065e-03,-5.913840000000000125e-10,1.417862878229999993e-03,1.417859999999999954e-03,2.878229999999999893e-09,1.623609863726999895e-03,1.623609999999999940e-03,-1.362730000000000111e-10,1.846859799976000114e-03,1.846860000000000081e-03,-2.000240000000000064e-10,2.055669447779999697e-03,2.055669999999999893e-03,-5.522199999999999811e-10,5.061170000000000252e-03,2.249489999999999823e-03,2.811679999999999995e-03,1.490549000000000041e-02,2.314890000000000003e-03,1.259060000000000040e-02
6.000000000000000888e-01,2.251388399999999839e-08,3.112840000000000182e-10,2.220259999999999858e-08,6.322785179999999697e-05,6.318259999999999372e-05,4.525180000000000291e-08,5.310402050000000325e-04,5.310140000000000086e-04,2.620499999999999874e-08,9.724188007099999987e-04,9.724140000000000041e-04,4.800709999999999648e-09,1.348619398931000116e-03,1.348620000000000027e-03,-6.010689999999999641e-10,1.684182976000000000e-03,1.684179999999999965e-03,2.976000000000000063e-09,1.926439842176000004e-03,1.926439999999999967e-03,-1.578240000000000125e-10,2.200459816176000144e-03,2.200460000000000003e-03,-1.838240000000000003e-10,2.450499450450999931e-03,2.450499999999999987e-03,-5.495490000000000221e-10,5.497799999999999736e-03,2.699009999999999951e-03,2.798789999999999785e-03,1.540869000000000093e-02,2.787990000000000173e-03,1.262070000000000032e-02
7.000000000000000666e-01,2.237000100000000145e-08,3.005010000000000049e-10,2.206950000000000118e-08,6.305858860000000319e-05,6.301739999999999740e-05,4.118859999999999733e-08,5.816245333999999368e-04,5.815959999999999793e-04,2.853339999999999992e-08,1.096645005940000053e-03,1.096640000000000071e-03,5.005940000000000190e-09,1.541749402604999930e-03,1.541749999999999935e-03,-5.973949999999999828e-10,1.939323035380000103e-03,1.939320000000000020e-03,3.035379999999999914e-09,2.209059818286999988e-03,2.209060000000000103e-03,-1.817130000000000114e-10,2.543719836550000120e-03,2.543720000000000182e-03,-1.634499999999999887e-10,2.828999454457999888e-03,2.828999999999999918e-03,-5.455419999999999758e-10,5.919799999999999368e-03,3.123579999999999933e-03,2.796219999999999869e-03,1.583232000000000042e-02,3.250320000000000119e-03,1.258199999999999943e-02
8.000000000000000444e-01,2.044351299999999791e-08,2.892130000000000021e-10,2.015429999999999936e-08,6.295953570000000291e-05,6.292000000000000067e-05,3.953570000000000111e-08,6.182674506999999257e-04,6.182409999999999512e-04,2.645070000000000007e-08,1.213265917969999974e-03,1.213260000000000076e-03,5.917969999999999986e-09,1.726269403940000049e-03,1.726270000000000018e-03,-5.960600000000000075e-10,2.179403184839999973e-03,2.179400000000000174e-03,3.184839999999999933e-09,2.500279795901000270e-03,2.500280000000000124e-03,-2.040989999999999897e-10,2.883549857759999755e-03,2.883549999999999915e-03,-1.422399999999999917e-10,3.209219459633000197e-03,3.209220000000000041e-03,-5.403670000000000428e-10,6.304399999999999935e-03,3.540409999999999911e-03,2.763990000000000023e-03,1.632261999999999949e-02,3.719119999999999805e-03,1.260350000000000012e-02
9.000000000000000222e-01,1.947176000000000018e-08,2.750599999999999787e-10,1.919670000000000010e-08,6.372452420000000511e-05,6.368680000000000153e-05,3.772419999999999842e-08,6.485136135000000180e-04,6.484890000000000316e-04,2.461350000000000067e-08,1.319986075609999804e-03,1.319979999999999895e-03,6.075609999999999868e-09,1.906499405443000004e-03,1.906499999999999992e-03,-5.945570000000000387e-10,2.415613395220000004e-03,2.415609999999999893e-03,3.395220000000000193e-09,2.768269770249000283e-03,2.768270000000000192e-03,-2.297509999999999907e-10,3.207459878134000155e-03,3.207460000000000085e-03,-1.218660000000000060e-10,3.577819467813999656e-03,3.577819999999999785e-03,-5.321859999999999653e-10,6.684719999999999898e-03,3.964119999999999797e-03,2.720600000000000102e-03,1.672484999999999944e-02,4.172849999999999650e-03,1.255200000000000066e-02
