# sweep_type: output
# time: 1675792457.5683117
# time_str: 07/02/2023 12:54
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0.0) [A],Drain current (Vg = 0.0) [A],Gate current (Vg = 0.0) [A],Source current (Vg = 1.0) [A],Drain current (Vg = 1.0) [A],Gate current (Vg = 1.0) [A],Source current (Vg = 2.0) [A],Drain current (Vg = 2.0) [A],Gate current (Vg = 2.0) [A],Source current (Vg = 3.0) [A],Drain current (Vg = 3.0) [A],Gate current (Vg = 3.0) [A],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A]
0.000000000000000000e+00,-2.709300999999999969e-08,-2.994909999999999949e-09,-2.409810000000000057e-08,-1.419789999999999772e-07,-1.700259999999999900e-07,2.804699999999999962e-08,-5.635490000000000655e-07,-5.893770000000000239e-07,2.582800000000000139e-08,-6.035320699999999966e-07,-6.095439999999999953e-07,6.011930000000000352e-09,-7.469589350000000143e-07,-7.473709999999999761e-07,4.120650000000000138e-10,-1.523541239999999994e-06,-1.527320000000000100e-06,3.778759999999999884e-09
1.000000000000000056e-01,-1.789189999999999898e-09,-3.195509999999999856e-09,1.406319999999999958e-09,3.166334919999999609e-05,3.162589999999999819e-05,3.744919999999999761e-08,1.166279850000000011e-04,1.166159999999999961e-04,1.198499999999999946e-08,1.870936132999999975e-04,1.870899999999999994e-04,3.613299999999999920e-09,2.460761097740000233e-04,2.460760000000000204e-04,1.097739999999999949e-10,3.016498314499999663e-04,3.016459999999999779e-04,3.831450000000000040e-09
2.000000000000000111e-01,2.436428999999999880e-08,1.946089999999999842e-09,2.241820000000000019e-08,5.070201870000000057e-05,5.067390000000000284e-05,2.811869999999999886e-08,2.240376992000000188e-04,2.240200000000000134e-04,1.769919999999999943e-08,3.617062508780000108e-04,3.617059999999999958e-04,2.508779999999999995e-10,4.855653796649999905e-04,4.855649999999999767e-04,3.796650000000000016e-10,5.944664537699999654e-04,5.944610000000000128e-04,5.453769999999999873e-09
3.000000000000000444e-01,2.293894100000000217e-08,1.164409999999999963e-10,2.282250000000000137e-08,5.953261639999999667e-05,5.950769999999999947e-05,2.491640000000000135e-08,3.181447786000000336e-04,3.181260000000000099e-04,1.877860000000000048e-08,5.306902408579999971e-04,5.306900000000000029e-04,2.408580000000000176e-10,7.154423815020000740e-04,7.154420000000000527e-04,3.815019999999999922e-10,8.865185269300000521e-04,8.865130000000000145e-04,5.526929999999999649e-09
4.000000000000000222e-01,1.400110099999999987e-08,1.289009999999999977e-10,1.387219999999999931e-08,6.146244780000000441e-05,6.143880000000000543e-05,2.364780000000000017e-08,4.020843639999999901e-04,4.020680000000000000e-04,1.636400000000000015e-08,6.898062330089999548e-04,6.898059999999999478e-04,2.330089999999999964e-10,9.372713885160000166e-04,9.372710000000000459e-04,3.885159999999999847e-10,1.155175528470000004e-03,1.155170000000000068e-03,5.528470000000000038e-09
5.000000000000000000e-01,1.217285399999999900e-08,1.275539999999999971e-10,1.204529999999999934e-08,6.261879860000000176e-05,6.259909999999999498e-05,1.969860000000000144e-08,4.713738093000000365e-04,4.713550000000000162e-04,1.880929999999999956e-08,8.371902264960000414e-04,8.371900000000000262e-04,2.264960000000000107e-10,1.148090394027999946e-03,1.148090000000000048e-03,3.940280000000000170e-10,1.427566201750000074e-03,1.427560000000000027e-03,6.201749999999999599e-09
6.000000000000000888e-01,1.188986699999999988e-08,1.157670000000000046e-10,1.177410000000000052e-08,6.290096910000000658e-05,6.288280000000000041e-05,1.816910000000000088e-08,5.336742543999999132e-04,5.336549999999999584e-04,1.925440000000000002e-08,9.726322166429999475e-04,9.726319999999999671e-04,2.166429999999999880e-10,1.354180490559999924e-03,1.354179999999999967e-03,4.905600000000000100e-10,1.687476220679999918e-03,1.687469999999999942e-03,6.220679999999999657e-09
7.000000000000000666e-01,1.076556000000000061e-08,1.019600000000000026e-10,1.066360000000000028e-08,6.253214960000000767e-05,6.251440000000000577e-05,1.774959999999999835e-08,5.829286967999999965e-04,5.829099999999999603e-04,1.869680000000000103e-08,1.103390210131000157e-03,1.103390000000000100e-03,2.101310000000000109e-10,1.547360492899000056e-03,1.547360000000000011e-03,4.928990000000000161e-10,1.939646276439999963e-03,1.939640000000000071e-03,6.276439999999999886e-09
8.000000000000000444e-01,-2.749609999999999979e-09,8.630000000000000184e-11,-2.835909999999999981e-09,6.364466800000000320e-05,6.362810000000000156e-05,1.656799999999999986e-08,6.209218020000000209e-04,6.208999999999999676e-04,2.180199999999999895e-08,1.223860115776999975e-03,1.223860000000000009e-03,1.157769999999999999e-10,1.735380505926000004e-03,1.735379999999999909e-03,5.059259999999999960e-10,2.182776311740000121e-03,2.182770000000000109e-03,6.311740000000000375e-09
9.000000000000000222e-01,2.954750629999999743e-08,-9.639370000000000597e-11,2.964389999999999852e-08,6.397476619999999288e-05,6.395849999999999420e-05,1.626619999999999911e-08,6.505265283999999825e-04,6.505039999999999911e-04,2.252840000000000008e-08,1.331000105088999937e-03,1.330999999999999935e-03,1.050890000000000002e-10,1.907050512605999943e-03,1.907049999999999978e-03,5.126060000000000184e-10,2.426346379280000000e-03,2.426339999999999920e-03,6.379280000000000330e-09
