,V1,currIn
0,0.0295472,2.955150E-10
1,0.0512671,1.014300E-09
2,0.0604725,1.009440E-09
3,0.0882316,1.012600E-09
4,0.12764,1.012340E-09
5,0.166473,1.008930E-09
6,0.213361,1.006880E-09
7,0.265715,1.009610E-09
8,0.305986,1.009190E-09
9,0.320513,1.008420E-09
10,0.319364,1.009610E-09
11,0.306706,1.011750E-09
12,0.272906,1.011150E-09
13,0.238245,1.012430E-09
14,0.200129,1.009870E-09
15,0.150077,1.012940E-09
16,0.129941,1.011150E-09
17,0.121887,1.012000E-09
18,0.123613,1.009360E-09
19,0.13325,1.012600E-09
20,0.162735,1.009100E-09
21,0.198691,1.009020E-09
22,0.239251,1.006200E-09
23,0.281394,1.008500E-09
24,0.329864,1.008850E-09
25,0.353451,1.007990E-09
26,0.358772,1.009610E-09
27,0.352302,1.010980E-09
28,0.329432,1.011660E-09
29,0.294337,1.014130E-09
30,0.256078,1.010040E-09
31,0.209765,1.013020E-09
32,0.167911,1.015670E-09
33,0.149934,1.011570E-09
34,0.146625,1.008850E-09
35,0.14533,1.009870E-09
36,0.157557,1.006970E-09
37,0.192075,1.007910E-09
38,0.229328,1.008670E-09
39,0.264709,1.010640E-09
40,0.316632,1.008420E-09
41,0.353739,1.012680E-09
42,0.374305,1.006200E-09
43,0.368409,1.012600E-09
44,0.361793,1.010380E-09
45,0.329287,1.010040E-09
46,0.292754,1.008590E-09
47,0.251765,1.011830E-09
48,0.202143,1.013280E-09
49,0.166185,1.012260E-09
50,0.156119,1.011400E-09
51,0.152953,1.009950E-09
52,0.157125,1.012510E-09
53,0.177116,1.012340E-09
54,0.213649,1.010640E-09
55,0.250182,1.011150E-09
56,0.288296,1.007310E-09
57,0.331013,1.008760E-09
58,0.370278,1.009360E-09
59,0.37704,1.010720E-09
60,0.374882,1.009440E-09
61,0.358486,1.015070E-09
62,0.324974,1.011230E-09
63,0.285132,1.010810E-09
64,0.242991,1.012260E-09
65,0.192938,1.014300E-09
66,0.167048,1.009700E-09
67,0.155542,1.008670E-09
68,0.157988,1.009780E-09
69,0.163884,1.007390E-09
70,0.193801,1.008760E-09
71,0.228465,1.008760E-09
72,0.265858,1.010040E-09
73,0.311453,1.009610E-09
74,0.349998,1.008590E-09
75,0.378335,1.011060E-09
76,0.382793,1.009190E-09
77,0.37215,1.009360E-09
78,0.352156,1.010890E-09
79,0.31476,1.007220E-09
80,0.274489,1.013020E-09
81,0.233786,1.011230E-09
82,0.186033,1.010980E-09
83,0.167911,1.010120E-09
84,0.16072,1.008330E-09
85,0.16072,1.011150E-09
86,0.177691,1.007310E-09
87,0.205307,1.006880E-09
88,0.242991,1.009950E-09
89,0.282688,1.005940E-09
90,0.32598,1.008500E-09
91,0.367978,1.008930E-09
92,0.3861,1.011320E-09
93,0.384374,1.008590E-09
94,0.372293,1.008330E-09
95,0.343814,1.010890E-09
96,0.30757,1.012340E-09
97,0.264997,1.013370E-09
98,0.213361,1.012000E-09
99,0.181143,1.009700E-09
100,0.167048,1.010380E-09
101,0.161295,1.009700E-09
102,0.169494,1.008850E-09
103,0.188048,1.007310E-09
104,0.218682,1.006630E-09
105,0.258236,1.009020E-09
106,0.297933,1.006880E-09
107,0.341802,1.005690E-09
108,0.377326,1.009020E-09
109,0.387251,1.007390E-09
110,0.382361,1.013620E-09
111,0.366251,1.009870E-09
112,0.332022,1.010210E-09
113,0.296206,1.012090E-09
114,0.250757,1.013790E-09
115,0.203438,1.013200E-09
116,0.176399,1.010380E-09
117,0.16748,1.011060E-09
118,0.162015,1.007740E-09
119,0.171363,1.010380E-09
120,0.199411,1.008760E-09
121,0.234072,1.006880E-09
122,0.271325,1.007740E-09
123,0.318358,1.010380E-09
124,0.357046,1.008930E-09
125,0.385668,1.009100E-09
126,0.389121,1.010470E-09
127,0.381498,1.007480E-09
128,0.356472,1.012260E-09
129,0.32037,1.011230E-09
130,0.281105,1.010720E-09
131,0.237813,1.012600E-09
132,0.190063,1.011570E-09
133,0.176399,1.011750E-09
134,0.164747,1.010550E-09
135,0.16633,1.010720E-09
136,0.177548,1.008850E-09
137,0.210054,1.006120E-09
138,0.248313,1.008930E-09
139,0.285995,1.009700E-09
140,0.332596,1.007310E-09
141,0.374305,1.008760E-09
142,0.388114,1.007990E-09
143,0.392573,1.010720E-09
144,0.378478,1.012340E-09
145,0.344102,1.013880E-09
146,0.308433,1.010810E-09
147,0.266867,1.012090E-09
148,0.218682,1.012260E-09
149,0.181143,1.012340E-09
150,0.169351,1.011320E-09
151,0.168343,1.009270E-09
152,0.170932,1.010550E-09
153,0.192795,1.010300E-09
154,0.224581,1.012680E-09
155,0.2614,1.010120E-09
156,0.300522,1.007650E-09
157,0.347266,1.008330E-09
158,0.379052,1.010640E-09
159,0.39171,1.007220E-09
160,0.386388,1.011660E-09
161,0.374162,1.012000E-09
162,0.336766,1.010890E-09
163,0.299084,1.010470E-09
164,0.259099,1.011490E-09
165,0.205739,1.010810E-09
166,0.177836,1.010040E-09
167,0.168774,1.007570E-09
168,0.1682,1.009870E-09
169,0.174384,1.010470E-09
170,0.201137,1.007910E-09
171,0.239539,1.008590E-09
172,0.27492,1.009610E-09
173,0.32037,1.007050E-09
174,0.362799,1.009100E-09
175,0.390847,1.006970E-09
176,0.391278,1.009100E-09
177,0.387251,1.009950E-09
178,0.363088,1.011150E-09
179,0.326123,1.013110E-09
180,0.284414,1.010720E-09
181,0.244429,1.012940E-09
182,0.195816,1.011570E-09
183,0.174096,1.012850E-09
184,0.170646,1.009020E-09
185,0.172369,1.009530E-09
186,0.183733,1.007820E-09
187,0.216238,1.012090E-09
188,0.253203,1.008760E-09
189,0.291748,1.009440E-09
190,0.336766,1.007650E-09
191,0.375457,1.009360E-09
192,0.394585,1.006030E-09
193,0.391998,1.008930E-09
194,0.38121,1.011570E-09
195,0.353882,1.012940E-09
196,0.312605,1.010890E-09
197,0.275209,1.010720E-09
198,0.223143,1.011320E-09
199,0.186753,1.010470E-09
200,0.174527,1.008760E-09
201,0.1705,1.010380E-09
202,0.177405,1.009530E-09
203,0.195239,1.011150E-09
204,0.226593,1.007390E-09
205,0.26931,1.007820E-09
206,0.305843,1.005180E-09
207,0.347266,1.008670E-09
208,0.386963,1.009780E-09
209,0.394442,1.009360E-09
210,0.392141,1.010210E-09
211,0.373874,1.009020E-09
212,0.341513,1.012090E-09
213,0.30268,1.013280E-09
214,0.2614,1.009270E-09
215,0.210774,1.010810E-09
216,0.183301,1.007990E-09
217,0.170069,1.011750E-09
218,0.172658,1.009100E-09
219,0.178986,1.011400E-09
220,0.205164,1.007740E-09
221,0.243423,1.007220E-09
222,0.279667,1.009700E-09
223,0.324397,1.007570E-09
224,0.364525,1.008330E-09
225,0.393436,1.013110E-09
226,0.398614,1.012850E-09
227,0.386245,1.012340E-09
228,0.364525,1.009950E-09
229,0.325549,1.013370E-09
230,0.288727,1.013880E-09
231,0.244141,1.012850E-09
232,0.199122,1.011230E-09
233,0.178699,1.008330E-09
234,0.171795,1.013200E-09
235,0.174959,1.010210E-09
236,0.188191,1.010120E-09
