,Row 1
0,1.13924
1,1.14182
2,1.14182
3,1.14039
4,1.14427
5,1.14614
6,1.14513
7,1.14369
8,1.1447
9,1.1447
10,1.14614
11,1.14556
12,1.14254
13,1.14441
14,1.14427
15,1.14455
16,1.14571
17,1.14484
18,1.14226
19,1.14398
20,1.14297
21,1.14398
22,1.14499
23,1.14326
24,1.14312
25,1.14542
26,1.14427
27,1.14729
28,1.14556
29,1.14283
30,1.14384
31,1.14743
32,1.14527
33,1.14484
34,1.14384
35,1.14297
36,1.14628
37,1.14312
38,1.14182
39,1.14499
40,1.14599
41,1.14053
42,1.14499
43,1.14154
44,1.14427
45,1.14484
46,1.14326
47,1.14441
48,1.14556
49,1.14341
50,1.14441
51,1.14441
52,1.14628
53,1.14455
54,1.14254
55,1.14168
56,1.14556
57,1.147
58,1.14254
59,1.14413
60,1.14068
61,1.14341
62,1.14427
63,1.14355
64,1.14341
65,1.14413
66,1.1447
67,1.14527
68,1.14398
69,1.1424
70,1.14398
71,1.14413
72,1.14455
73,1.14815
74,1.14686
75,1.14211
76,1.14585
77,1.14154
78,1.14455
79,1.14427
80,1.14125
81,1.14542
82,1.14499
83,1.1447
84,1.14556
85,1.14384
86,1.14384
87,1.14355
88,1.14671
89,1.14427
90,1.14628
91,1.14455
92,1.14657
93,1.14671
94,1.14384
95,1.14283
96,1.14455
97,1.14369
98,1.14455
99,1.14254
100,1.14226
101,1.14455
102,1.14254
103,1.14297
104,1.14326
105,1.14341
106,1.14269
107,1.14671
108,1.14226
109,1.14729
110,1.14585
111,1.14211
112,1.14283
113,1.14614
114,1.14513
115,1.14671
116,1.14269
117,1.14111
118,1.14384
119,1.14413
120,1.14413
121,1.14211
122,1.14484
123,1.14384
124,1.14671
125,1.14197
126,1.14182
127,1.14455
128,1.14326
129,1.14499
130,1.147
131,1.14312
132,1.14642
133,1.14527
134,1.14312
135,1.1447
136,1.14384
137,1.14254
138,1.14312
139,1.14312
140,1.14283
141,1.14556
142,1.14168
143,1.14053
144,1.14283
145,1.14254
146,1.14269
147,1.1424
148,1.14283
149,1.1447
150,1.14211
151,1.1401
152,1.13809
153,1.13996
154,1.13507
155,1.13852
156,1.13478
157,1.13335
158,1.13306
159,1.13177
160,1.13177
161,1.13191
162,1.12889
163,1.13004
164,1.13493
165,1.13061
166,1.13406
167,1.13047
168,1.13191
169,1.13148
170,1.13033
171,1.12961
172,1.1299
173,1.12731
174,1.12501
175,1.12228
176,1.11739
177,1.11624
178,1.11236
179,1.1059
180,1.10762
181,1.10532
182,1.09943
183,1.09943
184,1.0977
185,1.09727
186,1.09943
187,1.09871
188,1.09727
189,1.10072
