,Row 1
0,1.14211
1,1.14556
2,1.14513
3,1.14312
4,1.14571
5,1.14714
6,1.14628
7,1.14628
8,1.14441
9,1.1447
10,1.14398
11,1.14714
12,1.14269
13,1.14226
14,1.14326
15,1.14154
16,1.14398
17,1.14297
18,1.14082
19,1.14297
20,1.14513
21,1.14154
22,1.14556
23,1.14297
24,1.14182
25,1.14355
26,1.14384
27,1.14484
28,1.14628
29,1.14341
30,1.14211
31,1.14484
32,1.14398
33,1.14369
34,1.14197
35,1.14024
36,1.14398
37,1.14413
38,1.14168
39,1.14413
40,1.14226
41,1.14197
42,1.14326
43,1.14254
44,1.14341
45,1.14527
46,1.14326
47,1.14398
48,1.14614
49,1.14326
50,1.14341
51,1.14369
52,1.14283
53,1.14628
54,1.14455
55,1.14226
56,1.14614
57,1.14269
58,1.14369
59,1.14283
60,1.14226
61,1.14499
62,1.14527
63,1.14355
64,1.14499
65,1.14384
66,1.14441
67,1.14341
68,1.14642
69,1.14139
70,1.14384
71,1.14398
72,1.14269
73,1.14686
74,1.14341
75,1.14254
76,1.14441
77,1.14413
78,1.14226
79,1.14197
80,1.14154
81,1.14398
82,1.14312
83,1.14283
84,1.14226
85,1.14455
86,1.14053
87,1.14441
88,1.14441
89,1.1447
90,1.14527
91,1.14139
92,1.14355
93,1.14398
94,1.14369
95,1.14154
96,1.14168
97,1.13996
98,1.14269
99,1.1401
100,1.13938
101,1.13795
102,1.14096
103,1.13953
104,1.14024
105,1.13953
106,1.13751
107,1.14024
108,1.13723
109,1.14082
110,1.14384
111,1.13895
112,1.13981
113,1.13938
114,1.13737
115,1.13953
116,1.13766
117,1.13564
118,1.13723
119,1.13651
120,1.13579
121,1.13622
122,1.13205
123,1.12889
124,1.13004
125,1.12947
126,1.12544
127,1.1263
128,1.12156
129,1.1217
130,1.12242
131,1.11883
132,1.11797
133,1.11725
134,1.11667
135,1.11897
136,1.11653
137,1.11581
138,1.11754
139,1.11552
140,1.11653
141,1.11797
142,1.11854
143,1.1184
144,1.123
145,1.11725
146,1.12242
147,1.1207
148,1.11711
149,1.11754
150,1.11624
151,1.11481
152,1.11236
153,1.11021
154,1.1059
155,1.10446
156,1.10202
157,1.09828
158,1.09584
159,1.09411
160,1.09382
161,1.09512
162,1.09239
163,1.09339
164,1.09483
165,1.09354
166,1.09526
167,1.09713
168,1.0967
169,1.10044
170,1.10058
171,1.10288
172,1.1023
173,1.10245
174,1.10302
175,1.10475
176,1.10604
177,1.1069
178,1.10647
179,1.1046
180,1.10345
181,1.10503
182,1.10317
183,1.10044
184,1.09871
185,1.09943
186,1.10015
187,1.09555
188,1.09569
189,1.09066
190,1.09167
191,1.0875
192,1.08822
193,1.08305
194,1.08391
195,1.08434
196,1.08391
197,1.08721
198,1.08764
199,1.08448
200,1.08879
201,1.09224
202,1.09181
203,1.09655
204,1.0944
205,1.0967
206,1.1
207,1.09914
208,1.1013
209,1.10345
210,1.1023
211,1.10302
212,1.10374
213,1.10345
214,1.10273
215,1.10044
216,1.09555
217,1.10058
218,1.09785
219,1.09195
220,1.09239
221,1.08966
222,1.0885
223,1.08894
224,1.0852
225,1.08419
226,1.08333
227,1.08261
228,1.08463
229,1.08534
230,1.08333
231,1.08692
232,1.08736
233,1.08836
234,1.09382
235,1.09526
236,1.0921
237,1.09555
238,1.0954
239,1.09727
240,1.09871
241,1.0977
242,1.10202
243,1.10388
244,1.10604
245,1.10345
246,1.10216
247,1.10086
248,1.1013
249,1.10202
250,1.09699
251,1.09713
252,1.0954
253,1.09253
254,1.09195
255,1.08822
256,1.08649
257,1.0875
258,1.08463
259,1.08261
260,1.08161
261,1.08247
262,1.08419
263,1.08305
264,1.08463
265,1.08592
266,1.08736
267,1.08793
268,1.09296
269,1.09382
270,1.09454
271,1.09756
272,1.09584
273,1.09828
274,1.10187
275,1.10245
276,1.10187
277,1.10417
278,1.1013
279,1.10302
280,1.10115
281,1.1
282,1.09943
283,1.09612
284,1.09699
285,1.09684
286,1.09325
287,1.08793
288,1.09109
289,1.08822
290,1.08822
291,1.08822
292,1.0829
293,1.0829
294,1.08592
295,1.08247
296,1.08534
297,1.08448
298,1.08305
299,1.08707
300,1.08764
301,1.09195
302,1.09454
303,1.09267
304,1.09282
305,1.09799
306,1.09928
307,1.09842
308,1.10086
309,1.10374
310,1.10561
311,1.10676
312,1.10144
313,1.10187
314,1.1023
315,1.09986
316,1.1013
317,1.09497
318,1.09454
319,1.09282
320,1.08908
321,1.08865
322,1.08764
323,1.08664
324,1.08232
325,1.08463
326,1.08103
327,1.08534
328,1.08506
329,1.08319
330,1.08577
331,1.08779
332,1.08592
333,1.08994
334,1.09066
335,1.09167
336,1.09267
337,1.09354
338,1.09641
339,1.09584
340,1.0967
341,1.0977
342,1.10158
343,1.10058
344,1.10115
345,1.10187
346,1.10216
347,1.10403
348,1.10173
349,1.09842
350,1.09972
351,1.09641
352,1.09612
353,1.09239
354,1.09052
355,1.08922
356,1.08779
357,1.08477
358,1.08448
359,1.08434
360,1.08132
361,1.08175
362,1.0829
363,1.08333
364,1.08549
365,1.08463
366,1.08879
367,1.09339
368,1.09267
369,1.09584
370,1.09411
371,1.09598
372,1.09785
373,1.10144
374,1.09813
375,1.10101
376,1.10245
377,1.1023
378,1.10288
379,1.10044
380,1.09871
381,1.10072
382,1.10115
383,1.09584
384,1.09756
385,1.09296
386,1.09267
387,1.09138
388,1.0885
389,1.0885
390,1.08807
391,1.08276
392,1.08463
393,1.08333
394,1.08463
395,1.08333
396,1.08175
397,1.0829
398,1.08793
399,1.08951
400,1.08606
401,1.09081
402,1.09124
403,1.0944
404,1.09655
405,1.09612
406,1.09612
